paper_id,title,authors,venue,venue_family,year,track,publication_type,pages,doi,canonical_url,task_family,input_unit,label_scheme,class_cardinality,traffic_input_evidence,learned_classifier_evidence,fixed_label_evidence,centrality_evidence,evidence_location,evidence_source_url
P14188,Investigating Traffic Analysis Attacks on Apple iCloud Private Relay.,Ali Zohaib; Jade Sheffey; Amir Houmansadr,AsiaCCS,Security and privacy,2023,Main research proceedings,Full research paper,773-784,10.1145/3579856.3595793,https://doi.org/10.1145/3579856.3595793,semantic inference,One Private Relay page-load packet trace.,Visited website (plus unmonitored outcome in open world).,"Closed world explicitly uses 100 monitored websites with 200 traces each; open world adds 20,000 unmonitored sites.","Private Relay packet traces represented by signed packet sizes, timing/direction, and aggregate packet-size features.",Deep Fingerprinting CNN and Var-CNN are trained and evaluated as website classifiers.,"Closed world explicitly uses 100 monitored websites with 200 traces each; open world adds 20,000 unmonitored sites.",The main method and evaluation of “Investigating Traffic Analysis Attacks on Apple iCloud Private Relay.” centre on the learned multiclass classifier described in this row.,"PDF pp. 1, 2",https://doi.org/10.1145/3579856.3595793
P14255,CapsuleFormer: A Capsule and Transformer combined model for Decentralized Application encrypted traffic classification.,Xiang Zhou; Xi Xiao; Qing Li; Bin Zhang; Guangwu Hu; Xiapu Luo; Tianwei Zhang,AsiaCCS,Security and privacy,2024,Main research proceedings,Full research paper,,10.1145/3634737.3637664,https://doi.org/10.1145/3634737.3637664,semantic inference,An encrypted DApp flow.,Decentralized-application type.,The evaluation explicitly identifies 10 DApp types.,"More than 700,000 encrypted DApp flows are encoded from packet/flow traffic features.",Capsule network and Transformer combined into a supervised encrypted-traffic classifier.,The evaluation explicitly identifies 10 DApp types.,The main method and evaluation of “CapsuleFormer: A Capsule and Transformer combined model for Decentralized Application encrypted traffic classification.” centre on the learned multiclass classifier described in this row.,PDF p. 1,https://doi.org/10.1145/3634737.3637664
P14374,WhisperVoiceTrace: A Comprehensive Analysis of Voice Command Fingerprinting.,Hyojin Kim; Minji Jo; Jiwoo Hong; Hosung Kang; Nate Mathews; Se Eun Oh,AsiaCCS,Security and privacy,2024,Main research proceedings,Full research paper,,10.1145/3634737.3657017,https://doi.org/10.1145/3634737.3657017,semantic inference,One smart-speaker voice-command network trace.,Individual voice command or command category.,"The collected dataset explicitly contains 600 unique voice commands and 453,350 traces; command-category classification is also evaluated.",Encrypted smart-speaker command traffic metadata is converted to traffic-aggregation matrices / volume-aggregation vectors.,WhiVo is a learned deep traffic-fingerprinting model built over the proposed matrix/vector representations.,"The collected dataset explicitly contains 600 unique voice commands and 453,350 traces; command-category classification is also evaluated.",The main method and evaluation of “WhisperVoiceTrace: A Comprehensive Analysis of Voice Command Fingerprinting.” centre on the learned multiclass classifier described in this row.,PDF p. 1,https://doi.org/10.1145/3634737.3657017
P14413,Enhancing Search Privacy on Tor: Advanced Deep Keyword Fingerprinting Attacks and BurstGuard Defense.,Chaiwon Hwang; Haeseung Jeon; Jiwoo Hong; Hosung Kang; Nate Mathews; Goun Kim; Se Eun Oh,AsiaCCS,Security and privacy,2025,Main research proceedings,Full research paper,621-634,10.1145/3708821.3733914,https://doi.org/10.1145/3708821.3733914,semantic inference,One Tor search-query network trace.,User-entered search keyword,273; 258; 100,"Tor search-query packet direction, timing, and burst traces are the keyword-fingerprinting input.",Deep Keyword Fingerprinting adapts and trains a five-block convolutional Deep Fingerprinting model with tuned hyperparameters.,"The closed-world datasets explicitly contain 273 monitored Bing keywords and 258 monitored DuckDuckGo keywords; the open-world evaluation uses 100 monitored keyword classes with 1,000 instances per keyword plus 10,000-70,000 unmonitored keywords.",The new 100-class deep keyword-fingerprinting attack is a central contribution and evaluation; BurstGuard is an additional defense contribution.,PDF p. 1,https://doi.org/10.1145/3708821.3733914
P14441,OMAD5G: Online Malware Detection in 5G Networks using Compound Paths.,Guanhua Yan; Zhixin Wen,AsiaCCS,Security and privacy,2025,Main research proceedings,Full research paper,1411-1427,10.1145/3708821.3733864,https://doi.org/10.1145/3708821.3733864,security-state classification,5G network traffic paths,malware versus benign traffic,2,The classifier consumes 5G network traffic paths gathered from passively observable network traffic.,The evaluation trains a compound-path malware classifier from data.,The reported evaluation assigns one of the fixed labels in this scheme: malware versus benign traffic.,This classification or detection task is a central system contribution or central evaluated task.,PDF p. 1 at the authoritative source URL,https://doi.org/10.1145/3708821.3733864
P14774,New Directions in Automated Traffic Analysis.,Jordan Holland; Paul Schmitt; Nick Feamster; Prateek Mittal,ACM CCS,Security and privacy,2021,Main research proceedings,Full research paper,3366-3383,10.1145/3460120.3484758,https://doi.org/10.1145/3460120.3484758,endpoint or platform identification,"Packet or packet-set/flow, task dependent.","Device, operating system, application, traffic type, country, or streaming service.",15; 3; 7; 7; 3; 4,"nPrint raw packet-header bit representation, used per packet or over sets of packets depending on the task.",Supervised models selected and tuned by AutoML.,"Explicit tasks include active device fingerprinting (15), passive OS detection (3), DTLS app identification (7), traffic type (7), country (3), and streaming service (4).",The main method and evaluation of “New Directions in Automated Traffic Analysis.” centre on the learned multiclass classifier described in this row.,PDF p. 1,https://doi.org/10.1145/3460120.3484758
P14955,Exposing the Rat in the Tunnel: Using Traffic Analysis for Tor-based Malware Detection.,Omar Alrawi; Priyanka Dodia; Mashael Al Sabah; Tao Wang 0012,ACM CCS,Security and privacy,2022,Main research proceedings,Full research paper,875-889,10.1145/3548606.3560604,https://doi.org/10.1145/3548606.3560604,security-state classification,encrypted Tor connections and host traffic logs,Tor malware versus benign browsing,2,The classifier consumes encrypted Tor connections and host traffic logs gathered from passively observable network traffic.,The evaluation trains a supervised traffic-analysis models from data.,The reported evaluation assigns one of the fixed labels in this scheme: Tor malware versus benign browsing.,This classification or detection task is a central system contribution or central evaluated task.,"PDF pp. 1, 2",https://alrawi.io/static/papers/tor-malware_ccs22.pdf
P15385,Realistic Website Fingerprinting By Augmenting Network Traces.,Alireza Bahramali; Ardavan Bozorgi; Amir Houmansadr,ACM CCS,Security and privacy,2023,Main research proceedings,Full research paper,1035-1049,10.1145/3576915.3616639,https://doi.org/10.1145/3576915.3616639,semantic inference,One website visit trace.,"Visited website, optionally with unmonitored/reject.",100; 69,"Tor cell-direction sequences, one website visit per trace.",NetCLR contrastive self-supervised representation followed by a downstream multiclass classifier; semi-supervised variants are also evaluated.,"AWF1 has 100 website labels; the realistic AWF-attack task explicitly has 69 monitored website labels, with an unmonitored outcome in open-world tests.",The main method and evaluation of “Realistic Website Fingerprinting By Augmenting Network Traces.” centre on the learned multiclass classifier described in this row.,PDF p. 1,https://doi.org/10.1145/3576915.3616639
P15558,Detecting Tunneled Flooding Traffic via Deep Semantic Analysis of Packet Length Patterns.,Meng Shen 0001; Chuanpu Fu; Ke Xu 0002; Qi Li 0002,ACM CCS,Security and privacy,2024,Main research proceedings,Full research paper,3659-3673,10.1145/3658644.3670353,https://doi.org/10.1145/3658644.3670353,security-state classification,packet-length sequences,tunneled flooding versus benign traffic,2,The classifier consumes packet-length sequences gathered from passively observable network traffic.,The evaluation trains a deep semantic classifier from data.,The reported evaluation assigns one of the fixed labels in this scheme: tunneled flooding versus benign traffic.,This classification or detection task is a central system contribution or central evaluated task.,PDF p. 1,https://doi.org/10.1145/3658644.3670353
P15762,Robust and Reliable Early-Stage Website Fingerprinting Attacks via Spatial-Temporal Distribution Analysis.,Xinhao Deng; Qi Li; Ke Xu,ACM CCS,Security and privacy,2024,Main research proceedings,Full research paper,1997-2011,10.1145/3658644.3670272,https://doi.org/10.1145/3658644.3670272,semantic inference,One partial website visit trace.,Visited website plus optional unmonitored/reject.,95; 96; 80,Tor packet-direction sequences converted to two-dimensional Traffic Aggregation Matrices for early-stage traces.,Supervised-contrastive CNN embeddings with learned spatial/temporal distributions and centroid identification.,Alexa experiments use 95 monitored websites (96 open-world outcomes including unmonitored); a dark-web dataset has 80 website labels.,The main method and evaluation of “Robust and Reliable Early-Stage Website Fingerprinting Attacks via Spatial-Temporal Distribution Analysis.” centre on the learned multiclass classifier described in this row.,"PDF pp. 1, 4",https://doi.org/10.1145/3658644.3670272
P16004,FlowSentry: Accelerating NetFlow-based DDoS Detection.,Lei Zhang 0157; Yong Cui 0001; Kun Xie 0001; Lin Chen (disambiguation); Xiaohui Xie; Xiaoyu He (disambiguation); Xin Wang 0001,ACM CCS,Security and privacy,2025,Main research proceedings,Full research paper,1589-1603,10.1145/3719027.3744800,https://doi.org/10.1145/3719027.3744800,security-state classification,sampled NetFlow records across boundary routers,DDoS versus normal traffic,2,The classifier consumes sampled NetFlow records across boundary routers gathered from passively observable network traffic.,The evaluation trains a VAR-based spatiotemporal detector from data.,The reported evaluation assigns one of the fixed labels in this scheme: DDoS versus normal traffic.,This classification or detection task is a central system contribution or central evaluated task.,"PDF pp. 1, 2, 5",https://www.ece.stonybrook.edu/~xwang/public/paper/3719027.3744800.pdf
P16071,MM4flow: A Pre-trained Multi-modal Model for Versatile Network Traffic Analysis.,Lin Liu 0018; Zhuotao Liu; Junjie Huang 0001; Shaojing Fu; Shiyu Liang; Yongjun Wang (disambiguation); Luming Yang,ACM CCS,Security and privacy,2025,Main research proceedings,Full research paper,1664-1678,10.1145/3719027.3744804,https://doi.org/10.1145/3719027.3744804,semantic inference,Network-flow raw bytes and packet-transmission patterns,Six fixed downstream traffic-classification tasks,>=2,The adjudicated task consumes Network-flow raw bytes and packet-transmission patterns gathered from passively observable network traffic.,The adjudicated evaluation trains a Pretrained multimodal model with supervised fine-tuning from data.,The adjudicated evidence establishes the fixed label scheme: Six fixed downstream traffic-classification tasks.,The archival text resolves the earlier access uncertainty and documents central learned fixed-label prediction from passive traffic.,Printed p. 1664 and downstream-task evaluation,https://doi.org/10.1145/3719027.3744804
P16192,ScannerGrouper: A Generalizable and Effective Scanning Organization Identification System Toward the Open World.,Supei Zhang; Jiyuan Han; Lianyi Sun; Guanglei Song; Xin He (disambiguation); Jiahai Yang 0001; Zhiliang Wang (disambiguation); Xiaowen Quan; Hui Zhang 0141; Liang Liu (disambiguation); Pengfei Xue (disambiguation); Enhuan Dong; Han Li (disambiguation),ACM CCS,Security and privacy,2025,Main research proceedings,Full research paper,4604-4618,10.1145/3719027.3765053,https://doi.org/10.1145/3719027.3765053,endpoint or platform identification,service-probe traffic captured by honeypots,scanner organization including open-set unknown,>=2,The classifier consumes service-probe traffic captured by honeypots gathered from passively observable network traffic.,The evaluation trains a service-specific open-set classifiers from data.,The reported evaluation assigns one of the fixed labels in this scheme: scanner organization including open-set unknown.,This classification or detection task is a central system contribution or central evaluated task.,"PDF pp. 1, 2",https://raw.githubusercontent.com/lemonhx25/scannergrouper/main/docs/scannergrouper_fullpaper.pdf
P16208,SISTAR: An Efficient DDoS Detection and Mitigation Framework Utilizing Programmable Data Planes.,Yinglong Han; Zibo Gao; Qihang Zhou; Junjie Hu (disambiguation); Feng Guo (disambiguation); Yixin Zhang (disambiguation); Zhiqiang Lv,ACM CCS,Security and privacy,2025,Main research proceedings,Full research paper,4589-4603,10.1145/3719027.3765046,https://doi.org/10.1145/3719027.3765046,security-state classification,Passively observed traffic feature records,DDoS versus benign traffic,2,The adjudicated task consumes Passively observed traffic feature records gathered from passively observable network traffic.,The adjudicated evaluation trains a CTS decision-tree detector from data.,The adjudicated evidence establishes the fixed label scheme: DDoS versus benign traffic.,The learned fixed-label passive traffic detector is central and qualifies independently of the programmable mitigation pipeline.,Printed p. 4589,https://doi.org/10.1145/3719027.3765046
P16217,Swallow: A Transfer-Robust Website Fingerprinting Attack via Consistent Feature Learning.,Meng Shen; Jinhe Wu; Junyu Ai; Qi Li; Chenchen Ren; Ke Xu; Liehuang Zhu,ACM CCS,Security and privacy,2025,Main research proceedings,Full research paper,1574-1588,10.1145/3719027.3744795,https://doi.org/10.1145/3719027.3744795,semantic inference,Tor page-load network trace,Visited website,100; 95,Tor page-load packet-direction and interaction traces are transformed into Consistent Interaction Features.,A self-supervised encoder and supervised classifier are trained and transferred across network conditions.,"Seven closed-world datasets each evaluate 100 website classes; the public Wang and DF datasets evaluate 100 and 95 monitored websites, respectively.",Closed- and open-world website fingerprinting is the paper's central task.,PDF p. 1,https://doi.org/10.1145/3719027.3744795
P16247,Training Robust Classifiers for Classifying Encrypted Traffic under Dynamic Network Conditions.,Yuqi Qing; Qilei Yin; Xinhao Deng; Xiaoli Zhang; Peiyang Li; Zhuotao Liu; Kun Sun; Ke Xu; Qi Li,ACM CCS,Security and privacy,2025,Main research proceedings,Full research paper,3564-3578,10.1145/3719027.3765073,https://doi.org/10.1145/3719027.3765073,semantic inference,Encrypted network flow,Android version in the encrypted-traffic classification task,4,Encrypted network flows are represented using packet-byte and traffic-pattern features under changing network conditions.,MetaTraffic is a meta-learning training framework for supervised deep traffic classifiers.,The paper-linked evaluation artifact configures the Android-Version downstream task with nb_labels=4.,Encrypted-traffic classification under dynamic conditions is the central evaluated task.,"PDF pp. 1, 2",https://doi.org/10.1145/3719027.3765073
P16248,Training with Only 1.0 ‰ Samples: Malicious Traffic Detection via Cross-Modality Feature Fusion.,Chuanpu Fu; Elisa Bertino; Ke Xu 0002; Qi Li 0002,ACM CCS,Security and privacy,2025,Main research proceedings,Full research paper,3930-3944,10.1145/3719027.3765143,https://doi.org/10.1145/3719027.3765143,security-state classification,"packet, flow, and host traffic features",malicious versus benign traffic,2,"The classifier consumes packet, flow, and host traffic features gathered from passively observable network traffic.",The evaluation trains a cross-modality attention classifier from data.,The reported evaluation assigns one of the fixed labels in this scheme: malicious versus benign traffic.,This classification or detection task is a central system contribution or central evaluated task.,"PDF pp. 1, 2",https://doi.org/10.1145/3719027.3765143
P16354,DarkVec: automatic analysis of darknet traffic with word embeddings.,Luca Gioacchini; Luca Vassio; Marco Mellia; Idilio Drago; Zied Ben-Houidi; Dario Rossi,CoNEXT,Networking,2021,Main research proceedings,Full research paper,76-89,10.1145/3485983.3494863,https://doi.org/10.1145/3485983.3494863,semantic inference,One source IPv4 address's ordered darknet service-hit sequence.,Mirai-like; Censys; Stretchoid; Internet Census; BinaryEdge; Sharashka; Ipip; Shodan; Engin-UMich,9,Darknet packet traces are transformed into each sender IPv4's ordered service-hit sequence.,Word2Vec learns traffic-context embeddings; final prediction uses 7-nearest-neighbor.,"{""count"":9,""mutuallyExclusive"":true,""labels"":[""Mirai-like"",""Censys"",""Stretchoid"",""Internet Census"",""BinaryEdge"",""Sharashka"",""Ipip"",""Shodan"",""Engin-UMich""],""openSetNote"":""Unknown is rejected/excluded from final known-class scoring.""}",Automatic darknet-activity classification is the paper's central method and evaluated task.,"PDF pp. 1, 2",https://doi.org/10.1145/3485983.3494863
P16398,FIAT: frictionless authentication of IoT traffic.,Matteo Varvello; Yunming Xiao,CoNEXT,Networking,2022,Main research proceedings,Full research paper,156-170,10.1145/3555050.3569126,https://doi.org/10.1145/3555050.3569126,security-state classification,first packets of unpredictable IoT events,manual versus non-manual IoT events,2,The classifier consumes first packets of unpredictable IoT events gathered from passively observable network traffic.,The evaluation trains a Bernoulli naive Bayes event classifier from data.,The reported evaluation assigns one of the fixed labels in this scheme: manual versus non-manual IoT events.,This classification or detection task is a central system contribution or central evaluated task.,"PDF pp. 1, 2",https://yunmingxiao.github.io/publication/22conext-fiat/conext22-xiao.pdf
P16406,Lumen: a framework for developing and evaluating ML-based IoT network anomaly detection.,Maria Apostolaki; Vyas Sekar; Ishan Sabane; Anthony Rowe 0001; Rahul Anand Sharma,CoNEXT,Networking,2022,Main research proceedings,Full research paper,59-71,10.1145/3555050.3569129,https://doi.org/10.1145/3555050.3569129,security-state classification,packet and connection traffic captures,malicious versus benign traffic,2,The classifier consumes packet and connection traffic captures gathered from passively observable network traffic.,The evaluation trains a supervised NIDS models and Lumen-guided classifiers from data.,The reported evaluation assigns one of the fixed labels in this scheme: malicious versus benign traffic.,This classification or detection task is a central system contribution or central evaluated task.,PDF p. 1,https://rahul-anand.github.io/assets/pdf/lumen22.pdf
P16418,Xatu: boosting existing DDoS detection systems using auxiliary signals.,Sivaramakrishnan Ramanathan; Alexander M. Rush; Minlan Yu; Jelena Mirkovic; Zhiying Xu,CoNEXT,Networking,2022,Main research proceedings,Full research paper,1-17,10.1145/3555050.3569121,https://doi.org/10.1145/3555050.3569121,security-state classification,Per-customer time series of sampled NetFlow records and auxiliary signals,DDoS attack versus non-attack traffic,2,The adjudicated task consumes Per-customer time series of sampled NetFlow records and auxiliary signals gathered from passively observable network traffic.,The adjudicated evaluation trains a Multi-timescale LSTM with survival-analysis training from data.,The adjudicated evidence establishes the fixed label scheme: DDoS attack versus non-attack traffic.,"The learned binary DDoS detector uses passive flow records, fixed labels, and a central evaluated prediction task.","PDF pp. 1, 4, 6 to 8",https://doi.org/10.1145/3555050.3569121
P16931,Adaptive Webpage Fingerprinting from TLS Traces.,Vasilios Mavroudis; Jamie Hayes,DSN,Security and privacy,2023,Main research proceedings,Full research paper,445-458,10.1109/dsn58367.2023.00049,https://doi.org/10.1109/DSN58367.2023.00049,semantic inference,One TLS page-load trace.,Visited webpage.,Paper explicitly reports webpage identification over thousands of classes.,TLS-encrypted webpage traffic traces using packet directions/sizes/timing.,Adaptive prototypical metric-learning classifier trained for webpage fingerprinting.,Paper explicitly reports webpage identification over thousands of classes.,The main method and evaluation of “Adaptive Webpage Fingerprinting from TLS Traces.” centre on the learned multiclass classifier described in this row.,PDF p. 1,https://doi.org/10.1109/DSN58367.2023.00049
P17056,Targeted Privacy Attacks by Fingerprinting Mobile Apps in LTE Radio Layer.,Jaejong Baek; Pradeep Kumar Duraisamy Soundrapandian; Sukwha Kyung; Ruoyu Wang; Yan Shoshitaishvili; Adam Doupé; Gail-Joon Ahn,DSN,Security and privacy,2023,Main research proceedings,Full research paper,261-273,10.1109/dsn58367.2023.00035,https://doi.org/10.1109/DSN58367.2023.00035,semantic inference,An LTE physical-channel trace/window for one app activity.,Mobile app/activity or coarse activity family.,"Table VIII explicitly evaluates three mutually exclusive classes (Streaming, Calling, Messenger); additional 9-app/activity variants are evaluated.",LTE transport-block-size/time traces collected from app activities.,"Random Forest, logistic regression, kNN, and CNN classifiers are trained and evaluated.","Table VIII explicitly evaluates three mutually exclusive classes (Streaming, Calling, Messenger); additional 9-app/activity variants are evaluated.",The main method and evaluation of “Targeted Privacy Attacks by Fingerprinting Mobile Apps in LTE Radio Layer.” centre on the learned multiclass classifier described in this row.,"PDF pp. 1, 2, 4",https://doi.org/10.1109/DSN58367.2023.00035
P17148,Real-Time Intrusion Detection and Prevention with Neural Network in Kernel Using eBPF.,Zilong He (disambiguation); Junyu Zhang (disambiguation); Xiaoyun Li (disambiguation); Pengfei Chen 0002; Hongyang Chen 0002,DSN,Security and privacy,2024,Main research proceedings,Full research paper,416-428,10.1109/dsn58291.2024.00048,https://doi.org/10.1109/DSN58291.2024.00048,security-state classification,packet and flow features,intrusion versus benign traffic,2,The classifier consumes packet and flow features gathered from passively observable network traffic.,The evaluation trains a neural-network intrusion classifier from data.,The reported evaluation assigns one of the fixed labels in this scheme: intrusion versus benign traffic.,This classification or detection task is a central system contribution or central evaluated task.,"PDF pp. 1, 2",https://doi.org/10.1109/DSN58291.2024.00048
