record_id,direct_title_pattern,abstract_promotion_pattern,strong_keyword_recall,quality_assurance_sample,supplemental_relevance_review,primary_component
P04830,false,false,false,true,false,venue-year-stratified quality-assurance sample
P04856,false,false,false,true,false,venue-year-stratified quality-assurance sample
P05063,false,false,false,true,false,venue-year-stratified quality-assurance sample
P05100,false,false,false,true,false,venue-year-stratified quality-assurance sample
P05215,false,false,true,false,false,strong-keyword recall review
P05359,false,false,false,true,false,venue-year-stratified quality-assurance sample
P05362,false,false,false,true,false,venue-year-stratified quality-assurance sample
P05456,false,false,false,true,false,venue-year-stratified quality-assurance sample
P05490,false,false,false,true,false,venue-year-stratified quality-assurance sample
P05512,true,false,false,false,false,direct title pattern
P05702,false,true,true,false,false,abstract promotion pattern
P05712,false,false,false,true,false,venue-year-stratified quality-assurance sample
P05723,false,false,false,true,false,venue-year-stratified quality-assurance sample
P05725,false,false,true,false,false,strong-keyword recall review
P05786,false,false,false,true,false,venue-year-stratified quality-assurance sample
P05861,false,false,false,true,false,venue-year-stratified quality-assurance sample
P05906,true,false,false,false,false,direct title pattern
P05927,false,true,false,false,false,abstract promotion pattern
P05938,false,false,false,true,false,venue-year-stratified quality-assurance sample
P05967,false,false,false,true,false,venue-year-stratified quality-assurance sample
P06097,false,false,false,true,false,venue-year-stratified quality-assurance sample
P06155,false,false,false,true,false,venue-year-stratified quality-assurance sample
P06164,false,false,true,false,false,strong-keyword recall review
P06417,false,false,false,true,false,venue-year-stratified quality-assurance sample
P06428,false,false,true,false,false,strong-keyword recall review
P06577,false,false,false,true,false,venue-year-stratified quality-assurance sample
P06593,false,false,false,true,false,venue-year-stratified quality-assurance sample
P06671,false,false,false,true,false,venue-year-stratified quality-assurance sample
P06822,true,false,false,false,false,direct title pattern
P06842,false,false,true,false,false,strong-keyword recall review
P06909,false,false,false,true,false,venue-year-stratified quality-assurance sample
P06955,false,false,false,true,false,venue-year-stratified quality-assurance sample
P06971,true,false,false,false,false,direct title pattern
P07073,false,false,true,false,false,strong-keyword recall review
P07125,false,false,false,true,false,venue-year-stratified quality-assurance sample
P07127,true,false,false,false,false,direct title pattern
P07199,false,false,true,false,false,strong-keyword recall review
P07200,false,false,true,false,false,strong-keyword recall review
P07202,false,false,true,false,false,strong-keyword recall review
P07254,true,false,false,false,false,direct title pattern
P07268,false,false,false,true,false,venue-year-stratified quality-assurance sample
P07300,false,false,false,true,false,venue-year-stratified quality-assurance sample
P07361,false,false,false,true,false,venue-year-stratified quality-assurance sample
P07364,false,false,true,false,false,strong-keyword recall review
P07451,false,false,false,true,false,venue-year-stratified quality-assurance sample
P07480,true,false,false,false,false,direct title pattern
P07570,true,false,false,false,false,direct title pattern
P07724,false,false,false,true,false,venue-year-stratified quality-assurance sample
P07727,false,true,false,false,false,abstract promotion pattern
P07779,false,false,false,true,false,venue-year-stratified quality-assurance sample
P07808,false,false,false,true,false,venue-year-stratified quality-assurance sample
P07840,false,false,false,true,false,venue-year-stratified quality-assurance sample
P07856,false,false,false,true,false,venue-year-stratified quality-assurance sample
P07910,false,false,false,true,false,venue-year-stratified quality-assurance sample
P07988,false,false,false,true,false,venue-year-stratified quality-assurance sample
P08065,false,false,false,true,false,venue-year-stratified quality-assurance sample
P08235,false,false,false,true,false,venue-year-stratified quality-assurance sample
P08280,false,false,false,true,false,venue-year-stratified quality-assurance sample
P08404,false,false,false,true,false,venue-year-stratified quality-assurance sample
P08525,true,false,false,false,false,direct title pattern
P08623,false,false,false,true,false,venue-year-stratified quality-assurance sample
P08678,true,false,false,false,false,direct title pattern
P08686,false,false,false,true,false,venue-year-stratified quality-assurance sample
P08764,false,false,false,true,false,venue-year-stratified quality-assurance sample
P08831,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09008,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09102,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09111,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09169,false,false,true,false,false,strong-keyword recall review
P09200,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09223,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09514,false,false,true,false,false,strong-keyword recall review
P09563,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09573,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09590,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09631,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09732,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09758,false,true,false,false,false,abstract promotion pattern
P09772,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09777,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09872,false,false,false,true,false,venue-year-stratified quality-assurance sample
P09886,false,true,true,false,false,abstract promotion pattern
P09946,false,true,false,false,false,abstract promotion pattern
P10143,false,false,true,false,false,strong-keyword recall review
P10227,false,false,false,true,false,venue-year-stratified quality-assurance sample
P10270,false,false,false,true,false,venue-year-stratified quality-assurance sample
P10318,false,false,false,true,false,venue-year-stratified quality-assurance sample
P10359,false,false,true,false,false,strong-keyword recall review
P10384,false,false,false,true,false,venue-year-stratified quality-assurance sample
P10459,false,false,false,true,false,venue-year-stratified quality-assurance sample
P10537,false,false,false,true,false,venue-year-stratified quality-assurance sample
P10728,false,false,false,true,false,venue-year-stratified quality-assurance sample
P10795,false,false,true,false,false,strong-keyword recall review
P10821,false,false,true,false,false,strong-keyword recall review
P10852,false,false,false,true,false,venue-year-stratified quality-assurance sample
P10901,false,false,false,true,false,venue-year-stratified quality-assurance sample
P10926,false,false,false,true,false,venue-year-stratified quality-assurance sample
P10987,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11067,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11108,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11130,false,false,true,false,false,strong-keyword recall review
P11131,true,false,false,false,false,direct title pattern
P11139,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11167,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11276,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11328,true,false,false,false,false,direct title pattern
P11363,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11407,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11411,false,true,true,false,false,abstract promotion pattern
P11558,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11627,false,false,true,false,false,strong-keyword recall review
P11665,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11796,true,false,false,false,false,direct title pattern
P11806,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11809,false,false,true,false,false,strong-keyword recall review
P11833,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11835,false,false,true,false,false,strong-keyword recall review
P11875,false,false,false,true,false,venue-year-stratified quality-assurance sample
P11960,false,false,false,true,false,venue-year-stratified quality-assurance sample
P12121,false,false,true,false,false,strong-keyword recall review
P12203,false,false,false,true,false,venue-year-stratified quality-assurance sample
P12291,true,false,false,false,false,direct title pattern
P12360,true,false,false,false,false,direct title pattern
P12361,true,false,false,false,false,direct title pattern
P12386,false,false,false,true,false,venue-year-stratified quality-assurance sample
P12435,true,false,false,false,false,direct title pattern
P12536,false,false,false,true,false,venue-year-stratified quality-assurance sample
P12670,false,false,false,true,false,venue-year-stratified quality-assurance sample
P12732,false,false,false,true,false,venue-year-stratified quality-assurance sample
P12898,false,false,false,true,false,venue-year-stratified quality-assurance sample
P12944,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13076,true,false,false,false,false,direct title pattern
P13145,true,false,false,false,false,direct title pattern
P13193,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13214,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13268,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13299,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13316,false,false,true,false,false,strong-keyword recall review
P13345,false,false,true,false,false,strong-keyword recall review
P13391,false,false,true,false,false,strong-keyword recall review
P13408,true,false,false,false,false,direct title pattern
P13426,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13432,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13436,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13474,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13564,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13616,false,false,true,false,false,strong-keyword recall review
P13731,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13784,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13814,true,false,false,false,false,direct title pattern
P13883,false,true,false,false,false,abstract promotion pattern
P13888,true,false,false,false,false,direct title pattern
P13891,false,false,true,false,false,strong-keyword recall review
P13903,false,false,true,false,false,strong-keyword recall review
P13904,false,false,true,false,false,strong-keyword recall review
P13919,false,false,true,false,false,strong-keyword recall review
P13937,true,false,false,false,false,direct title pattern
P13946,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13948,false,false,true,false,false,strong-keyword recall review
P13958,true,false,false,false,false,direct title pattern
P13963,false,false,true,false,false,strong-keyword recall review
P13964,false,false,true,false,false,strong-keyword recall review
P13988,true,false,false,false,false,direct title pattern
P13990,false,false,false,true,false,venue-year-stratified quality-assurance sample
P13995,false,false,true,false,false,strong-keyword recall review
P14000,true,false,false,false,false,direct title pattern
P14001,false,false,true,false,false,strong-keyword recall review
P14009,true,false,false,false,false,direct title pattern
P14023,false,false,true,false,false,strong-keyword recall review
P14024,false,false,true,false,false,strong-keyword recall review
P14069,false,false,true,false,false,strong-keyword recall review
P14070,false,false,false,true,false,venue-year-stratified quality-assurance sample
P14082,false,false,true,false,false,strong-keyword recall review
P14084,false,false,true,false,false,strong-keyword recall review
P14090,false,false,true,false,false,strong-keyword recall review
P14091,false,false,true,false,false,strong-keyword recall review
P14095,false,false,true,false,false,strong-keyword recall review
P14109,true,false,false,false,false,direct title pattern
P14131,false,false,true,false,false,strong-keyword recall review
P14145,false,false,true,false,false,strong-keyword recall review
P14154,false,false,true,false,false,strong-keyword recall review
P14188,true,false,false,false,false,direct title pattern
P14222,false,false,false,true,false,venue-year-stratified quality-assurance sample
P14253,false,false,true,false,false,strong-keyword recall review
P14255,true,false,false,false,false,direct title pattern
P14260,true,false,false,false,false,direct title pattern
P14295,false,false,false,true,false,venue-year-stratified quality-assurance sample
P14302,true,false,false,false,false,direct title pattern
P14366,false,false,true,false,false,strong-keyword recall review
P14374,true,false,false,false,false,direct title pattern
P14376,false,false,true,false,false,strong-keyword recall review
P14383,false,false,true,false,false,strong-keyword recall review
P14390,true,false,false,false,false,direct title pattern
P14399,false,false,true,false,false,strong-keyword recall review
P14413,true,false,false,false,false,direct title pattern
P14441,false,true,true,false,false,abstract promotion pattern
P14472,false,false,false,true,false,venue-year-stratified quality-assurance sample
P14473,false,true,true,false,false,abstract promotion pattern
P14478,true,false,false,false,false,direct title pattern
P14504,false,false,true,false,false,strong-keyword recall review
P14524,false,false,true,false,false,strong-keyword recall review
P14527,false,false,true,false,false,strong-keyword recall review
P14533,false,false,true,false,false,strong-keyword recall review
P14538,true,false,false,false,false,direct title pattern
P14542,false,false,true,false,false,strong-keyword recall review
P14549,false,false,true,false,false,strong-keyword recall review
P14551,false,false,true,false,false,strong-keyword recall review
P14557,true,false,false,false,false,direct title pattern
P14607,false,false,true,false,false,strong-keyword recall review
P14629,false,false,true,false,false,strong-keyword recall review
P14640,true,false,false,false,false,direct title pattern
P14644,false,false,true,false,false,strong-keyword recall review
P14648,false,false,false,true,false,venue-year-stratified quality-assurance sample
P14653,false,false,true,false,false,strong-keyword recall review
P14669,false,false,true,false,false,strong-keyword recall review
P14670,false,false,true,false,false,strong-keyword recall review
P14697,false,false,false,true,false,venue-year-stratified quality-assurance sample
P14699,false,false,true,false,false,strong-keyword recall review
P14710,false,false,true,false,false,strong-keyword recall review
P14715,false,false,true,false,false,strong-keyword recall review
P14762,false,false,true,false,false,strong-keyword recall review
P14774,true,false,false,false,false,direct title pattern
P14790,false,false,true,false,false,strong-keyword recall review
P14801,false,true,false,false,false,abstract promotion pattern
P14810,true,false,false,false,false,direct title pattern
P14820,false,false,false,true,false,venue-year-stratified quality-assurance sample
P14822,false,false,true,false,false,strong-keyword recall review
P14838,false,false,true,false,false,strong-keyword recall review
P14850,true,false,false,false,false,direct title pattern
P14853,true,false,false,false,false,direct title pattern
P14859,false,false,true,false,false,strong-keyword recall review
P14860,false,false,true,false,false,strong-keyword recall review
P14871,false,true,false,false,false,abstract promotion pattern
P14883,false,false,true,false,false,strong-keyword recall review
P14887,false,true,false,false,false,abstract promotion pattern
P14891,false,true,false,false,false,abstract promotion pattern
P14955,true,false,false,false,false,direct title pattern
P14986,false,false,false,true,false,venue-year-stratified quality-assurance sample
P15004,false,false,false,true,false,venue-year-stratified quality-assurance sample
P15226,true,false,false,false,false,direct title pattern
P15241,false,false,true,false,false,strong-keyword recall review
P15270,true,false,false,false,false,direct title pattern
P15299,false,false,false,true,false,venue-year-stratified quality-assurance sample
P15317,false,false,true,false,false,strong-keyword recall review
P15319,false,false,false,true,false,venue-year-stratified quality-assurance sample
P15326,true,false,false,false,false,direct title pattern
P15385,true,false,false,false,false,direct title pattern
P15401,true,false,false,false,false,direct title pattern
P15404,false,false,true,false,false,strong-keyword recall review
P15413,false,false,true,false,false,strong-keyword recall review
P15422,false,true,false,false,false,abstract promotion pattern
P15430,true,false,false,false,false,direct title pattern
P15433,false,false,true,false,false,strong-keyword recall review
P15536,false,true,false,false,false,abstract promotion pattern
P15558,false,true,true,false,false,abstract promotion pattern
P15622,false,true,false,false,false,abstract promotion pattern
P15632,false,false,true,false,false,strong-keyword recall review
P15727,false,false,false,true,false,venue-year-stratified quality-assurance sample
P15760,false,false,false,true,false,venue-year-stratified quality-assurance sample
P15762,true,false,false,false,false,direct title pattern
P15812,false,false,false,true,false,venue-year-stratified quality-assurance sample
P15837,true,false,false,false,false,direct title pattern
P15840,false,false,true,false,false,strong-keyword recall review
P15851,false,false,true,false,false,strong-keyword recall review
P15866,false,false,false,true,false,venue-year-stratified quality-assurance sample
P15904,false,false,true,false,false,strong-keyword recall review
P15936,false,false,false,true,false,venue-year-stratified quality-assurance sample
P15938,true,false,false,false,false,direct title pattern
P15956,false,false,true,false,false,strong-keyword recall review
P15988,false,false,true,false,false,strong-keyword recall review
P15995,false,false,true,false,false,strong-keyword recall review
P16000,true,false,false,false,false,direct title pattern
P16004,true,false,false,false,false,direct title pattern
P16005,false,false,true,false,false,strong-keyword recall review
P16009,false,false,true,false,false,strong-keyword recall review
P16010,false,false,false,true,false,venue-year-stratified quality-assurance sample
P16015,true,false,false,false,false,direct title pattern
P16071,true,false,false,false,false,direct title pattern
P16166,false,false,false,true,false,venue-year-stratified quality-assurance sample
P16170,false,false,true,false,false,strong-keyword recall review
P16208,false,false,true,false,false,strong-keyword recall review
P16210,false,false,false,true,false,venue-year-stratified quality-assurance sample
P16217,true,false,false,false,false,direct title pattern
P16247,true,false,false,false,false,direct title pattern
P16248,true,false,false,false,false,direct title pattern
P16282,false,false,true,false,false,strong-keyword recall review
P16290,true,false,false,false,false,direct title pattern
P16297,false,true,true,false,false,abstract promotion pattern
P16299,false,false,true,false,false,strong-keyword recall review
P16304,false,false,true,false,false,strong-keyword recall review
P16311,false,false,true,false,false,strong-keyword recall review
P16318,true,false,false,false,false,direct title pattern
P16320,false,false,true,false,false,strong-keyword recall review
P16322,false,false,true,false,false,strong-keyword recall review
P16324,false,false,true,false,false,strong-keyword recall review
P16328,false,false,true,false,false,strong-keyword recall review
P16329,false,false,true,false,false,strong-keyword recall review
P16334,false,false,false,true,false,venue-year-stratified quality-assurance sample
P16338,false,true,false,false,false,abstract promotion pattern
P16341,false,false,true,false,false,strong-keyword recall review
P16343,false,false,true,false,false,strong-keyword recall review
P16346,false,false,true,false,false,strong-keyword recall review
P16351,true,false,false,false,false,direct title pattern
P16354,false,true,true,false,false,abstract promotion pattern
P16361,true,false,false,false,false,direct title pattern
P16379,true,false,false,false,false,direct title pattern
P16381,true,false,false,false,false,direct title pattern
P16383,false,false,true,false,false,strong-keyword recall review
P16384,false,false,false,true,false,venue-year-stratified quality-assurance sample
P16387,false,false,true,false,false,strong-keyword recall review
P16388,false,false,true,false,false,strong-keyword recall review
P16398,true,false,false,false,false,direct title pattern
P16400,false,false,true,false,false,strong-keyword recall review
P16401,false,false,true,false,false,strong-keyword recall review
P16403,false,false,false,true,false,venue-year-stratified quality-assurance sample
P16404,false,false,true,false,false,strong-keyword recall review
P16406,false,false,true,false,false,strong-keyword recall review
P16408,false,false,true,false,false,strong-keyword recall review
P16414,false,false,true,false,false,strong-keyword recall review
P16418,false,false,true,false,false,strong-keyword recall review
P16631,false,false,true,false,false,strong-keyword recall review
P16639,false,false,false,true,false,venue-year-stratified quality-assurance sample
P16655,true,false,false,false,false,direct title pattern
P16657,false,false,true,false,false,strong-keyword recall review
P16683,false,false,true,false,false,strong-keyword recall review
P16695,false,false,true,false,false,strong-keyword recall review
P16763,true,false,false,false,false,direct title pattern
P16768,false,false,false,true,false,venue-year-stratified quality-assurance sample
P16811,false,false,true,false,false,strong-keyword recall review
P16826,false,false,true,false,false,strong-keyword recall review
P16839,false,false,false,true,false,venue-year-stratified quality-assurance sample
P16845,true,false,false,false,false,direct title pattern
P16931,true,false,false,false,false,direct title pattern
P16957,false,false,true,false,false,strong-keyword recall review
P16999,false,false,true,false,false,strong-keyword recall review
P17010,false,false,true,false,false,strong-keyword recall review
P17040,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17054,false,false,true,false,false,strong-keyword recall review
P17056,false,false,false,false,true,supplemental relevance review
P17073,false,false,true,false,false,strong-keyword recall review
P17094,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17117,false,false,true,false,false,strong-keyword recall review
P17148,true,false,false,false,false,direct title pattern
P17218,false,false,true,false,false,strong-keyword recall review
P17255,true,false,false,false,false,direct title pattern
P17259,true,false,false,false,false,direct title pattern
P17269,true,false,false,false,false,direct title pattern
P17280,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17290,true,false,false,false,false,direct title pattern
P17298,false,false,true,false,false,strong-keyword recall review
P17317,true,false,false,false,false,direct title pattern
P17319,true,false,false,false,false,direct title pattern
P17323,true,false,false,false,false,direct title pattern
P17349,true,false,false,false,false,direct title pattern
P17351,false,false,true,false,false,strong-keyword recall review
P17355,false,false,true,false,false,strong-keyword recall review
P17358,true,false,false,false,false,direct title pattern
P17370,false,false,true,false,false,strong-keyword recall review
P17379,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17383,false,false,true,false,false,strong-keyword recall review
P17388,true,false,false,false,false,direct title pattern
P17392,false,false,true,false,false,strong-keyword recall review
P17400,false,false,true,false,false,strong-keyword recall review
P17406,false,true,false,false,false,abstract promotion pattern
P17412,false,false,true,false,false,strong-keyword recall review
P17417,false,false,true,false,false,strong-keyword recall review
P17421,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17422,false,false,true,false,false,strong-keyword recall review
P17423,false,false,true,false,false,strong-keyword recall review
P17426,false,false,true,false,false,strong-keyword recall review
P17433,false,false,true,false,false,strong-keyword recall review
P17440,false,false,true,false,false,strong-keyword recall review
P17447,false,false,true,false,false,strong-keyword recall review
P17450,false,false,true,false,false,strong-keyword recall review
P17455,false,false,true,false,false,strong-keyword recall review
P17461,true,false,false,false,false,direct title pattern
P17467,false,false,true,false,false,strong-keyword recall review
P17468,true,false,false,false,false,direct title pattern
P17482,false,false,true,false,false,strong-keyword recall review
P17483,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17492,false,false,true,false,false,strong-keyword recall review
P17494,false,false,true,false,false,strong-keyword recall review
P17505,false,false,true,false,false,strong-keyword recall review
P17506,false,false,true,false,false,strong-keyword recall review
P17513,false,false,true,false,false,strong-keyword recall review
P17516,false,false,true,false,false,strong-keyword recall review
P17524,false,false,true,false,false,strong-keyword recall review
P17527,false,false,true,false,false,strong-keyword recall review
P17534,false,false,true,false,false,strong-keyword recall review
P17537,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17539,false,false,true,false,false,strong-keyword recall review
P17540,true,false,false,false,false,direct title pattern
P17544,false,false,true,false,false,strong-keyword recall review
P17546,false,false,true,false,false,strong-keyword recall review
P17547,false,false,true,false,false,strong-keyword recall review
P17548,false,false,true,false,false,strong-keyword recall review
P17552,false,false,true,false,false,strong-keyword recall review
P17562,false,false,true,false,false,strong-keyword recall review
P17563,false,false,true,false,false,strong-keyword recall review
P17581,false,false,true,false,false,strong-keyword recall review
P17583,false,false,true,false,false,strong-keyword recall review
P17586,true,false,false,false,false,direct title pattern
P17590,false,false,true,false,false,strong-keyword recall review
P17598,false,false,true,false,false,strong-keyword recall review
P17610,false,true,false,false,false,abstract promotion pattern
P17616,false,false,true,false,false,strong-keyword recall review
P17618,false,true,false,false,false,abstract promotion pattern
P17619,false,false,true,false,false,strong-keyword recall review
P17620,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17623,false,true,true,false,false,abstract promotion pattern
P17629,false,false,true,false,false,strong-keyword recall review
P17630,false,false,true,false,false,strong-keyword recall review
P17663,false,false,true,false,false,strong-keyword recall review
P17665,false,false,true,false,false,strong-keyword recall review
P17672,false,false,true,false,false,strong-keyword recall review
P17682,true,false,false,false,false,direct title pattern
P17684,false,false,true,false,false,strong-keyword recall review
P17709,true,false,false,false,false,direct title pattern
P17713,false,false,false,false,true,supplemental relevance review
P17721,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17726,false,false,true,false,false,strong-keyword recall review
P17769,true,false,false,false,false,direct title pattern
P17809,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17810,false,false,true,false,false,strong-keyword recall review
P17815,true,false,false,false,false,direct title pattern
P17818,true,false,false,false,false,direct title pattern
P17821,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17845,false,false,true,false,false,strong-keyword recall review
P17847,false,false,true,false,false,strong-keyword recall review
P17848,false,false,true,false,false,strong-keyword recall review
P17849,true,false,false,false,false,direct title pattern
P17851,false,false,true,false,false,strong-keyword recall review
P17862,true,false,false,false,false,direct title pattern
P17869,false,false,true,false,false,strong-keyword recall review
P17870,false,false,true,false,false,strong-keyword recall review
P17872,false,false,true,false,false,strong-keyword recall review
P17885,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17890,false,false,true,false,false,strong-keyword recall review
P17891,false,false,true,false,false,strong-keyword recall review
P17895,true,false,false,false,false,direct title pattern
P17899,true,false,false,false,false,direct title pattern
P17919,false,false,false,true,false,venue-year-stratified quality-assurance sample
P17951,false,false,true,false,false,strong-keyword recall review
P17979,false,false,true,false,false,strong-keyword recall review
P17980,true,false,false,false,false,direct title pattern
P17984,false,false,true,false,false,strong-keyword recall review
P17985,false,false,true,false,false,strong-keyword recall review
P17991,true,false,false,false,false,direct title pattern
