cohort_scope,protocol_id,configuration_id,campaign,os,browser,network,class_name,label_id,split,evaluation_role,sessions,unique_content_hashes,packet_observations,minimum_packets_per_session,maximum_packets_per_session
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,ubuntu.com,7,train,general,210,210,8209,25,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,ubuntu.com,7,validation,general,45,45,1732,28,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,web.de,9,test,general,45,45,971,13,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,web.de,9,train,general,210,210,4982,13,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,2026,ubuntu,chromium,network-a,web.de,9,validation,general,45,45,1033,13,39
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,arin.net,1,test,general,45,45,1062,22,28
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,arin.net,1,train,general,210,210,4914,21,33
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,arin.net,1,validation,general,45,45,1053,21,35
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,adblockplus.org,0,test,general,45,45,1763,30,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,adblockplus.org,0,train,general,210,210,8265,29,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,adblockplus.org,0,validation,general,45,45,1786,32,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,flipboard.com,2,test,general,45,45,1544,21,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,flipboard.com,2,train,general,210,210,7121,22,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,flipboard.com,2,validation,general,45,45,1526,20,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,garmin.com,3,test,general,45,41,1328,28,40
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,garmin.com,3,train,general,210,193,6372,27,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,garmin.com,3,validation,general,45,41,1351,29,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,getpocket.com,4,test,general,45,45,777,8,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,getpocket.com,4,train,general,210,210,3248,8,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,getpocket.com,4,validation,general,45,45,723,8,39
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,joinhoney.com,5,test,general,45,35,748,18,29
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,joinhoney.com,5,train,general,210,164,3499,18,30
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,joinhoney.com,5,validation,general,45,35,731,18,23
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,trustarc.com,6,test,general,45,45,1843,40,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,trustarc.com,6,train,general,210,210,8585,37,42
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,trustarc.com,6,validation,general,45,45,1843,40,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,waze.com,8,test,general,45,45,1845,41,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,waze.com,8,train,general,210,210,8585,34,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,waze.com,8,validation,general,45,45,1844,40,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,ubuntu.com,7,test,general,45,45,1787,35,40
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,ubuntu.com,7,train,general,210,210,8324,32,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,ubuntu.com,7,validation,general,45,45,1768,31,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,web.de,9,test,general,45,45,1037,14,39
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,web.de,9,train,general,210,210,4617,14,41
general_all_sessions_sensitivity,general_2026,C26-U-CR-B,2026,ubuntu,chromium,network-b,web.de,9,validation,general,45,45,1034,14,35
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,arin.net,1,test,general,45,45,985,11,38
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,arin.net,1,train,general,210,210,4969,11,39
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,arin.net,1,validation,general,45,45,1156,11,37
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,adblockplus.org,0,test,general,45,45,1845,41,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,adblockplus.org,0,train,general,210,210,8619,41,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,adblockplus.org,0,validation,general,45,45,1846,41,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,flipboard.com,2,test,general,45,45,1512,15,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,flipboard.com,2,train,general,210,210,6718,13,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,flipboard.com,2,validation,general,45,45,1307,15,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,garmin.com,3,test,general,45,41,1082,19,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,garmin.com,3,train,general,210,193,5290,19,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,garmin.com,3,validation,general,45,41,1086,20,35
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,getpocket.com,4,test,general,45,45,992,10,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,getpocket.com,4,train,general,210,210,4514,8,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,getpocket.com,4,validation,general,45,45,915,9,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,joinhoney.com,5,test,general,45,35,773,19,29
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,joinhoney.com,5,train,general,210,164,3655,18,30
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,joinhoney.com,5,validation,general,45,35,790,19,28
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,trustarc.com,6,test,general,45,45,1845,35,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,trustarc.com,6,train,general,210,210,8573,33,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,trustarc.com,6,validation,general,45,45,1824,37,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,waze.com,8,test,general,45,45,1843,38,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,waze.com,8,train,general,210,210,8583,34,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,waze.com,8,validation,general,45,45,1838,35,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,ubuntu.com,7,test,general,45,45,1845,41,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,ubuntu.com,7,train,general,210,210,8615,34,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,ubuntu.com,7,validation,general,45,45,1845,41,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,web.de,9,test,general,45,45,1107,13,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,web.de,9,train,general,210,210,5118,13,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-A,2026,ubuntu,firefox,network-a,web.de,9,validation,general,45,45,1176,14,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,arin.net,1,test,general,45,45,1029,21,27
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,arin.net,1,train,general,210,210,4859,21,35
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,arin.net,1,validation,general,45,45,1037,21,29
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,adblockplus.org,0,test,general,45,45,1845,41,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,adblockplus.org,0,train,general,210,210,8585,30,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,adblockplus.org,0,validation,general,45,45,1830,26,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,flipboard.com,2,test,general,45,45,1678,22,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,flipboard.com,2,train,general,210,210,8049,22,42
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,flipboard.com,2,validation,general,45,45,1757,22,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,garmin.com,3,test,general,45,41,1047,20,32
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,garmin.com,3,train,general,210,193,5005,20,33
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,garmin.com,3,validation,general,45,41,1050,20,35
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,getpocket.com,4,test,general,45,45,763,8,28
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,getpocket.com,4,train,general,210,210,3587,7,35
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,getpocket.com,4,validation,general,45,45,775,8,31
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,joinhoney.com,5,test,general,45,35,751,18,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,joinhoney.com,5,train,general,210,164,3448,16,38
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,joinhoney.com,5,validation,general,45,35,735,18,28
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,trustarc.com,6,test,general,45,45,1841,38,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,trustarc.com,6,train,general,210,210,8588,36,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,trustarc.com,6,validation,general,45,45,1839,36,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,waze.com,8,test,general,45,45,1834,33,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,waze.com,8,train,general,210,210,8568,34,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,waze.com,8,validation,general,45,45,1838,34,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,ubuntu.com,7,test,general,45,45,1845,41,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,ubuntu.com,7,train,general,210,210,8610,41,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,ubuntu.com,7,validation,general,45,45,1845,41,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,web.de,9,test,general,45,45,1068,14,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,web.de,9,train,general,210,210,5199,14,41
general_all_sessions_sensitivity,general_2026,C26-U-FF-B,2026,ubuntu,firefox,network-b,web.de,9,validation,general,45,45,1142,14,41
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,arin.net,1,test,general,45,45,1889,41,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,arin.net,1,train,general,210,210,8819,41,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,arin.net,1,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,adblockplus.org,0,test,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,adblockplus.org,0,train,general,210,210,8820,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,adblockplus.org,0,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,flipboard.com,2,test,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,flipboard.com,2,train,general,210,210,8820,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,flipboard.com,2,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,garmin.com,3,test,general,45,41,1724,42,44
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,garmin.com,3,train,general,210,193,8106,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,garmin.com,3,validation,general,45,41,1722,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,getpocket.com,4,test,general,45,45,1888,40,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,getpocket.com,4,train,general,210,210,8820,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,getpocket.com,4,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,joinhoney.com,5,test,general,45,35,1463,38,43
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,joinhoney.com,5,train,general,210,164,6804,37,44
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,joinhoney.com,5,validation,general,45,35,1458,38,44
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,trustarc.com,6,test,general,45,45,1782,35,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,trustarc.com,6,train,general,210,210,8292,35,44
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,trustarc.com,6,validation,general,45,45,1753,35,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,waze.com,8,test,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,waze.com,8,train,general,210,210,8820,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,waze.com,8,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,ubuntu.com,7,test,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,ubuntu.com,7,train,general,210,210,8821,42,43
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,ubuntu.com,7,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,web.de,9,test,general,45,45,1785,25,44
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,web.de,9,train,general,210,210,8481,25,44
general_all_sessions_sensitivity,general_2026,C26-W-CR-A,2026,windows,chromium,network-a,web.de,9,validation,general,45,45,1780,28,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,arin.net,1,test,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,arin.net,1,train,general,210,210,8870,42,50
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,arin.net,1,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,adblockplus.org,0,test,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,adblockplus.org,0,train,general,210,210,8821,42,43
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,adblockplus.org,0,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,flipboard.com,2,test,general,45,45,1894,42,44
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,flipboard.com,2,train,general,210,210,8821,41,44
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,flipboard.com,2,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,garmin.com,3,test,general,45,41,1633,32,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,garmin.com,3,train,general,210,193,7648,32,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,garmin.com,3,validation,general,45,41,1648,32,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,getpocket.com,4,test,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,getpocket.com,4,train,general,210,210,8817,41,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,getpocket.com,4,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,joinhoney.com,5,test,general,45,35,1445,38,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,joinhoney.com,5,train,general,210,164,6813,38,44
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,joinhoney.com,5,validation,general,45,35,1453,37,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,trustarc.com,6,test,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,trustarc.com,6,train,general,210,210,8820,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,trustarc.com,6,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,waze.com,8,test,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,waze.com,8,train,general,210,210,8820,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,waze.com,8,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,ubuntu.com,7,test,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,ubuntu.com,7,train,general,210,210,8828,42,48
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,ubuntu.com,7,validation,general,45,45,1892,42,44
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,web.de,9,test,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,web.de,9,train,general,210,210,8820,42,42
general_all_sessions_sensitivity,general_2026,C26-W-CR-B,2026,windows,chromium,network-b,web.de,9,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,arin.net,1,test,general,45,45,1891,42,43
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,arin.net,1,train,general,210,210,8820,41,43
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,arin.net,1,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,adblockplus.org,0,test,general,45,45,1889,41,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,adblockplus.org,0,train,general,210,210,8818,41,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,adblockplus.org,0,validation,general,45,45,1890,42,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,flipboard.com,2,test,general,45,45,1888,41,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,flipboard.com,2,train,general,210,210,8816,40,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,flipboard.com,2,validation,general,45,45,1888,41,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,garmin.com,3,test,general,45,41,1721,41,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,garmin.com,3,train,general,210,193,8100,40,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,garmin.com,3,validation,general,45,41,1720,40,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,getpocket.com,4,test,general,45,45,1913,40,43
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,getpocket.com,4,train,general,210,210,8936,41,43
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,getpocket.com,4,validation,general,45,45,1916,41,43
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,joinhoney.com,5,test,general,45,35,1430,36,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,joinhoney.com,5,train,general,210,164,6782,36,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,joinhoney.com,5,validation,general,45,35,1446,36,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,trustarc.com,6,test,general,45,45,1765,35,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,trustarc.com,6,train,general,210,210,8288,33,42
general_all_sessions_sensitivity,general_2026,C26-W-FF-A,2026,windows,firefox,network-a,trustarc.com,6,validation,general,45,45,1785,33,42
