pair_id,feature_family,included_feature_count,included_features,condition,contrast_type,configuration_a,configuration_b,family_mean_of_class_mean_distance,family_mean_of_class_median_distance,family_mean_of_class_max_distance
P004,size_packetization,1,ip_total_length_bytes,client_browser,browser,C26-W-FF-B,C26-W-CR-B,0.125396381234,0.109254710211,0.297354497354
P004,timing,1,iat_us,client_browser,browser,C26-W-FF-B,C26-W-CR-B,0.104590024516,0.0773763312913,0.220054200542
P005,direction_flags,2,direction;tcp_flag_pattern,client_os,os,C26-U-FF-A,C26-W-FF-A,0.197987575566,0.199896196147,0.251719357049
P005,host_path,2,ipv4_ttl;tcp_window_raw,client_os,os,C26-U-FF-A,C26-W-FF-A,0.159092361239,0.150032533909,0.211740196698
P005,size_packetization,1,ip_total_length_bytes,client_os,os,C26-U-FF-A,C26-W-FF-A,0.328088172732,0.308567584258,0.491147244806
P005,timing,1,iat_us,client_os,os,C26-U-FF-A,C26-W-FF-A,0.466674695453,0.48818787831,0.550823464611
P006,direction_flags,2,direction;tcp_flag_pattern,client_os,os,C26-U-FF-B,C26-W-FF-B,0.167552031592,0.175754454083,0.228405424643
P006,host_path,2,ipv4_ttl;tcp_window_raw,client_os,os,C26-U-FF-B,C26-W-FF-B,0.179683214947,0.171212616792,0.260735079475
P006,size_packetization,1,ip_total_length_bytes,client_os,os,C26-U-FF-B,C26-W-FF-B,0.316694564741,0.306587438771,0.441937831504
P006,timing,1,iat_us,client_os,os,C26-U-FF-B,C26-W-FF-B,0.416969491894,0.436096421743,0.50391043013
P007,direction_flags,2,direction;tcp_flag_pattern,client_os,os,C26-U-CR-A,C26-W-CR-A,0.168682161318,0.177311757783,0.227645409039
P007,host_path,2,ipv4_ttl;tcp_window_raw,client_os,os,C26-U-CR-A,C26-W-CR-A,0.16423639533,0.139385704057,0.244082385643
P007,size_packetization,1,ip_total_length_bytes,client_os,os,C26-U-CR-A,C26-W-CR-A,0.254982337541,0.248286782263,0.368798944785
P007,timing,1,iat_us,client_os,os,C26-U-CR-A,C26-W-CR-A,0.408455786832,0.44120155745,0.503826231265
P008,direction_flags,2,direction;tcp_flag_pattern,client_os,os,C26-U-CR-B,C26-W-CR-B,0.141456542079,0.160470621387,0.24039876113
P008,host_path,2,ipv4_ttl;tcp_window_raw,client_os,os,C26-U-CR-B,C26-W-CR-B,0.153526398689,0.152735039985,0.257671957672
P008,size_packetization,1,ip_total_length_bytes,client_os,os,C26-U-CR-B,C26-W-CR-B,0.276526220029,0.261398952441,0.406196819641
P008,timing,1,iat_us,client_os,os,C26-U-CR-B,C26-W-CR-B,0.367948186632,0.407026836774,0.500406641938
P009,direction_flags,2,direction;tcp_flag_pattern,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A,0.178180206401,0.172584997262,0.243290676374
P009,host_path,2,ipv4_ttl;tcp_window_raw,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A,0.173301791799,0.165863636694,0.250339633266
P009,size_packetization,1,ip_total_length_bytes,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A,0.286544402083,0.261059944269,0.480824602711
P009,timing,1,iat_us,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A,0.418666311435,0.445001317785,0.500264756692
P010,direction_flags,2,direction;tcp_flag_pattern,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A,0.188489530483,0.191432007539,0.229555595499
P010,host_path,2,ipv4_ttl;tcp_window_raw,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A,0.149583104452,0.142350100351,0.201322751323
P010,size_packetization,1,ip_total_length_bytes,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A,0.296995223711,0.2928254423,0.372430268213
P010,timing,1,iat_us,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A,0.45646417085,0.463693348139,0.526036839085
P011,direction_flags,2,direction;tcp_flag_pattern,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B,0.150969201561,0.15355601465,0.234913742604
P011,host_path,2,ipv4_ttl;tcp_window_raw,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B,0.217382475319,0.171393299799,0.45622015744
P011,size_packetization,1,ip_total_length_bytes,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B,0.326036459732,0.304425932274,0.497780950486
P011,timing,1,iat_us,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B,0.380446189898,0.41944800603,0.50499444097
P012,direction_flags,2,direction;tcp_flag_pattern,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B,0.164411807262,0.170043200611,0.23140588207
P012,host_path,2,ipv4_ttl;tcp_window_raw,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B,0.203840694365,0.170780541828,0.388072763927
P012,size_packetization,1,ip_total_length_bytes,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B,0.272168282661,0.273658399565,0.376526003355
P012,timing,1,iat_us,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B,0.408588399951,0.424661170533,0.499322631098
P013,direction_flags,2,direction;tcp_flag_pattern,network,network,C26-U-FF-A,C26-U-FF-B,0.0269093598102,0.0194194843776,0.0666229407206
P013,host_path,2,ipv4_ttl;tcp_window_raw,network,network,C26-U-FF-A,C26-U-FF-B,0.0128439637089,0.00299786227676,0.0581942831333
P013,size_packetization,1,ip_total_length_bytes,network,network,C26-U-FF-A,C26-U-FF-B,0.0767486020877,0.0724535752116,0.146341463415
P013,timing,1,iat_us,network,network,C26-U-FF-A,C26-U-FF-B,0.123228674278,0.12155016537,0.166313568624
P014,direction_flags,2,direction;tcp_flag_pattern,network,network,C26-U-CR-A,C26-U-CR-B,0.0278697767486,0.0256873350672,0.0696721433511
P014,host_path,2,ipv4_ttl;tcp_window_raw,network,network,C26-U-CR-A,C26-U-CR-B,0.0727484908798,0.00679061758804,0.318250448145
P014,size_packetization,1,ip_total_length_bytes,network,network,C26-U-CR-A,C26-U-CR-B,0.0798332479037,0.0599908598032,0.168423957954
P014,timing,1,iat_us,network,network,C26-U-CR-A,C26-U-CR-B,0.131446466987,0.122497827527,0.224212220115
P015,direction_flags,2,direction;tcp_flag_pattern,network,network,C26-W-FF-A,C26-W-FF-B,0.0348471064169,0.0303256659229,0.0764421215641
P015,host_path,2,ipv4_ttl;tcp_window_raw,network,network,C26-W-FF-A,C26-W-FF-B,0.0352813745724,0.0276639307397,0.0866498903084
P015,size_packetization,1,ip_total_length_bytes,network,network,C26-W-FF-A,C26-W-FF-B,0.113615734125,0.0958562867016,0.21746031746
P015,timing,1,iat_us,network,network,C26-W-FF-A,C26-W-FF-B,0.108990439704,0.110148356612,0.178902439024
P016,direction_flags,2,direction;tcp_flag_pattern,network,network,C26-W-CR-A,C26-W-CR-B,0.0415930454284,0.0230181130959,0.132211547387
P016,host_path,2,ipv4_ttl;tcp_window_raw,network,network,C26-W-CR-A,C26-W-CR-B,0.103382099064,0.0326584594354,0.447482264834
P016,size_packetization,1,ip_total_length_bytes,network,network,C26-W-CR-A,C26-W-CR-B,0.122822632132,0.111676286676,0.234920634921
P016,timing,1,iat_us,network,network,C26-W-CR-A,C26-W-CR-B,0.131897397439,0.123511738189,0.272086720867
P017,direction_flags,2,direction;tcp_flag_pattern,temporal,temporal,C24-U-FF-A,C26-U-FF-A,0.0775322439808,0.0811071370883,0.14133550894
P017,host_path,2,ipv4_ttl;tcp_window_raw,temporal,temporal,C24-U-FF-A,C26-U-FF-A,0.195299558704,0.208101708409,0.260335421898
P017,size_packetization,1,ip_total_length_bytes,temporal,temporal,C24-U-FF-A,C26-U-FF-A,0.177400793129,0.161214304706,0.355009389311
P017,timing,1,iat_us,temporal,temporal,C24-U-FF-A,C26-U-FF-A,0.197669260286,0.203796127017,0.301074817442
P018,direction_flags,2,direction;tcp_flag_pattern,temporal,temporal,C24-U-CR-A,C26-U-CR-A,0.0611776015592,0.0583617496192,0.111302282972
P018,host_path,2,ipv4_ttl;tcp_window_raw,temporal,temporal,C24-U-CR-A,C26-U-CR-A,0.204768902505,0.206701818371,0.225204348121
P018,size_packetization,1,ip_total_length_bytes,temporal,temporal,C24-U-CR-A,C26-U-CR-A,0.141056557207,0.125861670025,0.272862003342
P018,timing,1,iat_us,temporal,temporal,C24-U-CR-A,C26-U-CR-A,0.181485472384,0.166542126652,0.290348836664
