pair_id,condition,feature,supported_positions,first_supported_position,last_supported_position,mean_of_position_class_mean_distances,median_of_position_class_mean_distances,maximum_position_class_mean_distance
P007,client_os,signed_ip_total_length_bytes,40,1,40,0.518208794697,0.503583784896,0.871715060008
P007,client_os,direction,40,1,40,0.278579536428,0.270661077051,0.713341076268
P007,client_os,iat_us,39,2,40,0.514255949985,0.526287262873,0.772721641502
P007,client_os,ipv4_ttl,40,1,40,0.268581833204,0.230660730417,0.719388308169
P007,client_os,tcp_window_raw,40,1,40,0.0885595630932,0.0446442180432,0.313759194735
P007,client_os,tcp_payload_length_bytes,40,1,40,0.479564176137,0.459877875509,0.685807200929
P008,client_os,signed_ip_total_length_bytes,40,1,40,0.529684746904,0.513002080914,0.949407665505
P008,client_os,direction,40,1,40,0.253146326724,0.25854236775,0.684638017809
P008,client_os,iat_us,39,2,40,0.500814703051,0.474949186992,0.881238869532
P008,client_os,ipv4_ttl,40,1,40,0.26615925035,0.240580482371,0.687588075881
P008,client_os,tcp_window_raw,40,1,40,0.0746104478015,0.0473394416484,0.277669376694
P008,client_os,tcp_payload_length_bytes,40,1,40,0.506338686139,0.496701161232,0.846953155246
P009,client_browser_and_os,signed_ip_total_length_bytes,40,1,40,0.526887054001,0.529783447118,0.709516066589
P009,client_browser_and_os,direction,40,1,40,0.280977874705,0.289348741614,0.624421215641
P009,client_browser_and_os,iat_us,39,2,40,0.526465319814,0.536574189249,0.772721641502
P009,client_browser_and_os,ipv4_ttl,40,1,40,0.270194427739,0.230200557853,0.719388308169
P009,client_browser_and_os,tcp_window_raw,40,1,40,0.105851565243,0.0765092673248,0.312220733196
P009,client_browser_and_os,tcp_payload_length_bytes,40,1,40,0.483754886657,0.484976015419,0.659705768486
P010,client_browser_and_os,signed_ip_total_length_bytes,40,1,40,0.557364553149,0.548537318567,0.880921409214
P010,client_browser_and_os,direction,40,1,40,0.301874836488,0.308761208522,0.819837398374
P010,client_browser_and_os,iat_us,39,2,40,0.552232160696,0.562963722074,0.724150212931
P010,client_browser_and_os,ipv4_ttl,40,1,40,0.2410340574,0.20247451284,0.634626403407
P010,client_browser_and_os,tcp_window_raw,40,1,40,0.0863201385021,0.0309178310398,0.373790166473
P010,client_browser_and_os,tcp_payload_length_bytes,40,1,40,0.521922191441,0.51331110505,0.681889276036
P011,client_browser_and_os,signed_ip_total_length_bytes,40,1,40,0.565852219389,0.560028316248,0.864312814557
P011,client_browser_and_os,direction,40,1,40,0.274761750811,0.278509251057,0.683786295006
P011,client_browser_and_os,iat_us,39,2,40,0.52470258628,0.49202020202,0.853720480062
P011,client_browser_and_os,ipv4_ttl,40,1,40,0.364516545146,0.331111111111,0.687588075881
P011,client_browser_and_os,tcp_window_raw,40,1,40,0.0810944089608,0.0607662527175,0.282965543941
P011,client_browser_and_os,tcp_payload_length_bytes,40,1,40,0.55113622044,0.543238636364,0.871080139373
P012,client_browser_and_os,signed_ip_total_length_bytes,40,1,40,0.550467928399,0.549447178837,0.936391792489
P012,client_browser_and_os,direction,40,1,40,0.279043429647,0.271959207862,0.84641889276
P012,client_browser_and_os,iat_us,39,2,40,0.536945903186,0.523207365227,0.827022841657
P012,client_browser_and_os,ipv4_ttl,40,1,40,0.327985392769,0.290086546245,0.842578397213
P012,client_browser_and_os,tcp_window_raw,40,1,40,0.105438488321,0.0705788982259,0.358683701123
P012,client_browser_and_os,tcp_payload_length_bytes,40,1,40,0.524122503851,0.529477554965,0.746387921022
P013,network,signed_ip_total_length_bytes,40,1,40,0.317020666498,0.31384085963,0.511552458382
P013,network,direction,40,1,40,0.189351140956,0.191590762433,0.335156794425
P013,network,iat_us,39,2,40,0.334647320448,0.306014223872,0.730476190476
P013,network,ipv4_ttl,40,1,40,1.62918620393e-16,1.11022302463e-16,5.10702591329e-16
P013,network,tcp_window_raw,40,1,40,0.0363697983175,0.0390883190883,0.0697406116918
P013,network,tcp_payload_length_bytes,40,1,40,0.311511707837,0.304058179392,0.470832365466
P014,network,signed_ip_total_length_bytes,40,1,40,0.295502422524,0.30235121874,0.468006194348
P014,network,direction,40,1,40,0.145416229424,0.154567712125,0.254879456587
P014,network,iat_us,39,2,40,0.316963553067,0.309972899729,0.680317460318
P014,network,ipv4_ttl,40,1,40,0.124326266978,0.121929824561,0.228888888889
P014,network,tcp_window_raw,40,1,40,0.0160570149712,0.0163318773075,0.0448057813911
P014,network,tcp_payload_length_bytes,40,1,40,0.286441314657,0.289215779405,0.468006194348
P015,network,signed_ip_total_length_bytes,40,1,40,0.227753615074,0.222895654481,0.334881920248
P015,network,direction,40,1,40,0.107984823655,0.0912151213002,0.232644212156
P015,network,iat_us,39,2,40,0.230897470067,0.206346976273,0.365257452575
P015,network,ipv4_ttl,40,1,40,0.107984823655,0.0912151213002,0.232644212156
P015,network,tcp_window_raw,40,1,40,0.090728566222,0.061176926055,0.277150600078
P015,network,tcp_payload_length_bytes,40,1,40,0.225884901954,0.221962393974,0.334881920248
P016,network,signed_ip_total_length_bytes,40,1,40,0.265909447249,0.256279519938,0.383584978707
P016,network,direction,40,1,40,0.123556126632,0.122816492451,0.256515679442
P016,network,iat_us,39,2,40,0.271748922702,0.24850174216,0.433054587689
P016,network,ipv4_ttl,40,1,40,0.247056126632,0.242361595045,0.371327913279
P016,network,tcp_window_raw,40,1,40,0.0857422513301,0.0542934572203,0.28804490902
P016,network,tcp_payload_length_bytes,40,1,40,0.258930406396,0.253101045296,0.38326751839
P017,temporal,signed_ip_total_length_bytes,40,1,40,0.390697161483,0.376680908223,0.693333333333
P017,temporal,direction,40,1,40,0.187143213068,0.177490085809,0.397248677249
P017,temporal,iat_us,39,2,40,0.403629131541,0.371944120694,0.753333333333
P017,temporal,ipv4_ttl,40,1,40,0.00970629500275,5.27355936697e-16,0.0666666666667
P017,temporal,tcp_window_raw,40,1,40,0.406150069784,0.405549678211,0.94
P017,temporal,tcp_payload_length_bytes,40,1,40,0.3940513991,0.375888168712,0.735555555556
P018,temporal,signed_ip_total_length_bytes,40,1,40,0.358757483322,0.323356466161,0.757777777778
P018,temporal,direction,40,1,40,0.159632369912,0.152033646434,0.375804195804
P018,temporal,iat_us,39,2,40,0.398303763228,0.378938702284,0.686666666667
P018,temporal,ipv4_ttl,40,1,40,0.000621441202476,3.68223969834e-16,0.0170114942529
P018,temporal,tcp_window_raw,40,1,40,0.402781184656,0.412300557936,0.944444444445
P018,temporal,tcp_payload_length_bytes,40,1,40,0.353759591104,0.323224256596,0.757777777778
