cohort_scope,protocol_id,configuration_id,class_name,estimator,direction_stratum,feature,unit,contributing_sessions,observations,mean,q10,q25,median,q75,q90,iqr,minimum,maximum
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,all,ip_total_length_bytes,bytes,300,10170,1289.95240905,40,40,71,722,4570,682,40,18760
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,all,ipv4_ttl,raw_value,300,10170,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,all,tcp_payload_length_bytes,bytes,300,10170,1249.95240905,0,0,31,682,4530,682,0,18720
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,all,tcp_window_raw,raw_value,300,10170,65363.5160275,65535,65535,65535,65535,65535,0,40320,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,c2s,frame_length_bytes,bytes,300,4548,150.664248021,60,60,60,152,349,92,60,1796
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,c2s,iat_us,milliseconds,300,4548,3.188617854,0.009,0.025,0.109,0.402,12.224,0.377,0.001,115.26
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,c2s,ip_total_length_bytes,bytes,300,4548,133.352902375,40,40,40,138,335,98,40,1782
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,c2s,ipv4_ttl,raw_value,300,4548,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,c2s,tcp_payload_length_bytes,bytes,300,4548,93.3529023747,0,0,0,98,295,98,0,1742
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,c2s,tcp_window_raw,raw_value,300,4548,65151.5364996,65535,65535,65535,65535,65535,0,40320,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,s2c,frame_length_bytes,bytes,300,5622,2241.80007115,60,60,597,3432,7254,3372,60,18774
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,s2c,iat_us,milliseconds,300,5322,38.1344455092,0,0.085,0.253,2.478,25.594,2.393,0,2214.125
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,s2c,ip_total_length_bytes,bytes,300,5622,2225.60067592,40,40,583,3418,7240,3378,40,18760
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,s2c,ipv4_ttl,raw_value,300,5622,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,s2c,tcp_payload_length_bytes,bytes,300,5622,2185.60067592,0,0,543,3378,7200,3378,0,18720
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,packet_pooled,s2c,tcp_window_raw,raw_value,300,5622,65535,65535,65535,65535,65535,65535,0,65535,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,all,frame_length_bytes,bytes,300,10170,1301.93536391,60,60,85,736,4584,676,60,18774
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,all,iat_us,milliseconds,300,9870,22.9031286635,0.001,0.03,0.192,1.351,13.892,1.321,0,2214.125
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,all,ip_total_length_bytes,bytes,300,10170,1285.2262989,40,40,71,722,4570,682,40,18760
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,all,ipv4_ttl,raw_value,300,10170,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,all,tcp_payload_length_bytes,bytes,300,10170,1245.2262989,0,0,31,682,4530,682,0,18720
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,all,tcp_window_raw,raw_value,300,10170,65363.2296139,65535,65535,65535,65535,65535,0,40320,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,c2s,frame_length_bytes,bytes,300,4548,149.201997522,60,60,60,152,349,92,60,1796
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,c2s,iat_us,milliseconds,300,4548,3.15640663109,0.009,0.025,0.106,0.39,12.185,0.365,0.001,115.26
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,c2s,ip_total_length_bytes,bytes,300,4548,131.869269378,40,40,40,138,335,98,40,1782
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,c2s,ipv4_ttl,raw_value,300,4548,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,c2s,tcp_payload_length_bytes,bytes,300,4548,91.8692693778,0,0,0,98,295,98,0,1742
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,c2s,tcp_window_raw,raw_value,300,4548,65161.6706045,65535,65535,65535,65535,65535,0,40320,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,s2c,frame_length_bytes,bytes,300,5622,2233.97693192,60,60,581,3357,7254,3297,60,18774
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,s2c,iat_us,milliseconds,300,5322,39.8255202276,0,0.103,0.26,2.504,26.378,2.401,0,2214.125
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,s2c,ip_total_length_bytes,bytes,300,5622,2217.75260918,40,40,567,3343,7240,3303,40,18760
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,s2c,ipv4_ttl,raw_value,300,5622,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,s2c,tcp_payload_length_bytes,bytes,300,5622,2177.75260918,0,0,527,3303,7200,3303,0,18720
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,adblockplus.org,session_balanced,s2c,tcp_window_raw,raw_value,300,5622,65535,65535,65535,65535,65535,65535,0,65535,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,all,frame_length_bytes,bytes,300,9238,1358.6371509,60,60,85,1474,5734,1414,60,20214
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,all,iat_us,milliseconds,300,8938,14.1955257328,0.006,0.031,0.179,0.664,9.73,0.633,0,10304.627
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,all,ip_total_length_bytes,bytes,300,9238,1341.85657069,40,40,71,1460,5720,1420,40,20200
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,all,ipv4_ttl,raw_value,300,9238,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,all,tcp_payload_length_bytes,bytes,300,9238,1301.85657069,0,0,31,1420,5680,1420,0,20160
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,all,tcp_window_raw,raw_value,300,9238,65524.3712925,65535,65535,65535,65535,65535,0,55249,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,c2s,frame_length_bytes,bytes,300,4149,136.021932996,60,60,60,152,262,92,60,537
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,c2s,iat_us,milliseconds,300,4149,4.60056495541,0.009,0.02,0.084,0.218,2.534,0.198,0,10304.627
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,c2s,ip_total_length_bytes,bytes,300,4149,118.736322005,40,40,40,138,248,98,40,523
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,c2s,ipv4_ttl,raw_value,300,4149,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,c2s,tcp_payload_length_bytes,bytes,300,4149,78.7363220053,0,0,0,98,208,98,0,483
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,c2s,tcp_window_raw,raw_value,300,4149,65511.3345384,65535,65535,65535,65535,65535,0,55249,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,s2c,frame_length_bytes,bytes,300,5089,2355.42051484,60,60,357,4314,7254,4254,60,20214
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,s2c,iat_us,milliseconds,300,4789,22.5082198789,0,0.137,0.291,1.848,29.673,1.711,0,1660.705
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,s2c,ip_total_length_bytes,bytes,300,5089,2339.05168009,40,40,343,4300,7240,4260,40,20200
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,s2c,ipv4_ttl,raw_value,300,5089,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,s2c,tcp_payload_length_bytes,bytes,300,5089,2299.05168009,0,0,303,4260,7200,4260,0,20160
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,packet_pooled,s2c,tcp_window_raw,raw_value,300,5089,65535,65535,65535,65535,65535,65535,0,65535,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,all,frame_length_bytes,bytes,300,9238,1409.84287402,60,60,85,1474,5734,1414,60,20214
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,all,iat_us,milliseconds,300,8938,15.5589422175,0.007,0.03,0.182,0.669,8.951,0.639,0,10304.627
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,all,ip_total_length_bytes,bytes,300,9238,1393.04690584,40,40,71,1460,5720,1420,40,20200
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,all,ipv4_ttl,raw_value,300,9238,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,all,tcp_payload_length_bytes,bytes,300,9238,1353.04690584,0,0,31,1420,5680,1420,0,20160
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,all,tcp_window_raw,raw_value,300,9238,65523.0861298,65535,65535,65535,65535,65535,0,55249,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,c2s,frame_length_bytes,bytes,300,4149,134.534587399,60,60,60,152,262,92,60,537
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,c2s,iat_us,milliseconds,300,4149,4.63674722203,0.009,0.019,0.079,0.218,2.433,0.199,0,10304.627
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,c2s,ip_total_length_bytes,bytes,300,4149,117.140444053,40,40,40,138,248,98,40,523
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,c2s,ipv4_ttl,raw_value,300,4149,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,c2s,tcp_payload_length_bytes,bytes,300,4149,77.1404440529,0,0,0,98,208,98,0,483
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,c2s,tcp_window_raw,raw_value,300,4149,65509.977931,65535,65535,65535,65535,65535,0,55249,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,s2c,frame_length_bytes,bytes,300,5089,2462.8866528,60,60,357,4374,8141,4314,60,20214
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,s2c,iat_us,milliseconds,300,4789,25.3850997059,0,0.144,0.313,1.875,28.741,1.731,0,1660.705
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,s2c,ip_total_length_bytes,bytes,300,5089,2446.59024977,40,40,343,4360,8127,4320,40,20200
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,s2c,ipv4_ttl,raw_value,300,5089,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,s2c,tcp_payload_length_bytes,bytes,300,5089,2406.59024977,0,0,303,4320,8087,4320,0,20160
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,flipboard.com,session_balanced,s2c,tcp_window_raw,raw_value,300,5089,65535,65535,65535,65535,65535,65535,0,65535,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,all,frame_length_bytes,bytes,275,7737,1637.84386713,60,60,85,1331,6810,1271,60,23094
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,all,iat_us,milliseconds,275,7462,6.39191436612,0.008,0.033,0.185,0.932,4.597,0.899,0,2313.253
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,all,ip_total_length_bytes,bytes,275,7737,1621.05932532,40,40,71,1317,6796,1277,40,23080
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,all,ipv4_ttl,raw_value,275,7737,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,all,tcp_payload_length_bytes,bytes,275,7737,1581.05932532,0,0,31,1277,6756,1277,0,23040
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,all,tcp_window_raw,raw_value,275,7737,65378.721856,65535,65535,65535,65535,65535,0,42377,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,c2s,frame_length_bytes,bytes,275,3450,134.566956522,60,60,60,137,413,77,60,564
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,c2s,iat_us,milliseconds,275,3450,3.51492028986,0.01,0.023,0.06,0.215,2.221,0.192,0,104.082
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,c2s,ip_total_length_bytes,bytes,275,3450,116.726956522,40,40,40,123,399,83,40,550
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,c2s,ipv4_ttl,raw_value,275,3450,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,c2s,tcp_payload_length_bytes,bytes,275,3450,76.7269565217,0,0,0,83,359,83,0,510
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,c2s,tcp_window_raw,raw_value,275,3450,65184.5292754,65535,65535,65535,65535,65535,0,42377,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,s2c,frame_length_bytes,bytes,275,4287,2847.61884768,60,60,640,4227,9590,4167,60,23094
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,s2c,iat_us,milliseconds,275,4012,8.8658998006,0,0.154,0.36,2.127,5.244,1.973,0,2313.253
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,s2c,ip_total_length_bytes,bytes,275,4287,2831.68369489,40,40,626,4213,9576,4173,40,23080
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,s2c,ipv4_ttl,raw_value,275,4287,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,s2c,tcp_payload_length_bytes,bytes,275,4287,2791.68369489,0,0,586,4173,9536,4173,0,23040
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,packet_pooled,s2c,tcp_window_raw,raw_value,275,4287,65535,65535,65535,65535,65535,65535,0,65535,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,all,frame_length_bytes,bytes,275,7737,1652.88738402,60,60,85,1251,7009,1191,60,23094
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,all,iat_us,milliseconds,275,7462,6.32798101838,0.008,0.034,0.19,0.958,4.555,0.924,0,2313.253
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,all,ip_total_length_bytes,bytes,275,7737,1636.10313295,40,40,71,1237,6995,1197,40,23080
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,all,ipv4_ttl,raw_value,275,7737,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,all,tcp_payload_length_bytes,bytes,275,7737,1596.10313295,0,0,31,1197,6955,1197,0,23040
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,all,tcp_window_raw,raw_value,275,7737,65396.3137528,65535,65535,65535,65535,65535,0,42377,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,c2s,frame_length_bytes,bytes,275,3450,135.694309717,60,60,60,137,413,77,60,564
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,c2s,iat_us,milliseconds,275,3450,3.39867385119,0.01,0.024,0.063,0.216,1.781,0.192,0,104.082
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,c2s,ip_total_length_bytes,bytes,275,3450,117.88866793,40,40,40,123,399,83,40,550
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,c2s,ipv4_ttl,raw_value,275,3450,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,c2s,tcp_payload_length_bytes,bytes,275,3450,77.88866793,0,0,0,83,359,83,0,510
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,c2s,tcp_window_raw,raw_value,275,3450,65237.1270878,65535,65535,65535,65535,65535,0,42377,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,s2c,frame_length_bytes,bytes,275,4287,2874.88190442,60,60,640,4271,9791,4211,60,23094
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,s2c,iat_us,milliseconds,275,4012,9.05201177708,0,0.161,0.382,2.18,5.364,2.019,0,2313.253
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,s2c,ip_total_length_bytes,bytes,275,4287,2858.92244562,40,40,626,4257,9777,4217,40,23080
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,s2c,ipv4_ttl,raw_value,275,4287,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,s2c,tcp_payload_length_bytes,bytes,275,4287,2818.92244562,0,0,586,4217,9737,4217,0,23040
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,garmin.com,session_balanced,s2c,tcp_window_raw,raw_value,275,4287,65535,65535,65535,65535,65535,65535,0,65535,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,packet_pooled,all,frame_length_bytes,bytes,300,6551,1045.22424057,60,60,85,1647,2934,1587,60,10134
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,packet_pooled,all,iat_us,milliseconds,300,6251,5.07968453048,0.01,0.025,0.234,2.406,3.493,2.381,0,1184.948
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,packet_pooled,all,ip_total_length_bytes,bytes,300,6551,1028.34651198,40,40,71,1633,2920,1593,40,10120
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,packet_pooled,all,ipv4_ttl,raw_value,300,6551,64,64,64,64,64,64,0,64,64
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,packet_pooled,all,tcp_payload_length_bytes,bytes,300,6551,988.346511983,0,0,31,1593,2880,1593,0,10080
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,packet_pooled,all,tcp_window_raw,raw_value,300,6551,65533.2659136,65535,65535,65535,65535,65535,0,56350,65535
general_all_sessions_sensitivity,general_2026,C26-U-CR-A,getpocket.com,packet_pooled,c2s,frame_length_bytes,bytes,300,2880,130.022569444,60,60,60,60,525,0,60,699
