pair_id,condition,contrast_type,configuration_a,configuration_b,feature,feature_family,include_in_composite,class_count,class_mean_distance,class_median_distance,class_max_distance
P003,client_browser,browser,C26-W-FF-A,C26-W-CR-A,ipv4_ttl,host_path,true,10,0.0272995092463,0.0178760149599,0.102013162989
P003,client_browser,browser,C26-W-FF-A,C26-W-CR-A,tcp_flag_pattern,direction_flags,true,10,0.0184258480096,0.012561988117,0.0494386372435
P003,client_browser,browser,C26-W-FF-A,C26-W-CR-A,tcp_payload_length_bytes,redundant_reported_only,false,10,0.0839079367997,0.0644732161984,0.229423151374
P003,client_browser,browser,C26-W-FF-A,C26-W-CR-A,tcp_window_raw,host_path,true,10,0.0481150966936,0.0339103110304,0.140903811636
P004,client_browser,browser,C26-W-FF-B,C26-W-CR-B,direction,direction_flags,true,10,0.0319778560479,0.0150452236918,0.143386243386
P004,client_browser,browser,C26-W-FF-B,C26-W-CR-B,frame_length_bytes,redundant_reported_only,false,10,0.125396381234,0.109254710211,0.297354497354
P004,client_browser,browser,C26-W-FF-B,C26-W-CR-B,iat_us,timing,true,10,0.104590024516,0.0773763312913,0.220054200542
P004,client_browser,browser,C26-W-FF-B,C26-W-CR-B,ip_total_length_bytes,size_packetization,true,10,0.125396381234,0.109254710211,0.297354497354
P004,client_browser,browser,C26-W-FF-B,C26-W-CR-B,ipv4_ttl,host_path,true,10,0.171448755519,0.0274040110506,0.793121693122
P004,client_browser,browser,C26-W-FF-B,C26-W-CR-B,tcp_flag_pattern,direction_flags,true,10,0.0511515884944,0.0285714285714,0.195238095238
P004,client_browser,browser,C26-W-FF-B,C26-W-CR-B,tcp_payload_length_bytes,redundant_reported_only,false,10,0.125396381234,0.109254710211,0.297354497354
P004,client_browser,browser,C26-W-FF-B,C26-W-CR-B,tcp_window_raw,host_path,true,10,0.0471211891182,0.0376459442636,0.0953509766515
P005,client_os,os,C26-U-FF-A,C26-W-FF-A,direction,direction_flags,true,10,0.224938561385,0.237234883962,0.257491289199
P005,client_os,os,C26-U-FF-A,C26-W-FF-A,frame_length_bytes,redundant_reported_only,false,10,0.328088172732,0.308567584258,0.491147244806
P005,client_os,os,C26-U-FF-A,C26-W-FF-A,iat_us,timing,true,10,0.466674695453,0.48818787831,0.550823464611
P005,client_os,os,C26-U-FF-A,C26-W-FF-A,ip_total_length_bytes,size_packetization,true,10,0.328088172732,0.308567584258,0.491147244806
P005,client_os,os,C26-U-FF-A,C26-W-FF-A,ipv4_ttl,host_path,true,10,0.233744058765,0.223341076268,0.287830687831
P005,client_os,os,C26-U-FF-A,C26-W-FF-A,tcp_flag_pattern,direction_flags,true,10,0.171036589748,0.162557508332,0.245947424899
P005,client_os,os,C26-U-FF-A,C26-W-FF-A,tcp_payload_length_bytes,redundant_reported_only,false,10,0.328088172732,0.308567584258,0.491147244806
P005,client_os,os,C26-U-FF-A,C26-W-FF-A,tcp_window_raw,host_path,true,10,0.0844406637139,0.0767239915507,0.135649705566
P006,client_os,os,C26-U-FF-B,C26-W-FF-B,direction,direction_flags,true,10,0.198902010186,0.199471921984,0.258677365994
P006,client_os,os,C26-U-FF-B,C26-W-FF-B,frame_length_bytes,redundant_reported_only,false,10,0.316694564741,0.306587438771,0.441937831504
P006,client_os,os,C26-U-FF-B,C26-W-FF-B,iat_us,timing,true,10,0.416969491894,0.436096421743,0.50391043013
P006,client_os,os,C26-U-FF-B,C26-W-FF-B,ip_total_length_bytes,size_packetization,true,10,0.316694564741,0.306587438771,0.441937831504
P006,client_os,os,C26-U-FF-B,C26-W-FF-B,ipv4_ttl,host_path,true,10,0.26474652247,0.249121463656,0.347619047619
P006,client_os,os,C26-U-FF-B,C26-W-FF-B,tcp_flag_pattern,direction_flags,true,10,0.136202052997,0.152036986181,0.198133483291
P006,client_os,os,C26-U-FF-B,C26-W-FF-B,tcp_payload_length_bytes,redundant_reported_only,false,10,0.316694564741,0.306587438771,0.441937831504
P006,client_os,os,C26-U-FF-B,C26-W-FF-B,tcp_window_raw,host_path,true,10,0.0946199074247,0.0933037699275,0.173851111331
P007,client_os,os,C26-U-CR-A,C26-W-CR-A,direction,direction_flags,true,10,0.187739750884,0.19965475659,0.240734208031
P007,client_os,os,C26-U-CR-A,C26-W-CR-A,frame_length_bytes,redundant_reported_only,false,10,0.254982337541,0.248286782263,0.368798944785
P007,client_os,os,C26-U-CR-A,C26-W-CR-A,iat_us,timing,true,10,0.408455786832,0.44120155745,0.503826231265
P007,client_os,os,C26-U-CR-A,C26-W-CR-A,ip_total_length_bytes,size_packetization,true,10,0.254982337541,0.248286782263,0.368798944785
P007,client_os,os,C26-U-CR-A,C26-W-CR-A,ipv4_ttl,host_path,true,10,0.261043568011,0.241128486447,0.330158730159
P007,client_os,os,C26-U-CR-A,C26-W-CR-A,tcp_flag_pattern,direction_flags,true,10,0.149624571751,0.154968758977,0.214556610046
P007,client_os,os,C26-U-CR-A,C26-W-CR-A,tcp_payload_length_bytes,redundant_reported_only,false,10,0.254982337541,0.248286782263,0.368798944785
P007,client_os,os,C26-U-CR-A,C26-W-CR-A,tcp_window_raw,host_path,true,10,0.0674292226495,0.0376429216673,0.158006041127
P008,client_os,os,C26-U-CR-B,C26-W-CR-B,direction,direction_flags,true,10,0.168076894931,0.183403281847,0.247812620983
P008,client_os,os,C26-U-CR-B,C26-W-CR-B,frame_length_bytes,redundant_reported_only,false,10,0.276526220029,0.261398952441,0.406196819641
P008,client_os,os,C26-U-CR-B,C26-W-CR-B,iat_us,timing,true,10,0.367948186632,0.407026836774,0.500406641938
P008,client_os,os,C26-U-CR-B,C26-W-CR-B,ip_total_length_bytes,size_packetization,true,10,0.276526220029,0.261398952441,0.406196819641
P008,client_os,os,C26-U-CR-B,C26-W-CR-B,ipv4_ttl,host_path,true,10,0.237130297649,0.242507117008,0.385185185185
P008,client_os,os,C26-U-CR-B,C26-W-CR-B,tcp_flag_pattern,direction_flags,true,10,0.114836189227,0.137537960927,0.232984901278
P008,client_os,os,C26-U-CR-B,C26-W-CR-B,tcp_payload_length_bytes,redundant_reported_only,false,10,0.276526220029,0.261398952441,0.406196819641
P008,client_os,os,C26-U-CR-B,C26-W-CR-B,tcp_window_raw,host_path,true,10,0.0699224997282,0.062962962963,0.130158730159
P009,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A,direction,direction_flags,true,10,0.197639052138,0.199789266281,0.251447430365
P009,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A,frame_length_bytes,redundant_reported_only,false,10,0.286544402083,0.261059944269,0.480824602711
P009,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A,iat_us,timing,true,10,0.418666311435,0.445001317785,0.500264756692
P009,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A,ip_total_length_bytes,size_packetization,true,10,0.286544402083,0.261059944269,0.480824602711
P009,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A,ipv4_ttl,host_path,true,10,0.261043568011,0.241128486447,0.330158730159
P009,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A,tcp_flag_pattern,direction_flags,true,10,0.158721360663,0.145380728243,0.235133922383
P009,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A,tcp_payload_length_bytes,redundant_reported_only,false,10,0.286544402083,0.261059944269,0.480824602711
P009,client_browser_and_os,browser_and_os,C26-U-FF-A,C26-W-CR-A,tcp_window_raw,host_path,true,10,0.0855600155874,0.0905987869403,0.170520536374
P010,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A,direction,direction_flags,true,10,0.21503926013,0.219610484785,0.246536247004
P010,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A,frame_length_bytes,redundant_reported_only,false,10,0.296995223711,0.2928254423,0.372430268213
P010,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A,iat_us,timing,true,10,0.45646417085,0.463693348139,0.526036839085
P010,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A,ip_total_length_bytes,size_packetization,true,10,0.296995223711,0.2928254423,0.372430268213
P010,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A,ipv4_ttl,host_path,true,10,0.233744058765,0.223341076268,0.287830687831
P010,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A,tcp_flag_pattern,direction_flags,true,10,0.161939800836,0.163253530293,0.212574943994
P010,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A,tcp_payload_length_bytes,redundant_reported_only,false,10,0.296995223711,0.2928254423,0.372430268213
P010,client_browser_and_os,browser_and_os,C26-U-CR-A,C26-W-FF-A,tcp_window_raw,host_path,true,10,0.0654221501394,0.0613591244334,0.114814814815
P011,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B,direction,direction_flags,true,10,0.183250781146,0.186445516574,0.27020271498
P011,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B,frame_length_bytes,redundant_reported_only,false,10,0.326036459732,0.304425932274,0.497780950486
P011,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B,iat_us,timing,true,10,0.380446189898,0.41944800603,0.50499444097
P011,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B,ip_total_length_bytes,size_packetization,true,10,0.326036459732,0.304425932274,0.497780950486
P011,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B,ipv4_ttl,host_path,true,10,0.367910979023,0.282275132275,0.793121693122
P011,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B,tcp_flag_pattern,direction_flags,true,10,0.118687621977,0.120666512727,0.199624770228
P011,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B,tcp_payload_length_bytes,redundant_reported_only,false,10,0.326036459732,0.304425932274,0.497780950486
P011,client_browser_and_os,browser_and_os,C26-U-FF-B,C26-W-CR-B,tcp_window_raw,host_path,true,10,0.0668539716155,0.0605114673229,0.119318621758
P012,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B,direction,direction_flags,true,10,0.183728123971,0.194797592179,0.255220028391
P012,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B,frame_length_bytes,redundant_reported_only,false,10,0.272168282661,0.273658399565,0.376526003355
P012,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B,iat_us,timing,true,10,0.408588399951,0.424661170533,0.499322631098
P012,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B,ip_total_length_bytes,size_packetization,true,10,0.272168282661,0.273658399565,0.376526003355
P012,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B,ipv4_ttl,host_path,true,10,0.308881842082,0.249121463656,0.597102264208
P012,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B,tcp_flag_pattern,direction_flags,true,10,0.145095490553,0.145288809042,0.20759173575
P012,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B,tcp_payload_length_bytes,redundant_reported_only,false,10,0.272168282661,0.273658399565,0.376526003355
P012,client_browser_and_os,browser_and_os,C26-U-CR-B,C26-W-FF-B,tcp_window_raw,host_path,true,10,0.0987995466486,0.0924396200006,0.179043263647
P013,network,network,C26-U-FF-A,C26-U-FF-B,direction,direction_flags,true,10,0.00837196840563,0.00488290554517,0.0196844367641
P013,network,network,C26-U-FF-A,C26-U-FF-B,frame_length_bytes,redundant_reported_only,false,10,0.0767486020877,0.0724535752116,0.146341463415
P013,network,network,C26-U-FF-A,C26-U-FF-B,iat_us,timing,true,10,0.123228674278,0.12155016537,0.166313568624
P013,network,network,C26-U-FF-A,C26-U-FF-B,ip_total_length_bytes,size_packetization,true,10,0.0767486020877,0.0724535752116,0.146341463415
P013,network,network,C26-U-FF-A,C26-U-FF-B,ipv4_ttl,host_path,true,10,4.60742555219e-15,7.21644966006e-16,1.47659662275e-14
P013,network,network,C26-U-FF-A,C26-U-FF-B,tcp_flag_pattern,direction_flags,true,10,0.0454467512147,0.03395606321,0.113561444677
P013,network,network,C26-U-FF-A,C26-U-FF-B,tcp_payload_length_bytes,redundant_reported_only,false,10,0.0767486020877,0.0724535752116,0.146341463415
P013,network,network,C26-U-FF-A,C26-U-FF-B,tcp_window_raw,host_path,true,10,0.0256879274178,0.00599572455352,0.116388566267
P014,network,network,C26-U-CR-A,C26-U-CR-B,direction,direction_flags,true,10,0.0149925376155,0.0103051615246,0.0705902839975
P014,network,network,C26-U-CR-A,C26-U-CR-B,frame_length_bytes,redundant_reported_only,false,10,0.0798332479037,0.0599908598032,0.168423957954
P014,network,network,C26-U-CR-A,C26-U-CR-B,iat_us,timing,true,10,0.131446466987,0.122497827527,0.224212220115
P014,network,network,C26-U-CR-A,C26-U-CR-B,ip_total_length_bytes,size_packetization,true,10,0.0798332479037,0.0599908598032,0.168423957954
P014,network,network,C26-U-CR-A,C26-U-CR-B,ipv4_ttl,host_path,true,10,0.130780681374,9.32587340685e-15,0.597102264208
P014,network,network,C26-U-CR-A,C26-U-CR-B,tcp_flag_pattern,direction_flags,true,10,0.0407470158817,0.0410695086097,0.0687540027047
P014,network,network,C26-U-CR-A,C26-U-CR-B,tcp_payload_length_bytes,redundant_reported_only,false,10,0.0798332479037,0.0599908598032,0.168423957954
P014,network,network,C26-U-CR-A,C26-U-CR-B,tcp_window_raw,host_path,true,10,0.0147163003856,0.0135812351761,0.0393986320816
P015,network,network,C26-W-FF-A,C26-W-FF-B,direction,direction_flags,true,10,0.0310024637049,0.0276349333596,0.0785907859079
P015,network,network,C26-W-FF-A,C26-W-FF-B,frame_length_bytes,redundant_reported_only,false,10,0.113615734125,0.0958562867016,0.21746031746
P015,network,network,C26-W-FF-A,C26-W-FF-B,iat_us,timing,true,10,0.108990439704,0.110148356612,0.178902439024
P015,network,network,C26-W-FF-A,C26-W-FF-B,ip_total_length_bytes,size_packetization,true,10,0.113615734125,0.0958562867016,0.21746031746
P015,network,network,C26-W-FF-A,C26-W-FF-B,ipv4_ttl,host_path,true,10,0.0310024637049,0.0276349333596,0.0785907859079
P015,network,network,C26-W-FF-A,C26-W-FF-B,tcp_flag_pattern,direction_flags,true,10,0.0386917491289,0.0330163984862,0.0742934572203
P015,network,network,C26-W-FF-A,C26-W-FF-B,tcp_payload_length_bytes,redundant_reported_only,false,10,0.113615734125,0.0958562867016,0.21746031746
P015,network,network,C26-W-FF-A,C26-W-FF-B,tcp_window_raw,host_path,true,10,0.0395602854398,0.0276929281198,0.094708994709
P016,network,network,C26-W-CR-A,C26-W-CR-B,direction,direction_flags,true,10,0.0314508682675,0.0253351679907,0.0686558990068
P016,network,network,C26-W-CR-A,C26-W-CR-B,frame_length_bytes,redundant_reported_only,false,10,0.122822632132,0.111676286676,0.234920634921
P016,network,network,C26-W-CR-A,C26-W-CR-B,iat_us,timing,true,10,0.131897397439,0.123511738189,0.272086720867
P016,network,network,C26-W-CR-A,C26-W-CR-B,ip_total_length_bytes,size_packetization,true,10,0.122822632132,0.111676286676,0.234920634921
P016,network,network,C26-W-CR-A,C26-W-CR-B,ipv4_ttl,host_path,true,10,0.170458482153,0.0414502164502,0.793121693122
P016,network,network,C26-W-CR-A,C26-W-CR-B,tcp_flag_pattern,direction_flags,true,10,0.0517352225892,0.0207010582011,0.195767195767
P016,network,network,C26-W-CR-A,C26-W-CR-B,tcp_payload_length_bytes,redundant_reported_only,false,10,0.122822632132,0.111676286676,0.234920634921
P016,network,network,C26-W-CR-A,C26-W-CR-B,tcp_window_raw,host_path,true,10,0.0363057159747,0.0238667024206,0.101842836547
P017,temporal,temporal,C24-U-FF-A,C26-U-FF-A,direction,direction_flags,true,10,0.030237984065,0.0310417291797,0.0637457914439
P017,temporal,temporal,C24-U-FF-A,C26-U-FF-A,frame_length_bytes,redundant_reported_only,false,10,0.177400793129,0.161214304706,0.355009389311
P017,temporal,temporal,C24-U-FF-A,C26-U-FF-A,iat_us,timing,true,10,0.197669260286,0.203796127017,0.301074817442
P017,temporal,temporal,C24-U-FF-A,C26-U-FF-A,ip_total_length_bytes,size_packetization,true,10,0.177400793129,0.161214304706,0.355009389311
P017,temporal,temporal,C24-U-FF-A,C26-U-FF-A,ipv4_ttl,host_path,true,10,0.010982342154,0.00400780682645,0.0364211049977
P017,temporal,temporal,C24-U-FF-A,C26-U-FF-A,tcp_flag_pattern,direction_flags,true,10,0.124826503897,0.131172544997,0.218925226435
P017,temporal,temporal,C24-U-FF-A,C26-U-FF-A,tcp_payload_length_bytes,redundant_reported_only,false,10,0.177400793129,0.161214304706,0.355009389311
P017,temporal,temporal,C24-U-FF-A,C26-U-FF-A,tcp_window_raw,host_path,true,10,0.379616775254,0.412195609991,0.484249738798
P018,temporal,temporal,C24-U-CR-A,C26-U-CR-A,direction,direction_flags,true,10,0.0180901889221,0.0185211030353,0.0335850215537
P018,temporal,temporal,C24-U-CR-A,C26-U-CR-A,frame_length_bytes,redundant_reported_only,false,10,0.141056557207,0.125861670025,0.272862003342
P018,temporal,temporal,C24-U-CR-A,C26-U-CR-A,iat_us,timing,true,10,0.181485472384,0.166542126652,0.290348836664
P018,temporal,temporal,C24-U-CR-A,C26-U-CR-A,ip_total_length_bytes,size_packetization,true,10,0.141056557207,0.125861670025,0.272862003342
P018,temporal,temporal,C24-U-CR-A,C26-U-CR-A,ipv4_ttl,host_path,true,10,0.00105056980059,2.77000644644e-14,0.00865384615386
P018,temporal,temporal,C24-U-CR-A,C26-U-CR-A,tcp_flag_pattern,direction_flags,true,10,0.104265014196,0.0982023962031,0.189019544391
P018,temporal,temporal,C24-U-CR-A,C26-U-CR-A,tcp_payload_length_bytes,redundant_reported_only,false,10,0.141056557207,0.125861670025,0.272862003342
P018,temporal,temporal,C24-U-CR-A,C26-U-CR-A,tcp_window_raw,host_path,true,10,0.40848723521,0.413403636742,0.441754850088
