scheme_id,paper_id,dataset_id,task_family,task_name,label_scheme_key,label_semantics,class_cardinality,cardinality_type,class_type,input_units,design_ids,component_roles,complete_scheme_in_dataset,eligibility_status,exclusion_reason,evidence_ids
SCH0021,P12435,DS-CIC-IOT-2023,semantic_inference,CICIoT traffic classification,service/application or iot traffic class::7,service/application or IoT traffic class,7,exact,multiclass,flow,DES0248,both,yes,eligible,,EVD1892
SCH0022,P12435,DS-ISCX-VPN-2016,semantic_inference,ISCXVPN service classification,service/application or iot traffic class::6,service/application or IoT traffic class,6,exact,multiclass,flow,DES0244,both,yes,eligible,,EVD1888
SCH0023,P12435,DS-CROSS-PLATFORM-2017,semantic_inference,CrossPlatform Android app identification,service/application or iot traffic class::212,service/application or IoT traffic class,212,exact,multiclass,flow,DES0246,both,yes,eligible,,EVD1890
SCH0024,P13076,DS-CIC-IOT-2022,semantic_inference,CIC-IoT 2022 traffic classification,application/service or iot traffic class::6,application/service or IoT traffic class,6,exact,multiclass,flow,DES0249,both,yes,eligible,,EVD1893
SCH0025,P13076,DS-ISCX-TOR-2016,semantic_inference,ISCX-NonTor application classification,iscx-nontor service identity|8,application/service or IoT traffic class,8,exact,multiclass,flow,DES0253,both,yes,eligible,,EVD1897
SCH0026,P13076,DS-ISCX-VPN-2016,semantic_inference,ISCX-NonVPN application classification,iscx-nonvpn application identity|6,application/service or IoT traffic class,6,exact,multiclass,flow,DES0251,both,yes,eligible,,EVD1895
SCH0027,P13076,DS-ISCX-TOR-2016,semantic_inference,ISCX-Tor application classification,iscx-tor service identity|8,application/service or IoT traffic class,8,exact,multiclass,flow,DES0252,both,yes,eligible,,EVD1896
SCH0028,P13076,DS-ISCX-VPN-2016,semantic_inference,ISCX-VPN application classification,iscx-vpn application identity|6,application/service or IoT traffic class,6,exact,multiclass,flow,DES0250,both,yes,eligible,,EVD1894
SCH0029,P13883,DS-CTU-13,security_state_classification,Bot-family classification,botnet or malware family::10,botnet or malware family,10,lower_bound,multiclass,flow,DES0254,both,no,eligible,,EVD1898 | EVD1696
SCH0030,P13883,DS-STRATOSPHERE-CURRENT-MALWARE-2013-2018-BOTECTION,security_state_classification,Bot-family classification,botnet or malware family::10,botnet or malware family,10,lower_bound,multiclass,flow,DES0254,both,no,eligible,,EVD1898 | EVD1696
SCH0031,P13937,DS-KDDCUP-99,security_state_classification,Cross-dataset intrusion classification,benign versus attack traffic::2,benign versus attack traffic,2,exact,binary,flow_record,DES0014,both,yes,eligible,,EVD1700 | EVD1697 | EVD1699
SCH0032,P13937,DS-UNSW-NB15,security_state_classification,Cross-dataset intrusion classification,benign versus attack traffic::2,benign versus attack traffic,2,exact,binary,flow_record,DES0014,both,yes,eligible,,EVD1700 | EVD1697 | EVD1699
SCH0033,P13937,DS-UNSW-NB15,security_state_classification,Held-out exploits attack detection,benign versus exploits attack traffic::2,benign versus exploits attack traffic,2,exact,binary,flow_record,DES0015,both,yes,eligible,,EVD1700 | EVD1697 | EVD1698
SCH0034,P13937,DS-UNSW-NB15,security_state_classification,Held-out reconnaissance attack detection,benign versus reconnaissance attack traffic::2,benign versus reconnaissance attack traffic,2,exact,binary,flow_record,DES0016,both,yes,eligible,,EVD1700 | EVD1697 | EVD1698
SCH0035,P13937,DS-UNSW-NB15,security_state_classification,Held-out shellcode attack detection,benign versus shellcode attack traffic::2,benign versus shellcode attack traffic,2,exact,binary,flow_record,DES0017,both,yes,eligible,,EVD1700 | EVD1697 | EVD1698
SCH0036,P13958,DS-P13958-HOMEMOLE,endpoint_or_platform_identification,Individual-device scenario | Noisy multi-device scenario,iot device identity::10,IoT device identity,10,exact,multiclass,burst,DES0255 | DES0256,both,yes,eligible,,EVD1899 | EVD1900
SCH0037,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,security_state_classification,Adware-family classification,adware family::9,adware family,9,exact,multiclass,unknown,DES0258,both,yes,eligible,,EVD1902
SCH0038,P14000,DS-CTU-NORMAL-MALPHASE,security_state_classification,Malware-stage/type classification,malware type::5,malware type,5,exact,multiclass,unknown,DES0257,background,no,eligible,,EVD1901
SCH0039,P14000,DS-CTU-NORMAL-MALPHASE,security_state_classification,Worm-family classification,worm family::6,worm family,6,exact,multiclass,unknown,DES0262,background,no,eligible,,EVD1906
SCH0040,P14000,DS-P14000-MALPHASE-RESEARCH-SERVERS,security_state_classification,Worm-family classification,worm family::6,worm family,6,exact,multiclass,unknown,DES0262,background,no,eligible,,EVD1906
SCH0041,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,security_state_classification,Trojan-family classification,trojan family::15,trojan family,15,exact,multiclass,unknown,DES0260,both,yes,eligible,,EVD1904
SCH0042,P14000,DS-CTU-NORMAL-MALPHASE,security_state_classification,Virus-family classification,virus family::3,virus family,3,exact,multiclass,unknown,DES0261,background,no,eligible,,EVD1905
SCH0043,P14000,DS-CTU-NORMAL-MALPHASE,security_state_classification,Trojan-family classification,trojan family::15,trojan family,15,exact,multiclass,unknown,DES0260,background,no,eligible,,EVD1904
SCH0044,P14000,DS-CTU-NORMAL-MALPHASE,security_state_classification,Ransomware-family classification,ransomware family::5,ransomware family,5,exact,multiclass,unknown,DES0259,background,no,eligible,,EVD1903
SCH0045,P14000,DS-P14000-MALPHASE-RESEARCH-SERVERS,security_state_classification,Ransomware-family classification,ransomware family::5,ransomware family,5,exact,multiclass,unknown,DES0259,background,no,eligible,,EVD1903
SCH0046,P14000,DS-P14000-MALPHASE-RESEARCH-SERVERS,security_state_classification,Trojan-family classification,trojan family::15,trojan family,15,exact,multiclass,unknown,DES0260,background,no,eligible,,EVD1904
SCH0047,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,security_state_classification,Malware-stage/type classification,malware type::5,malware type,5,exact,multiclass,unknown,DES0257,both,yes,eligible,,EVD1901
SCH0048,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,security_state_classification,Ransomware-family classification,ransomware family::5,ransomware family,5,exact,multiclass,unknown,DES0259,both,yes,eligible,,EVD1903
SCH0049,P14000,DS-P14000-MALPHASE-RESEARCH-SERVERS,security_state_classification,Malware-stage/type classification,malware type::5,malware type,5,exact,multiclass,unknown,DES0257,background,no,eligible,,EVD1901
SCH0050,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,security_state_classification,Worm-family classification,worm family::6,worm family,6,exact,multiclass,unknown,DES0262,both,yes,eligible,,EVD1906
SCH0051,P14000,DS-CTU-NORMAL-MALPHASE,security_state_classification,Adware-family classification,adware family::9,adware family,9,exact,multiclass,unknown,DES0258,background,no,eligible,,EVD1902
SCH0052,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,security_state_classification,Virus-family classification,virus family::3,virus family,3,exact,multiclass,unknown,DES0261,both,yes,eligible,,EVD1905
SCH0053,P14000,DS-P14000-MALPHASE-RESEARCH-SERVERS,security_state_classification,Adware-family classification,adware family::9,adware family,9,exact,multiclass,unknown,DES0258,background,no,eligible,,EVD1902
SCH0054,P14000,DS-P14000-MALPHASE-RESEARCH-SERVERS,security_state_classification,Virus-family classification,virus family::3,virus family,3,exact,multiclass,unknown,DES0261,background,no,eligible,,EVD1905
SCH0055,P14188,DS-AWF-2017,semantic_inference,AWF/Tor closed-world website fingerprinting,monitored website identity::100,monitored website identity,100,exact,multiclass,session_or_trace,DES0264,both,yes,eligible,,EVD1908
SCH0056,P14188,DS-P14188-PRIVATE-RELAY-WF-2022,semantic_inference,Private Relay open-world website fingerprinting,100 monitored website identities with unmonitored background::100,100 monitored website identities with unmonitored background,100,exact,multiclass,action_or_visit,DES0265,both,yes,eligible,,EVD1909
SCH0057,P14188,DS-AWF-2017,semantic_inference,AWF/Tor open-world website fingerprinting,100 monitored website identities with unmonitored background::100,100 monitored website identities with unmonitored background,100,exact,multiclass,session_or_trace,DES0266,both,yes,eligible,,EVD1910
SCH0058,P14188,DS-P14188-PRIVATE-RELAY-WF-2022,semantic_inference,Private Relay closed-world website fingerprinting,monitored website identity::100,monitored website identity,100,exact,multiclass,action_or_visit,DES0263,both,yes,eligible,,EVD1907
SCH0059,P14255,DS-P14255-CAPSULEFORMER-DAPP-2022,semantic_inference,DApp encrypted-traffic classification,decentralized-application identity::10,decentralized-application identity,10,exact,multiclass,flow,DES0267,both,yes,eligible,,EVD1911
SCH0060,P14374,DS-P14374-WHISPERVOICETRACE,semantic_inference,WhiVo Google closed-world command fingerprinting,voice command identity::427,voice command identity,427,exact,multiclass,action_or_visit,DES0269,both,yes,eligible,,EVD1913
SCH0061,P14374,DS-P14374-WHISPERVOICETRACE,endpoint_or_platform_identification,Voice-assistant location identification,capture location identity::5,capture location identity,5,exact,multiclass,action_or_visit,DES0276,both,yes,eligible,,EVD1920
SCH0062,P14374,DS-P14374-WHISPERVOICETRACE,semantic_inference,Demographic/accent-conditioned command fingerprinting | Gender-conditioned command fingerprinting,voice command identity::295,voice command identity,295,exact,multiclass,action_or_visit,DES0281 | DES0282,both,yes,eligible,,EVD1925 | EVD1926
SCH0063,P14374,DS-DEEPVC-ALEXA-2019,semantic_inference,DeepVC closed-world command fingerprinting,voice command identity::100,voice command identity,100,exact,multiclass,action_or_visit,DES0270,both,yes,eligible,,EVD1914
SCH0064,P14374,DS-P14374-WHISPERVOICETRACE,semantic_inference,WhiVo Alexa closed-world command fingerprinting,voice command identity::300,voice command identity,300,exact,multiclass,action_or_visit,DES0268,both,yes,eligible,,EVD1912
SCH0065,P14374,DS-P14374-WHISPERVOICETRACE,semantic_inference,Global mixed-location command fingerprinting | Per-location matched command fingerprinting | US-to-unseen-location command fingerprinting,voice command identity::20,voice command identity,20,exact,multiclass,action_or_visit,DES0273 | DES0274 | DES0275,both,yes,eligible,,EVD1917 | EVD1918 | EVD1919
SCH0066,P14374,DS-P14374-WHISPERVOICETRACE,semantic_inference,Static-command fingerprinting,static voice-command identity::24,static voice-command identity,24,exact,multiclass,action_or_visit,DES0280,both,yes,eligible,,EVD1924
SCH0067,P14374,DS-P14374-WHISPERVOICETRACE,semantic_inference,WhiVo Alexa open-world command fingerprinting,monitored voice command identity with unmonitored background::300,monitored voice command identity with unmonitored background,300,exact,multiclass,action_or_visit,DES0272,both,yes,eligible,,EVD1916
SCH0068,P14374,DS-P14374-WHISPERVOICETRACE,semantic_inference,TF-IDF command-category classification,tf-idf-derived command category::8,TF-IDF-derived command category,8,exact,multiclass,action_or_visit,DES0278,both,yes,eligible,,EVD1922
SCH0069,P14374,DS-P14374-WHISPERVOICETRACE,semantic_inference,Unseen-command category generalization,voice-command category::8,voice-command category,8,exact,multiclass,action_or_visit,DES0283,both,yes,eligible,,EVD1927
SCH0070,P14374,DS-SHAME-ALEXA-2021,semantic_inference,SHAME closed-world command fingerprinting,voice command identity::20,voice command identity,20,exact,multiclass,action_or_visit,DES0271,both,yes,eligible,,EVD1915
SCH0071,P14374,DS-P14374-WHISPERVOICETRACE,semantic_inference,Dynamic-command fingerprinting,dynamic voice-command identity::24,dynamic voice-command identity,24,exact,multiclass,action_or_visit,DES0279,both,yes,eligible,,EVD1923
SCH0072,P14374,DS-P14374-WHISPERVOICETRACE,semantic_inference,Manual command-category classification,manually assigned command category::24,manually assigned command category,24,exact,multiclass,action_or_visit,DES0277,both,yes,eligible,,EVD1921
SCH0073,P14413,DS-P14413-DKF,semantic_inference,DDG temporal-drift keyword fingerprinting,search keyword identity::273,search keyword identity,273,exact,multiclass,action_or_visit,DES0286,both,yes,eligible,,EVD1930 | EVD1931
SCH0074,P14413,DS-P14413-DKF,semantic_inference,Bing keyword fingerprinting,search keyword identity::258,search keyword identity,258,exact,multiclass,action_or_visit,DES0284,both,yes,eligible,,EVD1928
SCH0075,P14413,DS-P14413-DKF,semantic_inference,DDGbase keyword fingerprinting,search keyword identity::258,search keyword identity,258,exact,multiclass,action_or_visit,DES0285,both,yes,eligible,,EVD1929
SCH0076,P14441,DS-CIC-ANDMAL-2017,security_state_classification,CIC-AndMal2017 malware detection,benign versus malicious Android application traffic::2,benign versus malicious Android application traffic,2,exact,binary,pcap_or_compound_path,DES0018,both,yes,eligible,,EVD1704 | EVD1701 | EVD1703 | EVD1702
SCH0077,P14441,DS-P14441-ZOOBAZAAR2024,security_state_classification,ZooBazzar 2024 malware detection,benign versus malicious Android application traffic::2,benign versus malicious Android application traffic,2,exact,binary,pcap_or_compound_path,DES0019,both,yes,eligible,,EVD1704 | EVD1701 | EVD1703 | EVD1702
SCH0078,P14774,DS-ISCX-VPN-2016,semantic_inference,NetML Non-VPN fine-grained application/action classification,31 fine-grained application/action classes::31,31 fine-grained application/action classes,31,exact,multiclass,mixed,DES0296,both,yes,eligible,,EVD1944 | EVD1945
SCH0079,P14774,DS-CIC-IDS-2017,endpoint_or_platform_identification,Passive operating-system fingerprinting,operating-system class::3,operating-system class,3,exact,multiclass,mixed,DES0288,both,yes,eligible,,EVD1933
SCH0080,P14774,DS-CROSS-PLATFORM-2017,endpoint_or_platform_identification,Cross-platform country classification,"china, united states, or india::3","China, United States, or India",3,exact,multiclass,mixed,DES0293,both,yes,eligible,,EVD1939 | EVD1940
SCH0081,P14774,DS-CIC-IDS-2017,security_state_classification,NetML CICIDS2017 fine-grained intrusion classification,benign traffic plus seven attack-type classes::8,benign traffic plus seven attack-type classes,8,exact,multiclass,mixed,DES0297,both,yes,eligible,,EVD1946 | EVD1947
SCH0082,P14774,DS-ISCX-VPN-2016,semantic_inference,NetML Non-VPN mid-level application classification,18 mid-level application classes::18,18 mid-level application classes,18,exact,multiclass,mixed,DES0295,both,yes,eligible,,EVD1942 | EVD1943
SCH0083,P14774,DS-STREAMING-VIDEO-PROVIDERS-BRONZINO-2019,semantic_inference,Streaming-provider classification,streaming provider::4,streaming provider,4,exact,multiclass,mixed,DES0292,both,yes,eligible,,EVD1938
SCH0084,P14774,DS-ISCX-VPN-2016,semantic_inference,NetML Non-VPN top-level traffic classification,"p2p, audio, chat, email, file transfer, tor, and video::7","P2P, audio, chat, email, file transfer, Tor, and video",7,exact,multiclass,mixed,DES0290,both,yes,eligible,,EVD1935 | EVD1936
SCH0085,P14774,DS-STRATOSPHERE-IOT-MALWARE-NETML,security_state_classification,IoT malware-family classification,iot malware family/device class::19,IoT malware family/device class,19,exact,multiclass,mixed,DES0291,both,yes,eligible,,EVD1937
SCH0086,P14774,DS-NETWORK-DEVICE-DATASET-HOLLAND-2020,endpoint_or_platform_identification,Active network-device vendor fingerprinting,network device vendor::15,network device vendor,15,lower_bound,multiclass,mixed,DES0287,both,yes,eligible,,EVD1932
SCH0087,P14774,DS-CIC-IDS-2017,endpoint_or_platform_identification,Fine-grained host/operating-system identity classification,host and operating-system identity::13,host and operating-system identity,13,exact,multiclass,mixed,DES0294,both,yes,eligible,,EVD1941
SCH0088,P14955,DS-P14955-TOR-MALWARE-INITIAL-2021,security_state_classification,Tor malware detection,benign Tor browsing versus Tor malware traffic::2,benign Tor browsing versus Tor malware traffic,2,exact,binary,tor_connection,DES0020 | DES0021 | DES0022,both,yes,eligible,,EVD1709 | EVD1705 | EVD1706 | EVD1707 | EVD1708
SCH0089,P14955,DS-ISCX-TOR-2016,security_state_classification,Tor malware detection,benign Tor browsing versus Tor malware traffic::2,benign Tor browsing versus Tor malware traffic,2,exact,binary,tor_connection,DES0020 | DES0021,both,no,eligible,,EVD1706 | EVD1707
SCH0090,P14955,DS-P14955-TOR-MALWARE-ZERODAY-2021,security_state_classification,Later-campaign Tor malware detection,benign Tor browsing versus Tor malware traffic::2,benign Tor browsing versus Tor malware traffic,2,exact,binary,tor_connection,DES0022,both,yes,eligible,,EVD1708
SCH0091,P15385,DS-P15385-REALISTIC-WF-DRIFT-2023,semantic_inference,Cross-continent guard-relay transfer | Five-year AWF-to-Drift target-informed transfer,90 website identities::90,90 website identities,90,exact,multiclass,session_or_trace,DES0301 | DES0302,both,yes,eligible,,EVD1951 | EVD1952 | EVD1953
SCH0092,P15385,DS-AWF-2017,semantic_inference,Traditional matched AWF closed-world WF,100 website identities::100,100 website identities,100,exact,multiclass,action_or_visit,DES0298,both,yes,eligible,,EVD1948
SCH0093,P15385,DS-AWF-2017,semantic_inference,Matched AWF open-world WF,monitored website identities plus unmonitored::70,monitored website identities plus unmonitored,70,lower_bound,multiclass,action_or_visit,DES0303,both,yes,eligible,,EVD1954
SCH0094,P15385,DS-AWF-2017,semantic_inference,Inferior/superior condition reversal | Superior-to-mixed network-condition transfer,69 website identities::69,69 website identities,69,exact,multiclass,action_or_visit,DES0299 | DES0300,both,yes,eligible,,EVD1949 | EVD1950
SCH0095,P15385,DS-P15385-REALISTIC-WF-DRIFT-2023,semantic_inference,Five-year open-world Drift transfer,90 monitored websites plus unmonitored::91,90 monitored websites plus one unmonitored output class,91,exact,multiclass,session_or_trace,DES0304,both,yes,eligible,,EVD1955 | EVD1956
SCH0096,P15558,DS-CIC-IDS-2017,security_state_classification,intrusion detection,benign versus intrusion traffic::2,benign versus intrusion traffic,2,exact,binary,packet_length_sequence,DES0023,both,yes,eligible,,EVD1714 | EVD1710 | EVD1712 | EVD1711
SCH0097,P15558,DS-CSE-CIC-IDS-2018,security_state_classification,intrusion detection,benign versus intrusion traffic::2,benign versus intrusion traffic,2,exact,binary,packet_length_sequence,DES0024,both,yes,eligible,,EVD1714 | EVD1710 | EVD1712 | EVD1711
SCH0098,P15558,DS-CIC-DDOS-2019,security_state_classification,distributed denial-of-service attack detection,benign versus distributed denial-of-service attack traffic::2,benign versus distributed denial-of-service attack traffic,2,exact,binary,packet_length_sequence,DES0025,both,yes,eligible,,EVD1714 | EVD1710 | EVD1712 | EVD1711
SCH0099,P15558,DS-P15558-INSTITUTIONAL-2024,security_state_classification,Institutional tunneled flood detection,benign versus amplification flood traffic::2,benign versus amplification flood traffic,2,exact,binary,packet_length_sequence,DES0026,both,yes,eligible,,EVD1713
SCH0100,P15558,DS-HYPERVISION,security_state_classification,amplification flood detection,benign versus amplification flood traffic::2,benign versus amplification flood traffic,2,exact,binary,packet_length_sequence,DES0026 | DES0027,both,yes,eligible,,EVD1714 | EVD1710 | EVD1712 | EVD1711
SCH0101,P15558,DS-HYPERVISION,security_state_classification,application-layer flood detection,benign versus application-layer flood traffic::2,benign versus application-layer flood traffic,2,exact,binary,packet_length_sequence,DES0028,both,yes,eligible,,EVD1714 | EVD1710 | EVD1712 | EVD1711
SCH0102,P15558,DS-HYPERVISION,security_state_classification,brute-force attack detection,benign versus brute-force attack traffic::2,benign versus brute-force attack traffic,2,exact,binary,packet_length_sequence,DES0029,both,yes,eligible,,EVD1714 | EVD1710 | EVD1712 | EVD1711
SCH0103,P15558,DS-HYPERVISION,security_state_classification,low-frequency attack detection,benign versus low-frequency attack traffic::2,benign versus low-frequency attack traffic,2,exact,binary,packet_length_sequence,DES0030,both,yes,eligible,,EVD1714 | EVD1710 | EVD1712 | EVD1711
SCH0104,P15558,DS-HYPERVISION,security_state_classification,low-rate attack detection,benign versus low-rate attack traffic::2,benign versus low-rate attack traffic,2,exact,binary,packet_length_sequence,DES0031,both,yes,eligible,,EVD1714 | EVD1710 | EVD1712 | EVD1711
SCH0105,P15558,DS-HYPERVISION,security_state_classification,spoofed flood detection,benign versus spoofed flood traffic::2,benign versus spoofed flood traffic,2,exact,binary,packet_length_sequence,DES0032,both,yes,eligible,,EVD1714 | EVD1710 | EVD1712 | EVD1711
SCH0106,P15558,DS-KITSUNE-SSDP-FLOOD,security_state_classification,SSDP flood detection,benign versus SSDP flood traffic::2,benign versus SSDP flood traffic,2,exact,binary,packet_length_sequence,DES0033,both,yes,eligible,,EVD1714 | EVD1710 | EVD1712 | EVD1711
SCH0107,P15558,DS-NETBEACON-TRAFFIC,security_state_classification,beaconing attack detection,benign versus beaconing attack traffic::2,benign versus beaconing attack traffic,2,exact,binary,packet_length_sequence,DES0034,both,yes,eligible,,EVD1714 | EVD1710 | EVD1712 | EVD1711
SCH0108,P15558,DS-WHISPER-MALICIOUS-TRAFFIC,security_state_classification,malicious detection,benign versus malicious traffic::2,benign versus malicious traffic,2,exact,binary,packet_length_sequence,DES0035,both,yes,eligible,,EVD1714 | EVD1710 | EVD1712 | EVD1711
SCH0109,P15762,DS-P15762-STDA-DARKWEB,semantic_inference,Dark-web website fingerprinting,dark-web website identity::80,dark-web website identity,80,exact,multiclass,action_or_visit,DES0306,both,yes,eligible,,EVD1958
SCH0110,P15762,DS-DF-2017,semantic_inference,DF95 website fingerprinting,website identity::95,website identity,95,exact,multiclass,action_or_visit,DES0305,both,yes,eligible,,EVD1957
SCH0111,P16004,DS-CIC-DDOS-2019,security_state_classification,NetFlow DDoS detection,DDoS attack versus normal traffic|2,DDoS attack versus normal traffic,2,exact,binary,netflow_record,DES0036,positive_only,no,eligible,,EVD1716 | EVD1636
SCH0112,P16004,DS-P16004-TIER1-ISP,security_state_classification,NetFlow DDoS detection,DDoS attack versus normal traffic|2,DDoS attack versus normal traffic,2,exact,binary,netflow_record,DES0037,both_or_unspecified,yes,eligible,,EVD1717 | EVD1637
SCH0113,P16004,DS-P16004-CSP,security_state_classification,NetFlow DDoS detection,DDoS attack versus normal traffic|2,DDoS attack versus normal traffic,2,exact,binary,netflow_record,DES0038,both_or_unspecified,yes,eligible,,EVD1715 | EVD1638
SCH0114,P16004,DS-MAWI,security_state_classification,NetFlow DDoS detection,DDoS attack versus normal traffic|2,DDoS attack versus normal traffic,2,exact,binary,netflow_record,DES0036,negative_only,no,eligible,,EVD1716 | EVD1636
SCH0115,P16071,DS-P17818-FLOWPRINT-BROWSER-SELF-COLLECTED,semantic_inference,Browser identification,"chrome, firefox, samsung internet, and uc browser::4","Chrome, Firefox, Samsung Internet, and UC Browser",4,exact,multiclass,network_flow,DES0039,both,yes,eligible,,EVD1718 | EVD1721 | EVD1720
SCH0116,P16071,DS-CSTNET-TLS13-2021,semantic_inference,TLS 1.3 website identification,eighty tls 1.3 websites::80,Eighty TLS 1.3 websites,80,exact,multiclass,network_flow,DES0040,both,yes,eligible,,EVD1718 | EVD1721 | EVD1720
SCH0117,P16071,DS-DATACON-2020-ENCRYPTED-MALWARE,security_state_classification,Encrypted malware traffic detection,malware executable traffic versus normal executable traffic::2,Malware executable traffic versus normal executable traffic,2,exact,binary,network_flow,DES0041,both,yes,eligible,,EVD1718 | EVD1721 | EVD1720
SCH0118,P16071,DS-DATACON-2021-ENCRYPTED-PROXY,semantic_inference,Encrypted proxy traffic classification,"firefox, v2ray, clash, lantern, netch, and shadowsocks::6","Firefox, V2ray, Clash, Lantern, Netch, and Shadowsocks",6,exact,multiclass,network_flow,DES0042,both,yes,eligible,,EVD1718 | EVD1721 | EVD1720
