rq1_dataset_summary_id,dataset_id,dimension,outcome,scheme_count,supported_scheme_ids,documented_no_support_scheme_ids,not_documented_scheme_ids
R1D0029,DS-CIC-IDS-2017,network,not_documented,22,,SCH0011 | SCH0012 | SCH0013 | SCH0014 | SCH0015 | SCH0016 | SCH0017 | SCH0096 | SCH0128 | SCH0145 | SCH0181 | SCH0224 | SCH0240,SCH0079 | SCH0081 | SCH0087 | SCH0161 | SCH0162 | SCH0163 | SCH0389 | SCH0392 | SCH0393
R1D0030,DS-CIC-IDS-2017,temporal,supported,22,SCH0016 | SCH0017 | SCH0128,SCH0161 | SCH0162 | SCH0163,SCH0011 | SCH0012 | SCH0013 | SCH0014 | SCH0015 | SCH0079 | SCH0081 | SCH0087 | SCH0096 | SCH0145 | SCH0181 | SCH0224 | SCH0240 | SCH0389 | SCH0392 | SCH0393
R1D0031,DS-CIC-INVES-ANDMAL-2019,client,not_documented,4,,,SCH0186 | SCH0190 | SCH0472 | SCH0473
R1D0032,DS-CIC-INVES-ANDMAL-2019,network,not_documented,4,,,SCH0186 | SCH0190 | SCH0472 | SCH0473
R1D0033,DS-CIC-INVES-ANDMAL-2019,temporal,not_documented,4,,,SCH0186 | SCH0190 | SCH0472 | SCH0473
R1D0034,DS-CIC-IOT-2022,client,supported,5,SCH0259,SCH0024,SCH0003 | SCH0007 | SCH0235
R1D0035,DS-CIC-IOT-2022,network,not_documented,5,,,SCH0003 | SCH0007 | SCH0024 | SCH0235 | SCH0259
R1D0036,DS-CIC-IOT-2022,temporal,not_documented,5,,,SCH0003 | SCH0007 | SCH0024 | SCH0235 | SCH0259
R1D0037,DS-CIC-IOT-2023,client,not_documented,3,,,SCH0021 | SCH0130 | SCH0155
R1D0038,DS-CIC-IOT-2023,network,documented_no_support,3,,SCH0021 | SCH0130 | SCH0155,
R1D0039,DS-CIC-IOT-2023,temporal,not_documented,3,,SCH0130,SCH0021 | SCH0155
R1D0040,DS-CIRA-CIC-DOHBRW-2020,client,not_documented,5,,SCH0338 | SCH0454 | SCH0468 | SCH0487,SCH0149
R1D0041,DS-CIRA-CIC-DOHBRW-2020,network,not_documented,5,,SCH0149 | SCH0338,SCH0454 | SCH0468 | SCH0487
R1D0042,DS-CIRA-CIC-DOHBRW-2020,temporal,supported,5,SCH0454 | SCH0468 | SCH0487,,SCH0149 | SCH0338
R1D0043,DS-CROSS-PLATFORM-2017,client,not_documented,13,,,SCH0004 | SCH0019 | SCH0023 | SCH0080 | SCH0197 | SCH0200 | SCH0201 | SCH0230 | SCH0247 | SCH0279 | SCH0281 | SCH0354 | SCH0370
R1D0044,DS-CROSS-PLATFORM-2017,network,not_documented,13,,SCH0080,SCH0004 | SCH0019 | SCH0023 | SCH0197 | SCH0200 | SCH0201 | SCH0230 | SCH0247 | SCH0279 | SCH0281 | SCH0354 | SCH0370
R1D0045,DS-CROSS-PLATFORM-2017,temporal,not_documented,13,,,SCH0004 | SCH0019 | SCH0023 | SCH0080 | SCH0197 | SCH0200 | SCH0201 | SCH0230 | SCH0247 | SCH0279 | SCH0281 | SCH0354 | SCH0370
R1D0046,DS-CROSSNET-2021,client,not_documented,3,,,SCH0390 | SCH0391 | SCH0394
R1D0047,DS-CROSSNET-2021,network,documented_no_support,3,,SCH0390 | SCH0391 | SCH0394,
R1D0048,DS-CROSSNET-2021,temporal,supported,3,SCH0390,,SCH0391 | SCH0394
R1D0049,DS-CSE-CIC-IDS-2018,client,not_documented,8,,SCH0129,SCH0097 | SCH0146 | SCH0225 | SCH0246 | SCH0386 | SCH0395 | SCH0469
R1D0050,DS-CSE-CIC-IDS-2018,network,not_documented,8,,SCH0097 | SCH0129 | SCH0146 | SCH0225 | SCH0246 | SCH0386 | SCH0395,SCH0469
R1D0051,DS-CSE-CIC-IDS-2018,temporal,supported,8,SCH0097 | SCH0146 | SCH0225,,SCH0129 | SCH0246 | SCH0386 | SCH0395 | SCH0469
R1D0052,DS-CSTNET-TLS13-2021,client,not_documented,4,,,SCH0116 | SCH0484 | SCH0485 | SCH0493
R1D0053,DS-CSTNET-TLS13-2021,network,not_documented,4,,SCH0484 | SCH0485 | SCH0493,SCH0116
R1D0054,DS-CSTNET-TLS13-2021,temporal,not_documented,4,,,SCH0116 | SCH0484 | SCH0485 | SCH0493
R1D0055,DS-CTU-13,client,not_documented,8,,,SCH0147 | SCH0165 | SCH0166 | SCH0167 | SCH0168 | SCH0169 | SCH0170 | SCH0226
R1D0056,DS-CTU-13,network,not_documented,8,,SCH0226,SCH0147 | SCH0165 | SCH0166 | SCH0167 | SCH0168 | SCH0169 | SCH0170
R1D0057,DS-CTU-13,temporal,not_documented,8,,SCH0165 | SCH0166 | SCH0167 | SCH0168 | SCH0169 | SCH0170,SCH0147 | SCH0226
R1D0058,DS-DATACON-2020-ENCRYPTED-MALWARE,client,documented_no_support,1,,SCH0117,
R1D0059,DS-DATACON-2020-ENCRYPTED-MALWARE,network,not_documented,1,,,SCH0117
R1D0060,DS-DATACON-2020-ENCRYPTED-MALWARE,temporal,not_documented,1,,,SCH0117
R1D0061,DS-DATACON-2021-ENCRYPTED-PROXY,client,documented_no_support,2,,SCH0118 | SCH0119,
R1D0062,DS-DATACON-2021-ENCRYPTED-PROXY,network,not_documented,2,,,SCH0118 | SCH0119
R1D0063,DS-DATACON-2021-ENCRYPTED-PROXY,temporal,not_documented,2,,,SCH0118 | SCH0119
R1D0064,DS-DEEPVC-ALEXA-2019,client,documented_no_support,2,,SCH0063 | SCH0324,
R1D0065,DS-DEEPVC-ALEXA-2019,network,not_documented,2,,,SCH0063 | SCH0324
R1D0066,DS-DEEPVC-ALEXA-2019,temporal,not_documented,2,,,SCH0063 | SCH0324
R1D0067,DS-DELTASHAPER-COVERT-TRAFFIC,client,not_documented,1,,,SCH0206
R1D0068,DS-DELTASHAPER-COVERT-TRAFFIC,network,not_documented,1,,,SCH0206
R1D0069,DS-DELTASHAPER-COVERT-TRAFFIC,temporal,not_documented,1,,,SCH0206
R1D0070,DS-DF-2017,client,not_documented,13,,SCH0110 | SCH0134 | SCH0137 | SCH0143 | SCH0273 | SCH0330 | SCH0374 | SCH0375 | SCH0384 | SCH0409 | SCH0411 | SCH0414,SCH0329
R1D0071,DS-DF-2017,network,documented_no_support,13,,SCH0110 | SCH0134 | SCH0137 | SCH0143 | SCH0273 | SCH0329 | SCH0330 | SCH0374 | SCH0375 | SCH0384 | SCH0409 | SCH0411 | SCH0414,
R1D0072,DS-DF-2017,temporal,supported,13,SCH0110 | SCH0134 | SCH0137 | SCH0143 | SCH0273 | SCH0329 | SCH0330 | SCH0374 | SCH0375 | SCH0384 | SCH0409 | SCH0411 | SCH0414,,
R1D0073,DS-DYNAFLOW-LU-2018-SOURCE,client,not_documented,1,,,SCH0413
R1D0074,DS-DYNAFLOW-LU-2018-SOURCE,network,not_documented,1,,,SCH0413
R1D0075,DS-DYNAFLOW-LU-2018-SOURCE,temporal,not_documented,1,,,SCH0413
R1D0076,DS-FACET-COVERT-TRAFFIC,client,not_documented,1,,,SCH0207
R1D0077,DS-FACET-COVERT-TRAFFIC,network,not_documented,1,,,SCH0207
R1D0078,DS-FACET-COVERT-TRAFFIC,temporal,not_documented,1,,,SCH0207
R1D0079,DS-FG-NET,client,not_documented,1,,,SCH0193
R1D0080,DS-FG-NET,network,not_documented,1,,,SCH0193
R1D0081,DS-FG-NET,temporal,supported,1,SCH0193,,
R1D0082,DS-GRESCHBACH-DNS-TOR-UNMONITORED,client,not_documented,1,,,SCH0412
R1D0083,DS-GRESCHBACH-DNS-TOR-UNMONITORED,network,not_documented,1,,,SCH0412
R1D0084,DS-GRESCHBACH-DNS-TOR-UNMONITORED,temporal,not_documented,1,,,SCH0412
R1D0085,DS-HERRMANN-OPENSSH-WF,client,not_documented,1,,,SCH0208
R1D0086,DS-HERRMANN-OPENSSH-WF,network,not_documented,1,,,SCH0208
R1D0087,DS-HERRMANN-OPENSSH-WF,temporal,not_documented,1,,,SCH0208
R1D0088,DS-HYPERVISION,client,not_documented,11,,,SCH0100 | SCH0101 | SCH0102 | SCH0103 | SCH0104 | SCH0105 | SCH0150 | SCH0151 | SCH0152 | SCH0153 | SCH0154
R1D0089,DS-HYPERVISION,network,not_documented,11,,,SCH0100 | SCH0101 | SCH0102 | SCH0103 | SCH0104 | SCH0105 | SCH0150 | SCH0151 | SCH0152 | SCH0153 | SCH0154
R1D0090,DS-HYPERVISION,temporal,not_documented,11,,,SCH0100 | SCH0101 | SCH0102 | SCH0103 | SCH0104 | SCH0105 | SCH0150 | SCH0151 | SCH0152 | SCH0153 | SCH0154
R1D0091,DS-IEEE-IOT-INTRUSION,client,not_documented,1,,,SCH0171
R1D0092,DS-IEEE-IOT-INTRUSION,network,not_documented,1,,,SCH0171
R1D0093,DS-IEEE-IOT-INTRUSION,temporal,documented_no_support,1,,SCH0171,
R1D0094,DS-IOT-23,client,not_documented,1,,,SCH0131
R1D0095,DS-IOT-23,network,documented_no_support,1,,SCH0131,
R1D0096,DS-IOT-23,temporal,not_documented,1,,,SCH0131
R1D0097,DS-IOT-SENTINEL-2017,client,documented_no_support,1,,SCH0318,
R1D0098,DS-IOT-SENTINEL-2017,network,not_documented,1,,,SCH0318
R1D0099,DS-IOT-SENTINEL-2017,temporal,not_documented,1,,,SCH0318
R1D0100,DS-ISCX-IDS-2012,client,not_documented,1,,,SCH0347
R1D0101,DS-ISCX-IDS-2012,network,documented_no_support,1,,SCH0347,
R1D0102,DS-ISCX-IDS-2012,temporal,not_documented,1,,,SCH0347
R1D0103,DS-ISCX-TOR-2016,client,not_documented,12,,SCH0009,SCH0002 | SCH0020 | SCH0025 | SCH0027 | SCH0249 | SCH0353 | SCH0362 | SCH0366 | SCH0372 | SCH0388 | SCH0397
R1D0104,DS-ISCX-TOR-2016,network,documented_no_support,12,,SCH0002 | SCH0009 | SCH0020 | SCH0025 | SCH0027 | SCH0249 | SCH0353 | SCH0362 | SCH0366 | SCH0372 | SCH0388 | SCH0397,
R1D0105,DS-ISCX-TOR-2016,temporal,not_documented,12,,,SCH0002 | SCH0009 | SCH0020 | SCH0025 | SCH0027 | SCH0249 | SCH0353 | SCH0362 | SCH0366 | SCH0372 | SCH0388 | SCH0397
R1D0106,DS-ISCX-VPN-2016,client,not_documented,24,,,SCH0005 | SCH0010 | SCH0022 | SCH0026 | SCH0028 | SCH0078 | SCH0082 | SCH0084 | SCH0233 | SCH0237 | SCH0245 | SCH0248 | SCH0258 | SCH0262 | SCH0263 | SCH0264 | SCH0278 | SCH0280 | SCH0348 | SCH0351 | SCH0352 | SCH0365 | SCH0368 | SCH0373
R1D0107,DS-ISCX-VPN-2016,network,not_documented,24,,SCH0005 | SCH0237 | SCH0258 | SCH0351,SCH0010 | SCH0022 | SCH0026 | SCH0028 | SCH0078 | SCH0082 | SCH0084 | SCH0233 | SCH0245 | SCH0248 | SCH0262 | SCH0263 | SCH0264 | SCH0278 | SCH0280 | SCH0348 | SCH0352 | SCH0365 | SCH0368 | SCH0373
R1D0108,DS-ISCX-VPN-2016,temporal,not_documented,24,,,SCH0005 | SCH0010 | SCH0022 | SCH0026 | SCH0028 | SCH0078 | SCH0082 | SCH0084 | SCH0233 | SCH0237 | SCH0245 | SCH0248 | SCH0258 | SCH0262 | SCH0263 | SCH0264 | SCH0278 | SCH0280 | SCH0348 | SCH0351 | SCH0352 | SCH0365 | SCH0368 | SCH0373
R1D0109,DS-KDDCUP-99,client,not_documented,3,,,SCH0031 | SCH0227 | SCH0228
R1D0110,DS-KDDCUP-99,network,documented_no_support,3,,SCH0031 | SCH0227 | SCH0228,
R1D0111,DS-KDDCUP-99,temporal,supported,3,SCH0227,,SCH0031 | SCH0228
R1D0112,DS-KITSUNE,client,not_documented,1,,,SCH0172
R1D0113,DS-KITSUNE,network,not_documented,1,,,SCH0172
R1D0114,DS-KITSUNE,temporal,documented_no_support,1,,SCH0172,
R1D0115,DS-KITSUNE-SSDP-FLOOD,client,not_documented,2,,,SCH0106 | SCH0156
R1D0116,DS-KITSUNE-SSDP-FLOOD,network,not_documented,2,,,SCH0106 | SCH0156
R1D0117,DS-KITSUNE-SSDP-FLOOD,temporal,not_documented,2,,,SCH0106 | SCH0156
R1D0118,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,client,not_documented,6,,,SCH0037 | SCH0041 | SCH0047 | SCH0048 | SCH0050 | SCH0052
R1D0119,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,network,not_documented,6,,,SCH0037 | SCH0041 | SCH0047 | SCH0048 | SCH0050 | SCH0052
R1D0120,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,temporal,not_documented,6,,,SCH0037 | SCH0041 | SCH0047 | SCH0048 | SCH0050 | SCH0052
R1D0121,DS-MALWARE-TRAFFIC-ANALYSIS-NET,client,not_documented,3,,,SCH0183 | SCH0231 | SCH0476
R1D0122,DS-MALWARE-TRAFFIC-ANALYSIS-NET,network,not_documented,3,,,SCH0183 | SCH0231 | SCH0476
R1D0123,DS-MALWARE-TRAFFIC-ANALYSIS-NET,temporal,not_documented,3,,SCH0183 | SCH0231,SCH0476
R1D0124,DS-MEI-2023-SINGLE-TAB,client,not_documented,1,,,SCH0274
R1D0125,DS-MEI-2023-SINGLE-TAB,network,not_documented,1,,,SCH0274
R1D0126,DS-MEI-2023-SINGLE-TAB,temporal,not_documented,1,,,SCH0274
R1D0127,DS-MONIOT-2019,client,documented_no_support,3,,SCH0429 | SCH0436 | SCH0445,
R1D0128,DS-MONIOT-2019,network,supported,3,SCH0429 | SCH0445,,SCH0436
R1D0129,DS-MONIOT-2019,temporal,not_documented,3,,,SCH0429 | SCH0436 | SCH0445
R1D0130,DS-NETBEACON-TRAFFIC,client,not_documented,2,,,SCH0107 | SCH0157
R1D0131,DS-NETBEACON-TRAFFIC,network,not_documented,2,,,SCH0107 | SCH0157
R1D0132,DS-NETBEACON-TRAFFIC,temporal,not_documented,2,,,SCH0107 | SCH0157
R1D0133,DS-NETWORK-DEVICE-DATASET-HOLLAND-2020,client,documented_no_support,1,,SCH0086,
R1D0134,DS-NETWORK-DEVICE-DATASET-HOLLAND-2020,network,not_documented,1,,,SCH0086
R1D0135,DS-NETWORK-DEVICE-DATASET-HOLLAND-2020,temporal,not_documented,1,,,SCH0086
R1D0136,DS-NUDT-MOBILETRAFFIC-2020,client,not_documented,3,,,SCH0120 | SCH0142 | SCH0192
R1D0137,DS-NUDT-MOBILETRAFFIC-2020,network,not_documented,3,,,SCH0120 | SCH0142 | SCH0192
R1D0138,DS-NUDT-MOBILETRAFFIC-2020,temporal,not_documented,3,,,SCH0120 | SCH0142 | SCH0192
R1D0139,DS-ONION-SITES-2016,client,not_documented,1,,,SCH0407
R1D0140,DS-ONION-SITES-2016,network,not_documented,1,,,SCH0407
R1D0141,DS-ONION-SITES-2016,temporal,not_documented,1,,,SCH0407
R1D0142,DS-P05927-PROTOCOL-REPOSITORY,client,not_documented,1,,,SCH0001
R1D0143,DS-P05927-PROTOCOL-REPOSITORY,network,not_documented,1,,,SCH0001
R1D0144,DS-P05927-PROTOCOL-REPOSITORY,temporal,not_documented,1,,,SCH0001
R1D0145,DS-P13958-HOMEMOLE,client,documented_no_support,1,,SCH0036,
R1D0146,DS-P13958-HOMEMOLE,network,not_documented,1,,,SCH0036
R1D0147,DS-P13958-HOMEMOLE,temporal,not_documented,1,,,SCH0036
R1D0148,DS-P14188-PRIVATE-RELAY-WF-2022,client,documented_no_support,2,,SCH0056 | SCH0058,
R1D0149,DS-P14188-PRIVATE-RELAY-WF-2022,network,not_documented,2,,SCH0058,SCH0056
R1D0150,DS-P14188-PRIVATE-RELAY-WF-2022,temporal,not_documented,2,,,SCH0056 | SCH0058
R1D0151,DS-P14255-CAPSULEFORMER-DAPP-2022,client,documented_no_support,1,,SCH0059,
R1D0152,DS-P14255-CAPSULEFORMER-DAPP-2022,network,not_documented,1,,,SCH0059
R1D0153,DS-P14255-CAPSULEFORMER-DAPP-2022,temporal,documented_no_support,1,,SCH0059,
R1D0154,DS-P14374-WHISPERVOICETRACE,client,supported,11,SCH0065,SCH0060 | SCH0061,SCH0062 | SCH0064 | SCH0066 | SCH0067 | SCH0068 | SCH0069 | SCH0071 | SCH0072
R1D0155,DS-P14374-WHISPERVOICETRACE,network,not_documented,11,,SCH0060 | SCH0062 | SCH0069,SCH0061 | SCH0064 | SCH0065 | SCH0066 | SCH0067 | SCH0068 | SCH0071 | SCH0072
R1D0156,DS-P14374-WHISPERVOICETRACE,temporal,not_documented,11,,SCH0060 | SCH0062 | SCH0064 | SCH0066 | SCH0067 | SCH0068 | SCH0069 | SCH0071 | SCH0072,SCH0061 | SCH0065
R1D0157,DS-P14413-DKF,client,not_documented,3,,,SCH0073 | SCH0074 | SCH0075
R1D0158,DS-P14413-DKF,network,not_documented,3,,SCH0074,SCH0073 | SCH0075
R1D0159,DS-P14413-DKF,temporal,supported,3,SCH0073 | SCH0074,,SCH0075
R1D0160,DS-P14441-ZOOBAZAAR2024,client,documented_no_support,1,,SCH0077,
R1D0161,DS-P14441-ZOOBAZAAR2024,network,not_documented,1,,,SCH0077
R1D0162,DS-P14441-ZOOBAZAAR2024,temporal,not_documented,1,,,SCH0077
R1D0163,DS-P14955-TOR-MALWARE-INITIAL-2021,client,documented_no_support,1,,SCH0088,
R1D0164,DS-P14955-TOR-MALWARE-INITIAL-2021,network,documented_no_support,1,,SCH0088,
R1D0165,DS-P14955-TOR-MALWARE-INITIAL-2021,temporal,not_documented,1,,,SCH0088
R1D0166,DS-P14955-TOR-MALWARE-ZERODAY-2021,client,documented_no_support,1,,SCH0090,
R1D0167,DS-P14955-TOR-MALWARE-ZERODAY-2021,network,documented_no_support,1,,SCH0090,
R1D0168,DS-P14955-TOR-MALWARE-ZERODAY-2021,temporal,documented_no_support,1,,SCH0090,
R1D0169,DS-P15385-REALISTIC-WF-DRIFT-2023,client,documented_no_support,2,,SCH0091 | SCH0095,
R1D0170,DS-P15385-REALISTIC-WF-DRIFT-2023,network,not_documented,2,,SCH0091,SCH0095
R1D0171,DS-P15385-REALISTIC-WF-DRIFT-2023,temporal,supported,2,SCH0091,,SCH0095
R1D0172,DS-P15558-INSTITUTIONAL-2024,client,documented_no_support,1,,SCH0099,
R1D0173,DS-P15558-INSTITUTIONAL-2024,network,documented_no_support,1,,SCH0099,
R1D0174,DS-P15558-INSTITUTIONAL-2024,temporal,not_documented,1,,,SCH0099
R1D0175,DS-P15762-STDA-DARKWEB,client,not_documented,1,,,SCH0109
R1D0176,DS-P15762-STDA-DARKWEB,network,not_documented,1,,,SCH0109
R1D0177,DS-P15762-STDA-DARKWEB,temporal,supported,1,SCH0109,,
R1D0178,DS-P16004-CSP,client,not_documented,1,,,SCH0113
R1D0179,DS-P16004-CSP,network,not_documented,1,,,SCH0113
R1D0180,DS-P16004-CSP,temporal,supported,1,SCH0113,,
R1D0181,DS-P16004-TIER1-ISP,client,not_documented,1,,,SCH0112
R1D0182,DS-P16004-TIER1-ISP,network,not_documented,1,,,SCH0112
R1D0183,DS-P16004-TIER1-ISP,temporal,supported,1,SCH0112,,
R1D0184,DS-P16192-360COMPANY22,client,not_documented,1,,,SCH0121
R1D0185,DS-P16192-360COMPANY22,network,not_documented,1,,,SCH0121
R1D0186,DS-P16192-360COMPANY22,temporal,supported,1,SCH0121,,
R1D0187,DS-P16192-360COMPANY23,client,not_documented,1,,,SCH0122
R1D0188,DS-P16192-360COMPANY23,network,not_documented,1,,,SCH0122
R1D0189,DS-P16192-360COMPANY23,temporal,supported,1,SCH0122,,
R1D0190,DS-P16192-SELFDEPLOY24,client,not_documented,1,,,SCH0123
R1D0191,DS-P16192-SELFDEPLOY24,network,not_documented,1,,,SCH0123
R1D0192,DS-P16192-SELFDEPLOY24,temporal,supported,1,SCH0123,,
R1D0193,DS-P16192-SELFDEPLOY25,client,not_documented,1,,,SCH0124
R1D0194,DS-P16192-SELFDEPLOY25,network,not_documented,1,,,SCH0124
R1D0195,DS-P16192-SELFDEPLOY25,temporal,supported,1,SCH0124,,
R1D0196,DS-P16192-SELFDEPLOY25S,client,not_documented,1,,,SCH0125
R1D0197,DS-P16192-SELFDEPLOY25S,network,not_documented,1,,,SCH0125
R1D0198,DS-P16192-SELFDEPLOY25S,temporal,supported,1,SCH0125,,
R1D0199,DS-P16192-WEBRAY,client,not_documented,1,,,SCH0126
R1D0200,DS-P16192-WEBRAY,network,not_documented,1,,,SCH0126
R1D0201,DS-P16192-WEBRAY,temporal,supported,1,SCH0126,,
R1D0202,DS-P16208-SISTAR-IPERF-HPING3,client,documented_no_support,1,,SCH0132,
R1D0203,DS-P16208-SISTAR-IPERF-HPING3,network,documented_no_support,1,,SCH0132,
R1D0204,DS-P16208-SISTAR-IPERF-HPING3,temporal,supported,1,SCH0132,,
R1D0205,DS-P16217-SWALLOW,client,supported,1,SCH0136,,
R1D0206,DS-P16217-SWALLOW,network,documented_no_support,1,,SCH0136,
R1D0207,DS-P16217-SWALLOW,temporal,supported,1,SCH0136,,
R1D0208,DS-P16247-APPLICATION-ALL-2024,client,supported,1,SCH0139,,
R1D0209,DS-P16247-APPLICATION-ALL-2024,network,supported,1,SCH0139,,
R1D0210,DS-P16247-APPLICATION-ALL-2024,temporal,documented_no_support,1,,SCH0139,
R1D0211,DS-P16247-DOHBRW-ALL-2024,client,documented_no_support,2,,SCH0141 | SCH0453,
R1D0212,DS-P16247-DOHBRW-ALL-2024,network,supported,2,SCH0141,SCH0453,
R1D0213,DS-P16247-DOHBRW-ALL-2024,temporal,not_documented,2,,SCH0141,SCH0453
R1D0214,DS-P16247-TOR-ALL-2024,client,supported,1,SCH0140,,
R1D0215,DS-P16247-TOR-ALL-2024,network,supported,1,SCH0140,,
R1D0216,DS-P16247-TOR-ALL-2024,temporal,not_documented,1,,,SCH0140
R1D0217,DS-P16354-DARKVEC-UNIVERSITY-DARKNET-2021,client,not_documented,1,,,SCH0159
R1D0218,DS-P16354-DARKVEC-UNIVERSITY-DARKNET-2021,network,documented_no_support,1,,SCH0159,
R1D0219,DS-P16354-DARKVEC-UNIVERSITY-DARKNET-2021,temporal,not_documented,1,,,SCH0159
R1D0220,DS-P16398-FIAT-TESTBED,client,supported,1,SCH0160,,
R1D0221,DS-P16398-FIAT-TESTBED,network,supported,1,SCH0160,,
R1D0222,DS-P16398-FIAT-TESTBED,temporal,not_documented,1,,,SCH0160
R1D0223,DS-P16418-XATU-ISP-2019,client,not_documented,6,,,SCH0174 | SCH0175 | SCH0176 | SCH0177 | SCH0178 | SCH0179
R1D0224,DS-P16418-XATU-ISP-2019,network,not_documented,6,,,SCH0174 | SCH0175 | SCH0176 | SCH0177 | SCH0178 | SCH0179
R1D0225,DS-P16418-XATU-ISP-2019,temporal,supported,6,SCH0174 | SCH0175 | SCH0176 | SCH0177 | SCH0178 | SCH0179,,
R1D0226,DS-P16931-GITHUB500,client,documented_no_support,1,,SCH0458,
R1D0227,DS-P16931-GITHUB500,network,supported,1,SCH0458,,
R1D0228,DS-P16931-GITHUB500,temporal,documented_no_support,1,,SCH0458,
R1D0229,DS-P16931-WIKI19000,client,documented_no_support,3,,SCH0455 | SCH0456 | SCH0457,
R1D0230,DS-P16931-WIKI19000,network,supported,3,SCH0455 | SCH0456 | SCH0457,,
R1D0231,DS-P16931-WIKI19000,temporal,not_documented,3,,SCH0457,SCH0455 | SCH0456
R1D0232,DS-P17056-LTE-FINGERPRINT,client,not_documented,1,,,SCH0180
R1D0233,DS-P17056-LTE-FINGERPRINT,network,supported,1,SCH0180,,
R1D0234,DS-P17056-LTE-FINGERPRINT,temporal,supported,1,SCH0180,,
R1D0235,DS-P17148-EBPF-REPRODUCTION,client,documented_no_support,1,,SCH0182,
R1D0236,DS-P17148-EBPF-REPRODUCTION,network,documented_no_support,1,,SCH0182,
R1D0237,DS-P17148-EBPF-REPRODUCTION,temporal,supported,1,SCH0182,,
R1D0238,DS-P17290-ODOH,client,documented_no_support,1,,SCH0460,
R1D0239,DS-P17290-ODOH,network,supported,1,SCH0460,,
R1D0240,DS-P17290-ODOH,temporal,supported,1,SCH0460,,
R1D0241,DS-P17610-CHLO,client,supported,4,SCH0461 | SCH0462 | SCH0463 | SCH0464,,
R1D0242,DS-P17610-CHLO,network,supported,4,SCH0461 | SCH0462 | SCH0463 | SCH0464,,
R1D0243,DS-P17610-CHLO,temporal,not_documented,4,,,SCH0461 | SCH0462 | SCH0463 | SCH0464
R1D0244,DS-P17713-MULTIMEDIA-NETWORK-TRAFFIC-2025,client,not_documented,2,,,SCH0194 | SCH0195
R1D0245,DS-P17713-MULTIMEDIA-NETWORK-TRAFFIC-2025,network,supported,2,SCH0194,,SCH0195
