rq2_paper_summary_id,paper_id,dimension,outcome,evaluation_count,holdout_design_ids,documented_no_holdout_design_ids,not_documented_design_ids
R2P0100,P17148,client,not_documented,2,,DES0108,DES0107
R2P0101,P17148,network,not_documented,2,,DES0108,DES0107
R2P0102,P17148,temporal,documented_holdout,2,DES0108,,DES0107
R2P0103,P17269,client,not_documented,6,,DES0333 | DES0334 | DES0335 | DES0336,DES0109 | DES0110
R2P0104,P17269,network,documented_no_holdout,6,,DES0109 | DES0110 | DES0333 | DES0334 | DES0335 | DES0336,
R2P0105,P17269,temporal,documented_no_holdout,6,,DES0109 | DES0110 | DES0333 | DES0334 | DES0335 | DES0336,
R2P0106,P17290,client,documented_no_holdout,3,,DES0191 | DES0192 | DES0193,
R2P0107,P17290,network,documented_holdout,3,DES0192,DES0191 | DES0193,
R2P0108,P17290,temporal,documented_holdout,3,DES0193,DES0192,DES0191
R2P0109,P17323,client,not_documented,3,,,DES0341 | DES0342 | DES0343
R2P0110,P17323,network,not_documented,3,,,DES0341 | DES0342 | DES0343
R2P0111,P17323,temporal,not_documented,3,,,DES0341 | DES0342 | DES0343
R2P0112,P17610,client,documented_holdout,8,DES0198 | DES0199 | DES0200 | DES0201,DES0194 | DES0195 | DES0196 | DES0197,
R2P0113,P17610,network,documented_holdout,8,DES0198 | DES0199 | DES0200 | DES0201,DES0194 | DES0195 | DES0196 | DES0197,
R2P0114,P17610,temporal,documented_no_holdout,8,,DES0194 | DES0195 | DES0196 | DES0197 | DES0198 | DES0199 | DES0200 | DES0201,
R2P0115,P17713,client,not_documented,3,,,DES0346 | DES0347 | DES0348
R2P0116,P17713,network,documented_holdout,3,DES0348,,DES0346 | DES0347
R2P0117,P17713,temporal,not_documented,3,,DES0348,DES0346 | DES0347
R2P0118,P17815,client,documented_holdout,3,DES0204,DES0202 | DES0203,
R2P0119,P17815,network,documented_holdout,3,DES0204,DES0202 | DES0203,
R2P0120,P17815,temporal,documented_holdout,3,DES0203,DES0202 | DES0204,
R2P0121,P17818,client,documented_holdout,8,DES0360,DES0352 | DES0353 | DES0354 | DES0355 | DES0357 | DES0358 | DES0359,
R2P0122,P17818,network,documented_no_holdout,8,,DES0352 | DES0353 | DES0354 | DES0355 | DES0357 | DES0358 | DES0359 | DES0360,
R2P0123,P17818,temporal,documented_holdout,8,DES0360,DES0352 | DES0353 | DES0354 | DES0355 | DES0357 | DES0358 | DES0359,
R2P0124,P17899,client,documented_no_holdout,4,,DES0111 | DES0112 | DES0113 | DES0114,
R2P0125,P17899,network,documented_no_holdout,4,,DES0111 | DES0112 | DES0113 | DES0114,
R2P0126,P17899,temporal,documented_no_holdout,4,,DES0111 | DES0112 | DES0113 | DES0114,
R2P0127,P17951,client,documented_no_holdout,4,,DES0115 | DES0116 | DES0117 | DES0118,
R2P0128,P17951,network,documented_no_holdout,4,,DES0115 | DES0116 | DES0117 | DES0118,
R2P0129,P17951,temporal,documented_no_holdout,4,,DES0115 | DES0116 | DES0117 | DES0118,
R2P0130,P18011,client,documented_holdout,8,DES0124,DES0119 | DES0120 | DES0121 | DES0122 | DES0123 | DES0125 | DES0126,
R2P0131,P18011,network,documented_no_holdout,8,,DES0119 | DES0120 | DES0121 | DES0122 | DES0123 | DES0124 | DES0125 | DES0126,
R2P0132,P18011,temporal,documented_no_holdout,8,,DES0119 | DES0120 | DES0121 | DES0122 | DES0123 | DES0124 | DES0125 | DES0126,
R2P0133,P18222,client,documented_no_holdout,4,,DES0127 | DES0205 | DES0206 | DES0207,
R2P0134,P18222,network,documented_no_holdout,4,,DES0127 | DES0205 | DES0206 | DES0207,
R2P0135,P18222,temporal,documented_holdout,4,DES0127 | DES0205 | DES0206 | DES0207,,
R2P0136,P18348,client,documented_holdout,14,DES0369,DES0361 | DES0362 | DES0363 | DES0364 | DES0365 | DES0366 | DES0367 | DES0368 | DES0370 | DES0371 | DES0372 | DES0373 | DES0374,
R2P0137,P18348,network,documented_holdout,14,DES0369,DES0361 | DES0362 | DES0363 | DES0364 | DES0365 | DES0366 | DES0367 | DES0368 | DES0370 | DES0371 | DES0372 | DES0373 | DES0374,
R2P0138,P18348,temporal,documented_holdout,14,DES0364 | DES0365 | DES0366 | DES0367 | DES0371 | DES0372 | DES0373 | DES0374,DES0368 | DES0369 | DES0370,DES0361 | DES0362 | DES0363
R2P0139,P18385,client,documented_no_holdout,5,,DES0128 | DES0129 | DES0130 | DES0131 | DES0132,
R2P0140,P18385,network,documented_no_holdout,5,,DES0128 | DES0129 | DES0130 | DES0131 | DES0132,
R2P0141,P18385,temporal,documented_no_holdout,5,,DES0128 | DES0129 | DES0130 | DES0131 | DES0132,
R2P0142,P26148,client,documented_no_holdout,7,,DES0133 | DES0134 | DES0135 | DES0136 | DES0137 | DES0138 | DES0139,
R2P0143,P26148,network,documented_no_holdout,7,,DES0133 | DES0134 | DES0135 | DES0136 | DES0137 | DES0138 | DES0139,
R2P0144,P26148,temporal,documented_no_holdout,7,,DES0133 | DES0134 | DES0135 | DES0136 | DES0137 | DES0138 | DES0139,
R2P0145,P35345,client,not_documented,4,,DES0376,DES0375 | DES0377 | DES0378
R2P0146,P35345,network,not_documented,4,,,DES0375 | DES0376 | DES0377 | DES0378
R2P0147,P35345,temporal,not_documented,4,,,DES0375 | DES0376 | DES0377 | DES0378
R2P0148,P38630,client,documented_no_holdout,1,,DES0380,
R2P0149,P38630,network,documented_no_holdout,1,,DES0380,
R2P0150,P38630,temporal,documented_no_holdout,1,,DES0380,
R2P0151,P38761,client,not_documented,4,,,DES0381 | DES0382 | DES0383 | DES0384
R2P0152,P38761,network,not_documented,4,,DES0383 | DES0384,DES0381 | DES0382
R2P0153,P38761,temporal,not_documented,4,,DES0383,DES0381 | DES0382 | DES0384
R2P0154,P38798,client,not_documented,2,,,DES0385 | DES0386
R2P0155,P38798,network,not_documented,2,,,DES0385 | DES0386
R2P0156,P38798,temporal,not_documented,2,,,DES0385 | DES0386
R2P0157,P38868,client,documented_no_holdout,2,,DES0208 | DES0388,
R2P0158,P38868,network,documented_no_holdout,2,,DES0208 | DES0388,
R2P0159,P38868,temporal,documented_no_holdout,2,,DES0208 | DES0388,
R2P0160,P39009,client,not_documented,1,,,DES0389
R2P0161,P39009,network,not_documented,1,,,DES0389
R2P0162,P39009,temporal,not_documented,1,,,DES0389
R2P0163,P39015,client,documented_no_holdout,4,,DES0209 | DES0210 | DES0211 | DES0212,
R2P0164,P39015,network,documented_no_holdout,4,,DES0209 | DES0210 | DES0211 | DES0212,
R2P0165,P39015,temporal,documented_no_holdout,4,,DES0209 | DES0210 | DES0211 | DES0212,
R2P0166,P39064,client,documented_no_holdout,6,,DES0392 | DES0393 | DES0394 | DES0395 | DES0396 | DES0397,
R2P0167,P39064,network,documented_no_holdout,6,,DES0392 | DES0393 | DES0394 | DES0395 | DES0396 | DES0397,
R2P0168,P39064,temporal,documented_no_holdout,6,,DES0392 | DES0393 | DES0394 | DES0395 | DES0396 | DES0397,
R2P0169,P39111,client,documented_no_holdout,2,,DES0213 | DES0214,
R2P0170,P39111,network,documented_no_holdout,2,,DES0213 | DES0214,
R2P0171,P39111,temporal,documented_no_holdout,2,,DES0213 | DES0214,
R2P0172,P39132,client,documented_no_holdout,8,,DES0215 | DES0216 | DES0217 | DES0218 | DES0219 | DES0220 | DES0221 | DES0222,
R2P0173,P39132,network,documented_no_holdout,8,,DES0215 | DES0216 | DES0217 | DES0218 | DES0219 | DES0220 | DES0221 | DES0222,
R2P0174,P39132,temporal,documented_no_holdout,8,,DES0215 | DES0216 | DES0217 | DES0218 | DES0219 | DES0220 | DES0221 | DES0222,
R2P0175,P39155,client,not_documented,0,,,
R2P0176,P39155,network,not_documented,0,,,
R2P0177,P39155,temporal,not_documented,0,,,
R2P0178,P39169,client,not_documented,0,,,
R2P0179,P39169,network,not_documented,0,,,
R2P0180,P39169,temporal,not_documented,0,,,
R2P0181,P39403,client,documented_no_holdout,4,,DES0140 | DES0141 | DES0142 | DES0143,
R2P0182,P39403,network,documented_holdout,4,DES0140,DES0141 | DES0142 | DES0143,
R2P0183,P39403,temporal,documented_holdout,4,DES0141 | DES0143,DES0140 | DES0142,
R2P0184,P39497,client,documented_no_holdout,8,,DES0223 | DES0406 | DES0407 | DES0408 | DES0409 | DES0410 | DES0411 | DES0412,
R2P0185,P39497,network,documented_no_holdout,8,,DES0223 | DES0406 | DES0407 | DES0408 | DES0409 | DES0410 | DES0411 | DES0412,
R2P0186,P39497,temporal,documented_no_holdout,8,,DES0223 | DES0406 | DES0407 | DES0408 | DES0409 | DES0410 | DES0411 | DES0412,
R2P0187,P39771,client,documented_no_holdout,3,,DES0413 | DES0414 | DES0415,
R2P0188,P39771,network,documented_no_holdout,3,,DES0413 | DES0414 | DES0415,
R2P0189,P39771,temporal,documented_no_holdout,3,,DES0413 | DES0414 | DES0415,
R2P0190,P39804,client,documented_no_holdout,8,,DES0224 | DES0225 | DES0226 | DES0419 | DES0420 | DES0421 | DES0423 | DES0425,
R2P0191,P39804,network,documented_no_holdout,8,,DES0224 | DES0225 | DES0226 | DES0419 | DES0420 | DES0421 | DES0423 | DES0425,
R2P0192,P39804,temporal,documented_no_holdout,8,,DES0224 | DES0225 | DES0226 | DES0419 | DES0420 | DES0421 | DES0423 | DES0425,
R2P0193,P40493,client,documented_no_holdout,3,,DES0427 | DES0428 | DES0429,
R2P0194,P40493,network,documented_no_holdout,3,,DES0427 | DES0428 | DES0429,
R2P0195,P40493,temporal,documented_no_holdout,3,,DES0427 | DES0428 | DES0429,
R2P0196,P40572,client,documented_no_holdout,3,,DES0144 | DES0145 | DES0146,
R2P0197,P40572,network,documented_no_holdout,3,,DES0144 | DES0145 | DES0146,
R2P0198,P40572,temporal,documented_holdout,3,DES0144 | DES0145 | DES0146,,
R2P0199,P41311,client,documented_no_holdout,4,,DES0147 | DES0148 | DES0149 | DES0150,
R2P0200,P41311,network,documented_no_holdout,4,,DES0147 | DES0148 | DES0149 | DES0150,
R2P0201,P41311,temporal,documented_no_holdout,4,,DES0147 | DES0148 | DES0149 | DES0150,
R2P0202,P41557,client,not_documented,3,,,DES0430 | DES0431 | DES0432
R2P0203,P41557,network,not_documented,3,,,DES0430 | DES0431 | DES0432
R2P0204,P41557,temporal,not_documented,3,,,DES0430 | DES0431 | DES0432
R2P0205,P41709,client,not_documented,1,,,DES0151
R2P0206,P41709,network,not_documented,1,,,DES0151
R2P0207,P41709,temporal,not_documented,1,,,DES0151
R2P0208,P41766,client,not_documented,6,,DES0435 | DES0436 | DES0439,DES0227 | DES0438 | DES0440
R2P0209,P41766,network,not_documented,6,,DES0435 | DES0438,DES0227 | DES0436 | DES0439 | DES0440
R2P0210,P41766,temporal,not_documented,6,,,DES0227 | DES0435 | DES0436 | DES0438 | DES0439 | DES0440
R2P0211,P42020,client,not_documented,2,,,DES0441 | DES0442
R2P0212,P42020,network,documented_no_holdout,2,,DES0441 | DES0442,
R2P0213,P42020,temporal,documented_no_holdout,2,,DES0441 | DES0442,
R2P0214,P42427,client,documented_holdout,6,DES0156 | DES0157,DES0152 | DES0153,DES0154 | DES0155
R2P0215,P42427,network,not_documented,6,,DES0152 | DES0153 | DES0157,DES0154 | DES0155 | DES0156
R2P0216,P42427,temporal,not_documented,6,,DES0152 | DES0153 | DES0156,DES0154 | DES0155 | DES0157
R2P0217,P42485,client,not_documented,2,,DES0444,DES0443
R2P0218,P42485,network,documented_holdout,2,DES0443,DES0444,
R2P0219,P42485,temporal,documented_no_holdout,2,,DES0443 | DES0444,
R2P0220,P42512,client,not_documented,3,,DES0447,DES0445 | DES0446
R2P0221,P42512,network,documented_no_holdout,3,,DES0445 | DES0446 | DES0447,
R2P0222,P42512,temporal,not_documented,3,,DES0447,DES0445 | DES0446
R2P0223,P42516,client,not_documented,1,,,DES0158
R2P0224,P42516,network,documented_no_holdout,1,,DES0158,
R2P0225,P42516,temporal,not_documented,1,,,DES0158
R2P0226,P42624,client,not_documented,8,,DES0448 | DES0449 | DES0450 | DES0451 | DES0453 | DES0454 | DES0455,DES0452
R2P0227,P42624,network,documented_holdout,8,DES0452 | DES0453,DES0448 | DES0449 | DES0450 | DES0451 | DES0454 | DES0455,
R2P0228,P42624,temporal,documented_no_holdout,8,,DES0448 | DES0449 | DES0450 | DES0451 | DES0452 | DES0453 | DES0454 | DES0455,
R2P0229,P42690,client,documented_no_holdout,6,,DES0228 | DES0456 | DES0457 | DES0459 | DES0460 | DES0461,
R2P0230,P42690,network,documented_no_holdout,6,,DES0228 | DES0456 | DES0457 | DES0459 | DES0460 | DES0461,
R2P0231,P42690,temporal,documented_no_holdout,6,,DES0228 | DES0456 | DES0457 | DES0459 | DES0460 | DES0461,
R2P0232,P42933,client,documented_no_holdout,5,,DES0159 | DES0160 | DES0161 | DES0162 | DES0163,
R2P0233,P42933,network,documented_no_holdout,5,,DES0159 | DES0160 | DES0161 | DES0162 | DES0163,
R2P0234,P42933,temporal,documented_holdout,5,DES0159 | DES0160 | DES0161 | DES0162 | DES0163,,
R2P0235,P43001,client,documented_no_holdout,3,,DES0229 | DES0230 | DES0231,
R2P0236,P43001,network,documented_holdout,3,DES0229 | DES0230,DES0231,
R2P0237,P43001,temporal,documented_no_holdout,3,,DES0229 | DES0230 | DES0231,
R2P0238,P43021,client,documented_holdout,8,DES0470,DES0464 | DES0465 | DES0466 | DES0467 | DES0468 | DES0469 | DES0471,
R2P0239,P43021,network,documented_holdout,8,DES0470,DES0464 | DES0465 | DES0466 | DES0467 | DES0468 | DES0469 | DES0471,
R2P0240,P43021,temporal,not_documented,8,,DES0470 | DES0471,DES0464 | DES0465 | DES0466 | DES0467 | DES0468 | DES0469
R2P0241,P43026,client,not_documented,7,,DES0474 | DES0475 | DES0476 | DES0477,DES0472 | DES0473 | DES0478
R2P0242,P43026,network,not_documented,7,,DES0472 | DES0473 | DES0474 | DES0475 | DES0476 | DES0478,DES0477
R2P0243,P43026,temporal,not_documented,7,,DES0474 | DES0475 | DES0476 | DES0477,DES0472 | DES0473 | DES0478
R2P0244,P43500,client,documented_no_holdout,4,,DES0479 | DES0480 | DES0481 | DES0482,
R2P0245,P43500,network,documented_no_holdout,4,,DES0479 | DES0480 | DES0481 | DES0482,
R2P0246,P43500,temporal,documented_no_holdout,4,,DES0479 | DES0480 | DES0481 | DES0482,
R2P0247,P43680,client,documented_no_holdout,2,,DES0164 | DES0165,
R2P0248,P43680,network,documented_no_holdout,2,,DES0164 | DES0165,
R2P0249,P43680,temporal,documented_no_holdout,2,,DES0164 | DES0165,
R2P0250,P43793,client,documented_holdout,5,DES0167 | DES0168 | DES0170,DES0166 | DES0169,
R2P0251,P43793,network,documented_holdout,5,DES0167 | DES0168 | DES0170,DES0166 | DES0169,
R2P0252,P43793,temporal,not_documented,5,,DES0166 | DES0169,DES0167 | DES0168 | DES0170
R2P0253,P43907,client,documented_no_holdout,2,,DES0171 | DES0172,
R2P0254,P43907,network,documented_no_holdout,2,,DES0171 | DES0172,
R2P0255,P43907,temporal,documented_holdout,2,DES0171 | DES0172,,
R2P0256,P44356,client,not_documented,4,,DES0483 | DES0484 | DES0485,DES0486
R2P0257,P44356,network,not_documented,4,,DES0483 | DES0485 | DES0486,DES0484
R2P0258,P44356,temporal,not_documented,4,,DES0483 | DES0485,DES0484 | DES0486
R2P0259,P44828,client,not_documented,5,,DES0232 | DES0233 | DES0234 | DES0490,DES0491
R2P0260,P44828,network,not_documented,5,,DES0232 | DES0233 | DES0234 | DES0490,DES0491
R2P0261,P44828,temporal,documented_no_holdout,5,,DES0232 | DES0233 | DES0234 | DES0490 | DES0491,
R2P0262,P45261,client,documented_no_holdout,6,,DES0235 | DES0492 | DES0494 | DES0495 | DES0496 | DES0497,
R2P0263,P45261,network,documented_no_holdout,6,,DES0235 | DES0492 | DES0494 | DES0495 | DES0496 | DES0497,
R2P0264,P45261,temporal,documented_no_holdout,6,,DES0235 | DES0492 | DES0494 | DES0495 | DES0496 | DES0497,
R2P0265,P45721,client,documented_no_holdout,4,,DES0498 | DES0499 | DES0500 | DES0501,
