use_id,paper_id,dataset_id,reported_names,evaluation_roles,task_families,scheme_ids,design_ids,complete_scheme_count,partial_component_scheme_count,evidence_ids
USE0017,P13076,DS-ISCX-VPN-2016,ISCX-VPN | ISCX-NonVPN,training | validation | test,semantic_inference,SCH0026 | SCH0028,DES0250 | DES0251,2,0,EVD0520 | EVD1894 | EVD1895
USE0018,P13076,DS-ISCX-TOR-2016,ISCX-Tor | ISCX-NonTor,training | validation | test,semantic_inference,SCH0025 | SCH0027,DES0252 | DES0253,2,0,EVD0697 | EVD1896 | EVD1897
USE0019,P13076,DS-CIC-IOT-2022,CIC-IoT 2022,training | validation | test,semantic_inference,SCH0024,DES0249,1,0,EVD0784 | EVD1893
USE0020,P13883,DS-STRATOSPHERE-CURRENT-MALWARE-2013-2018-BOTECTION,current malware traffic | Stratosphere IPS Project dataset,training | test,security_state_classification,SCH0030,DES0254,0,1,EVD0625 | EVD1696 | EVD1898
USE0021,P13883,DS-CTU-13,CTU-13 | CTU-13 botnet traffic dataset,training | test,security_state_classification,SCH0029,DES0254,0,1,EVD0525 | EVD1696 | EVD1898
USE0022,P13937,DS-KDDCUP-99,not_reported,not_reported,security_state_classification,SCH0031,DES0014,1,0,EVD1697 | EVD1699 | EVD1700
USE0023,P13937,DS-UNSW-NB15,not_reported,not_reported,security_state_classification,SCH0032 | SCH0033 | SCH0034 | SCH0035,DES0014 | DES0015 | DES0016 | DES0017,4,0,EVD1697 | EVD1698 | EVD1699 | EVD1700
USE0024,P13958,DS-P13958-HOMEMOLE,Dataset-Ind | individual-device scenario dataset | Dataset-Noise | noisy scenario dataset,training | validation | test,endpoint_or_platform_identification,SCH0036,DES0255 | DES0256,1,0,EVD0611 | EVD0760 | EVD1899 | EVD1900
USE0025,P14000,DS-P14000-MALPHASE-RESEARCH-SERVERS,Research Server A | Research Server B,training | validation | test,security_state_classification,SCH0040 | SCH0045 | SCH0046 | SCH0049 | SCH0053 | SCH0054,DES0257 | DES0258 | DES0259 | DES0260 | DES0261 | DES0262,0,6,EVD0500 | EVD0655 | EVD1901 | EVD1902 | EVD1903 | EVD1904 | EVD1905 | EVD1906
USE0026,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,malicious traffic dataset | VirusTotal malware PCAPs,training | validation | test,security_state_classification,SCH0037 | SCH0041 | SCH0047 | SCH0048 | SCH0050 | SCH0052,DES0257 | DES0258 | DES0259 | DES0260 | DES0261 | DES0262,6,0,EVD0659 | EVD1901 | EVD1902 | EVD1903 | EVD1904 | EVD1905 | EVD1906
USE0027,P14000,DS-CTU-NORMAL-MALPHASE,CTU normal | Malware Capture Facility Project normal traffic,training | validation | test,security_state_classification,SCH0038 | SCH0039 | SCH0042 | SCH0043 | SCH0044 | SCH0051,DES0257 | DES0258 | DES0259 | DES0260 | DES0261 | DES0262,0,6,EVD0711 | EVD1901 | EVD1902 | EVD1903 | EVD1904 | EVD1905 | EVD1906
USE0028,P14188,DS-P14188-PRIVATE-RELAY-WF-2022,Private Relay website fingerprinting dataset | PR dataset,training | validation | background_open_world | test,semantic_inference,SCH0056 | SCH0058,DES0263 | DES0265,2,0,EVD0586 | EVD1907 | EVD1909
USE0029,P14188,DS-AWF-2017,Tor dataset from Rimmer et al.,training | validation | background_open_world | test,semantic_inference,SCH0055 | SCH0057,DES0264 | DES0266,2,0,EVD0813 | EVD1908 | EVD1910
USE0030,P14255,DS-P14255-CAPSULEFORMER-DAPP-2022,DApp dataset | encrypted DApp traffic dataset,training | validation | test,semantic_inference,SCH0059,DES0267,1,0,EVD0593 | EVD1911
USE0031,P14374,DS-SHAME-ALEXA-2021,SHAME | SHAME dataset,training | test,semantic_inference,SCH0070,DES0271,1,0,EVD0626 | EVD1915
USE0032,P14374,DS-DEEPVC-ALEXA-2019,DeepVC | DeepVC dataset,training | test,semantic_inference,SCH0063,DES0270,1,0,EVD0485 | EVD1914
USE0033,P14374,DS-P14374-WHISPERVOICETRACE,WhiVo Alexa | Alexa dataset | WhiVo Google | Google dataset,training | validation | background_open_world | test,endpoint_or_platform_identification | semantic_inference,SCH0060 | SCH0061 | SCH0062 | SCH0064 | SCH0065 | SCH0066 | SCH0067 | SCH0068 | SCH0069 | SCH0071 | SCH0072,DES0268 | DES0269 | DES0272 | DES0273 | DES0274 | DES0275 | DES0276 | DES0277 | DES0278 | DES0279 | DES0280 | DES0281 | DES0282 | DES0283,11,0,EVD0616 | EVD0670 | EVD1912 | EVD1913 | EVD1916 | EVD1917 | EVD1918 | EVD1919 | EVD1920 | EVD1921 | EVD1922 | EVD1923 | EVD1924 | EVD1925 | EVD1926 | EVD1927
USE0034,P14413,DS-P14413-DKF,Bingbase | DDGbase | DDGdrift,training | validation | background_open_world | test,semantic_inference,SCH0073 | SCH0074 | SCH0075,DES0284 | DES0285 | DES0286,3,0,EVD0512 | EVD0543 | EVD0561 | EVD0637 | EVD1928 | EVD1929 | EVD1930 | EVD1931
USE0035,P14441,DS-CIC-ANDMAL-2017,not_reported,not_reported,security_state_classification,SCH0076,DES0018,1,0,EVD1701 | EVD1702 | EVD1703 | EVD1704
USE0036,P14441,DS-P14441-ZOOBAZAAR2024,not_reported,not_reported,security_state_classification,SCH0077,DES0019,1,0,EVD1701 | EVD1702 | EVD1703 | EVD1704
USE0037,P14774,DS-CROSS-PLATFORM-2017,Cross Platform,training | validation | test,endpoint_or_platform_identification,SCH0080,DES0293,1,0,EVD0479 | EVD1939 | EVD1940
USE0038,P14774,DS-ISCX-VPN-2016,netML Non-VPN | ISCX VPN-nonVPN,training | validation | test,semantic_inference,SCH0078 | SCH0082 | SCH0084,DES0290 | DES0295 | DES0296,3,0,EVD0713 | EVD1935 | EVD1936 | EVD1942 | EVD1943 | EVD1944 | EVD1945
USE0039,P14774,DS-NETWORK-DEVICE-DATASET-HOLLAND-2020,Network Device Dataset,training | validation | test,endpoint_or_platform_identification,SCH0086,DES0287,1,0,EVD0743 | EVD1932
USE0040,P14774,DS-STREAMING-VIDEO-PROVIDERS-BRONZINO-2019,Streaming Video Providers,training | validation | test,semantic_inference,SCH0083,DES0292,1,0,EVD0596 | EVD1938
USE0041,P14774,DS-STRATOSPHERE-IOT-MALWARE-NETML,netML IoT | IoT malware | Stratosphere Malware Capture Facility Project,training | validation | test,security_state_classification,SCH0085,DES0291,1,0,EVD0578 | EVD1937
USE0042,P14774,DS-CIC-IDS-2017,CICIDS2017 | netML CICIDS2017,training | validation | test,endpoint_or_platform_identification | security_state_classification,SCH0079 | SCH0081 | SCH0087,DES0288 | DES0294 | DES0297,3,0,EVD0668 | EVD1933 | EVD1941 | EVD1946 | EVD1947
USE0043,P14955,DS-P14955-TOR-MALWARE-ZERODAY-2021,not_reported,not_reported,security_state_classification,SCH0090,DES0022,1,0,EVD1708
USE0044,P14955,DS-P14955-TOR-MALWARE-INITIAL-2021,not_reported,not_reported,security_state_classification,SCH0088,DES0020 | DES0021 | DES0022,1,0,EVD1705 | EVD1706 | EVD1707 | EVD1708 | EVD1709
USE0045,P14955,DS-ISCX-TOR-2016,not_reported,not_reported,security_state_classification,SCH0089,DES0020 | DES0021,0,1,EVD1706 | EVD1707
USE0046,P15385,DS-AWF-2017,AWF | AWF1 | AWF2 | AWF-attack | AWF-pre-training | AWF-OW10k | AWF-OW50k | AWF-OW100k,training | validation | calibration | background_open_world | test,semantic_inference,SCH0092 | SCH0093 | SCH0094,DES0298 | DES0299 | DES0300 | DES0303,3,0,EVD0790 | EVD1948 | EVD1949 | EVD1950 | EVD1954
USE0047,P15385,DS-P15385-REALISTIC-WF-DRIFT-2023,Drift dataset | Drift,training | validation | calibration | background_open_world | test,semantic_inference,SCH0091 | SCH0095,DES0301 | DES0302 | DES0304,2,0,EVD0726 | EVD1951 | EVD1952 | EVD1953 | EVD1955 | EVD1956
USE0048,P15558,DS-CIC-DDOS-2019,not_reported,not_reported,security_state_classification,SCH0098,DES0025,1,0,EVD1710 | EVD1711 | EVD1712 | EVD1714
USE0049,P15558,DS-KITSUNE-SSDP-FLOOD,not_reported,not_reported,security_state_classification,SCH0106,DES0033,1,0,EVD1710 | EVD1711 | EVD1712 | EVD1714
USE0050,P15558,DS-P15558-INSTITUTIONAL-2024,not_reported,not_reported,security_state_classification,SCH0099,DES0026,1,0,EVD1713
USE0051,P15558,DS-NETBEACON-TRAFFIC,not_reported,not_reported,security_state_classification,SCH0107,DES0034,1,0,EVD1710 | EVD1711 | EVD1712 | EVD1714
USE0052,P15558,DS-HYPERVISION,not_reported,not_reported,security_state_classification,SCH0100 | SCH0101 | SCH0102 | SCH0103 | SCH0104 | SCH0105,DES0026 | DES0027 | DES0028 | DES0029 | DES0030 | DES0031 | DES0032,6,0,EVD1710 | EVD1711 | EVD1712 | EVD1714
USE0053,P15558,DS-CIC-IDS-2017,not_reported,not_reported,security_state_classification,SCH0096,DES0023,1,0,EVD1710 | EVD1711 | EVD1712 | EVD1714
USE0054,P15558,DS-WHISPER-MALICIOUS-TRAFFIC,not_reported,not_reported,security_state_classification,SCH0108,DES0035,1,0,EVD1710 | EVD1711 | EVD1712 | EVD1714
USE0055,P15558,DS-CSE-CIC-IDS-2018,not_reported,not_reported,security_state_classification,SCH0097,DES0024,1,0,EVD1710 | EVD1711 | EVD1712 | EVD1714
USE0056,P15762,DS-P15762-STDA-DARKWEB,dark web dataset August 2023 | Dark Web 2023 | dark web dataset April 2024 | Dark Web 2024,training | validation | test,semantic_inference,SCH0109,DES0306,1,0,EVD0527 | EVD0609 | EVD1958
USE0057,P15762,DS-DF-2017,Alexa-top dataset | DF dataset | Walkie-Talkie dataset | WT dataset,training | validation | background_open_world | test,semantic_inference,SCH0110,DES0305,1,0,EVD0459 | EVD0769 | EVD1957
USE0058,P16004,DS-MAWI,not_reported,not_reported,security_state_classification,SCH0114,DES0036,0,1,EVD1636 | EVD1716
USE0059,P16004,DS-CIC-DDOS-2019,not_reported,not_reported,security_state_classification,SCH0111,DES0036,0,1,EVD1636 | EVD1716
USE0060,P16004,DS-P16004-CSP,not_reported,not_reported,security_state_classification,SCH0113,DES0038,1,0,EVD1638 | EVD1715
USE0061,P16004,DS-P16004-TIER1-ISP,not_reported,not_reported,security_state_classification,SCH0112,DES0037,1,0,EVD1637 | EVD1717
USE0062,P16071,DS-DATACON-2021-ENCRYPTED-PROXY,not_reported,not_reported,semantic_inference,SCH0118 | SCH0119,DES0042 | DES0043,2,0,EVD1718 | EVD1720 | EVD1721
USE0063,P16071,DS-DATACON-2020-ENCRYPTED-MALWARE,not_reported,not_reported,security_state_classification,SCH0117,DES0041,1,0,EVD1718 | EVD1720 | EVD1721
USE0064,P16071,DS-CSTNET-TLS13-2021,not_reported,not_reported,semantic_inference,SCH0116,DES0040,1,0,EVD1718 | EVD1720 | EVD1721
USE0065,P16071,DS-P17818-FLOWPRINT-BROWSER-SELF-COLLECTED,not_reported,not_reported,semantic_inference,SCH0115,DES0039,1,0,EVD1718 | EVD1720 | EVD1721
USE0066,P16071,DS-NUDT-MOBILETRAFFIC-2020,not_reported,not_reported,semantic_inference,SCH0120,DES0044,1,0,EVD1718 | EVD1720 | EVD1721
USE0067,P16192,DS-P16192-SELFDEPLOY25S,not_reported,not_reported,endpoint_or_platform_identification,SCH0125,DES0051 | DES0052,1,0,EVD1723 | EVD1724 | EVD1725 | EVD1726 | EVD1728
USE0068,P16192,DS-P16192-360COMPANY23,not_reported,not_reported,endpoint_or_platform_identification,SCH0122,DES0046,1,0,EVD1723 | EVD1724 | EVD1725 | EVD1726 | EVD1728
USE0069,P16192,DS-P16192-SELFDEPLOY25,not_reported,not_reported,endpoint_or_platform_identification,SCH0124,DES0049 | DES0050,1,0,EVD1723 | EVD1724 | EVD1725 | EVD1726 | EVD1728
USE0070,P16192,DS-P16192-SELFDEPLOY24,not_reported,not_reported,endpoint_or_platform_identification,SCH0123,DES0047 | DES0048,1,0,EVD1723 | EVD1724 | EVD1725 | EVD1726 | EVD1728
USE0071,P16192,DS-P16192-WEBRAY,not_reported,not_reported,endpoint_or_platform_identification,SCH0126,DES0053,1,0,EVD1723 | EVD1724 | EVD1725 | EVD1726 | EVD1728
USE0072,P16192,DS-P16192-360COMPANY22,not_reported,not_reported,endpoint_or_platform_identification,SCH0121,DES0045,1,0,EVD1723 | EVD1724 | EVD1725 | EVD1726 | EVD1728
USE0073,P16208,DS-CIC-DDOS-2019,not_reported,not_reported,security_state_classification,SCH0127,DES0054 | DES0055,1,0,EVD1732 | EVD1734
USE0074,P16208,DS-IOT-23,not_reported,not_reported,security_state_classification,SCH0131,DES0062 | DES0063,1,0,EVD1732 | EVD1733 | EVD1734
USE0075,P16208,DS-P16208-SISTAR-IPERF-HPING3,not_reported,not_reported,security_state_classification,SCH0132,DES0064,1,0,EVD1735 | EVD1736
USE0076,P16208,DS-CIC-IOT-2023,not_reported,not_reported,security_state_classification,SCH0130,DES0060 | DES0061,1,0,EVD1732 | EVD1734
USE0077,P16208,DS-CIC-IDS-2017,not_reported,not_reported,security_state_classification,SCH0128,DES0056 | DES0057,1,0,EVD1730 | EVD1732 | EVD1734
USE0078,P16208,DS-UNSW-NB15,not_reported,not_reported,security_state_classification,SCH0133,DES0065 | DES0066,1,0,EVD1732 | EVD1734
USE0079,P16208,DS-CSE-CIC-IDS-2018,not_reported,not_reported,security_state_classification,SCH0129,DES0058 | DES0059,1,0,EVD1732 | EVD1734
USE0080,P16217,DS-WANG-WF-2014,Wang dataset,training | validation | test,semantic_inference,SCH0135 | SCH0138,DES0310 | DES0311,2,0,EVD0776 | EVD1962 | EVD1963
USE0081,P16217,DS-P16217-SWALLOW,D1 | D2 | D3 | D4 | D5 | D6 | D7 | D8,training | validation | background_open_world | test,semantic_inference,SCH0136,DES0307 | DES0308 | DES0309,1,0,EVD0464 | EVD0501 | EVD0565 | EVD0580 | EVD0632 | EVD0647 | EVD0701 | EVD0709 | EVD1959 | EVD1960 | EVD1961
USE0082,P16217,DS-DF-2017,DF dataset,training | validation | test,semantic_inference,SCH0134 | SCH0137,DES0310 | DES0311,2,0,EVD0519 | EVD1962 | EVD1963
USE0083,P16247,DS-P16247-TOR-ALL-2024,Tor-ALL,training | validation | test,semantic_inference,SCH0140,DES0325,1,0,EVD0603 | EVD1977
USE0084,P16247,DS-NUDT-MOBILETRAFFIC-2020,Application-Host,training | validation | test,semantic_inference,SCH0142,DES0312,1,0,EVD0535 | EVD1964
USE0085,P16247,DS-P16247-APPLICATION-ALL-2024,Application-ALL,training | validation | test,semantic_inference,SCH0139,DES0315 | DES0317 | DES0319 | DES0321 | DES0323,1,0,EVD0488 | EVD1967 | EVD1969 | EVD1971 | EVD1973 | EVD1975
USE0086,P16247,DS-DF-2017,Tor-Obfuscation,training | validation | test,semantic_inference,SCH0143,DES0316,1,0,EVD0529 | EVD1968
USE0087,P16248,DS-CIRA-CIC-DOHBRW-2020,not_reported,not_reported,security_state_classification,SCH0149,DES0072,1,0,EVD1738 | EVD1739 | EVD1740 | EVD1741
USE0088,P16248,DS-CIC-ANDMAL-2017,not_reported,not_reported,security_state_classification,SCH0144,DES0067,1,0,EVD1738 | EVD1739 | EVD1740 | EVD1741
USE0089,P16248,DS-CIC-DDOS-2019,not_reported,not_reported,security_state_classification,SCH0148,DES0071,1,0,EVD1738 | EVD1739 | EVD1740 | EVD1741
USE0090,P16248,DS-KITSUNE-SSDP-FLOOD,not_reported,not_reported,security_state_classification,SCH0156,DES0079,1,0,EVD1738 | EVD1739 | EVD1740 | EVD1741
USE0091,P16248,DS-CTU-13,not_reported,not_reported,security_state_classification,SCH0147,DES0070,1,0,EVD1738 | EVD1739 | EVD1740 | EVD1741
USE0092,P16248,DS-NETBEACON-TRAFFIC,not_reported,not_reported,security_state_classification,SCH0157,DES0080,1,0,EVD1738 | EVD1739 | EVD1740 | EVD1741
USE0093,P16248,DS-CIC-IOT-2023,not_reported,not_reported,security_state_classification,SCH0155,DES0078,1,0,EVD1738 | EVD1739 | EVD1740 | EVD1741
USE0094,P16248,DS-HYPERVISION,not_reported,not_reported,security_state_classification,SCH0150 | SCH0151 | SCH0152 | SCH0153 | SCH0154,DES0073 | DES0074 | DES0075 | DES0076 | DES0077,5,0,EVD1738 | EVD1739 | EVD1740 | EVD1741
USE0095,P16248,DS-CIC-IDS-2017,not_reported,not_reported,security_state_classification,SCH0145,DES0068,1,0,EVD1738 | EVD1739 | EVD1740 | EVD1741
USE0096,P16248,DS-WHISPER-MALICIOUS-TRAFFIC,not_reported,not_reported,security_state_classification,SCH0158,DES0081,1,0,EVD1738 | EVD1739 | EVD1740 | EVD1741
USE0097,P16248,DS-CSE-CIC-IDS-2018,not_reported,not_reported,security_state_classification,SCH0146,DES0069,1,0,EVD1738 | EVD1739 | EVD1740 | EVD1741
USE0098,P16354,DS-P16354-DARKVEC-UNIVERSITY-DARKNET-2021,DarkVec dataset | darknet dataset | 30-day trace,training | validation | test,security_state_classification,SCH0159,DES0326,1,0,EVD0533 | EVD0673 | EVD1978
USE0099,P16398,DS-P16398-FIAT-TESTBED,not_reported,not_reported,security_state_classification,SCH0160,DES0082 | DES0083,1,0,EVD1742 | EVD1743 | EVD1744 | EVD1745
USE0100,P16406,DS-CIC-DDOS-2019,not_reported,not_reported,security_state_classification,SCH0164,DES0084 | DES0086 | DES0091,1,0,EVD1639 | EVD1641 | EVD1646 | EVD1747
USE0101,P16406,DS-CTU-13,not_reported,not_reported,security_state_classification,SCH0165 | SCH0166 | SCH0167 | SCH0168 | SCH0169 | SCH0170,DES0084 | DES0086 | DES0092 | DES0093 | DES0094 | DES0095 | DES0096 | DES0097,6,0,EVD1639 | EVD1641 | EVD1647 | EVD1648 | EVD1649 | EVD1650 | EVD1651 | EVD1652 | EVD1749
USE0102,P16406,DS-KITSUNE,not_reported,not_reported,security_state_classification,SCH0172,DES0085 | DES0087 | DES0099,1,0,EVD1640 | EVD1642 | EVD1654 | EVD1751
USE0103,P16406,DS-IEEE-IOT-INTRUSION,not_reported,not_reported,security_state_classification,SCH0171,DES0085 | DES0087 | DES0098,1,0,EVD1640 | EVD1642 | EVD1653 | EVD1750
USE0104,P16406,DS-AWID3,not_reported,not_reported,security_state_classification,SCH0173,DES0085 | DES0087 | DES0100,1,0,EVD1640 | EVD1642 | EVD1655 | EVD1746
USE0105,P16406,DS-CIC-IDS-2017,not_reported,not_reported,security_state_classification,SCH0161 | SCH0162 | SCH0163,DES0084 | DES0086 | DES0088 | DES0089 | DES0090,3,0,EVD1639 | EVD1641 | EVD1643 | EVD1644 | EVD1645 | EVD1748
USE0106,P16418,DS-P16418-XATU-ISP-2019,not_reported,not_reported,security_state_classification,SCH0174 | SCH0175 | SCH0176 | SCH0177 | SCH0178 | SCH0179,DES0101 | DES0102 | DES0103 | DES0104 | DES0105 | DES0106,6,0,EVD1752 | EVD1756
USE0107,P17056,DS-P17056-LTE-FINGERPRINT,lab-created dataset | lab dataset | Verizon dataset | real-world Verizon traces | AT&T dataset | real-world AT&T traces | T-Mobile dataset | real-world T-Mobile traces,training | validation | test,semantic_inference,SCH0180,DES0331 | DES0332,1,0,EVD0566 | EVD0628 | EVD0797 | EVD0807 | EVD1983 | EVD1984
USE0108,P17148,DS-CIC-IDS-2017,not_reported,not_reported,security_state_classification,SCH0181,DES0107,1,0,EVD1759 | EVD1761 | EVD1762
USE0109,P17148,DS-P17148-EBPF-REPRODUCTION,not_reported,not_reported,security_state_classification,SCH0182,DES0108,1,0,EVD1759 | EVD1760 | EVD1762
USE0110,P17269,DS-MAWI,WIDE benign traffic | MAWI traffic,training | validation | test,security_state_classification,SCH0188,DES0110,0,1,EVD0766 | EVD1763 | EVD1764 | EVD1989
USE0111,P17269,DS-CIC-INVES-ANDMAL-2019,CICInvesAndMal2019 | AndMal2019,training | validation | test,security_state_classification,SCH0186 | SCH0190,DES0109 | DES0333,2,0,EVD0623 | EVD1763 | EVD1764 | EVD1985 | EVD1989
USE0112,P17269,DS-BTU-MALWARE,BTU | BTU-Mobile | BTU-Desktop,training | validation | test,security_state_classification,SCH0184 | SCH0185,DES0335 | DES0336,2,0,EVD0571 | EVD1987 | EVD1988
USE0113,P17269,DS-P17269-P17269-ENTERPRISE-GATEWAY-1DAY,enterprise gateway traffic,test,security_state_classification,SCH0187,DES0109 | DES0110,0,1,EVD0619 | EVD1764 | EVD1989
USE0114,P17269,DS-MALWARE-TRAFFIC-ANALYSIS-NET,MTA malicious samples | Malware-Traffic-Analysis.net,training | validation | test,security_state_classification,SCH0183 | SCH0189,DES0109 | DES0110 | DES0334,1,1,EVD0630 | EVD1763 | EVD1764 | EVD1986 | EVD1989
USE0115,P17323,DS-P42427-FOAP-AUTO,FOAP,training | validation | background_open_world | test,semantic_inference,SCH0191,DES0341,1,0,EVD0767 | EVD1994
USE0116,P17323,DS-NUDT-MOBILETRAFFIC-2020,NUDT MobileTraffic,training | validation | test,semantic_inference,SCH0192,DES0343,1,0,EVD0534 | EVD1996
USE0117,P17323,DS-FG-NET,FG-Net D1 | D1 | FG-Net D2 | D2,training | validation | test,semantic_inference,SCH0193,DES0342,1,0,EVD0610 | EVD0781 | EVD1995
USE0118,P17713,DS-P17713-MULTIMEDIA-NETWORK-TRAFFIC-2025,Multimedia Network Traffic Dataset | Cloud Gaming lab traffic capture dataset,training | validation | test,semantic_inference,SCH0194 | SCH0195,DES0346 | DES0347 | DES0348,2,0,EVD0706 | EVD0771 | EVD1999 | EVD2000 | EVD2001
USE0119,P17818,DS-CROSS-PLATFORM-2017,Cross Platform | Cross-Platform dataset,training | validation | test,semantic_inference,SCH0197 | SCH0200 | SCH0201,DES0353 | DES0358 | DES0360,3,0,EVD0573 | EVD2008 | EVD2013 | EVD2015 | EVD2016
USE0120,P17818,DS-RECON-APPVERSIONS,AppVersions | ReCon | extended ReCon dataset,training | validation | test,semantic_inference,SCH0196 | SCH0203,DES0354 | DES0359,2,0,EVD0723 | EVD2009 | EVD2014
USE0121,P17818,DS-P17818-FLOWPRINT-CROSS-PLATFORM-RECAPTURE-2020,current versions of 31 apps | Cross Platform recollection,test,semantic_inference,SCH0198,DES0360,1,0,EVD0710 | EVD2015 | EVD2016
USE0122,P17818,DS-P17818-FLOWPRINT-BROWSER-SELF-COLLECTED,Browser dataset | browser traffic,training | validation | test,endpoint_or_platform_identification,SCH0202,DES0355,1,0,EVD0614 | EVD2010
USE0123,P17818,DS-ANDRUBIS,Andrubis | Andrubis dataset,training | validation | test,semantic_inference,SCH0199 | SCH0204 | SCH0205,DES0352 | DES0357 | DES0360,2,1,EVD0791 | EVD2007 | EVD2012 | EVD2015 | EVD2016
USE0124,P17899,DS-FACET-COVERT-TRAFFIC,not_reported,not_reported,security_state_classification,SCH0207,DES0112,1,0,EVD1766 | EVD1767 | EVD1768 | EVD1769
USE0125,P17899,DS-PEERRUSH,not_reported,not_reported,security_state_classification,SCH0209,DES0114,1,0,EVD1766 | EVD1767 | EVD1768 | EVD1769
USE0126,P17899,DS-DELTASHAPER-COVERT-TRAFFIC,not_reported,not_reported,security_state_classification,SCH0206,DES0111,1,0,EVD1766 | EVD1767 | EVD1768 | EVD1769
USE0127,P17899,DS-HERRMANN-OPENSSH-WF,not_reported,not_reported,semantic_inference,SCH0208,DES0113,1,0,EVD1766 | EVD1767 | EVD1768 | EVD1769
USE0128,P17951,DS-P17951-OPENSKY-2020,not_reported,not_reported,security_state_classification,SCH0210 | SCH0211 | SCH0212 | SCH0213,DES0115 | DES0116 | DES0117 | DES0118,4,0,EVD1774 | EVD1775 | EVD1776
USE0129,P18011,DS-P18011-MONKEY500,not_reported,not_reported,semantic_inference,SCH0217,DES0119 | DES0123 | DES0124 | DES0125 | DES0126,1,0,EVD1781 | EVD1789
USE0130,P18011,DS-P18011-IUA,not_reported,not_reported,semantic_inference,SCH0215 | SCH0216,DES0120 | DES0121 | DES0122,2,0,EVD1785
USE0131,P18011,DS-P18011-HUMAN100,not_reported,not_reported,semantic_inference,SCH0214,DES0124,1,0,EVD1780 | EVD1781
USE0132,P18222,DS-P18222-ENTERPRISE-2017-2021,not_reported,not_reported,security_state_classification,SCH0218,DES0127,1,0,EVD1791
